전공,영역,학수번호,과목명,교수명,이수구분,학년,학점,강의시간/강의실
Major/Minor,CORE Global Studies,N00305201,"동유럽문화세미나
(Seminar on Central & East European Culture)","고승희
(Koh Seunghui)",인문학공통,1,2,"화 5 6 (4402)
(Tue 5 6 (4402))"
Major/Minor,CORE Global Studies,J11015101,"유럽지성의이해
(Understanding Intelligence and Intellectuals of Europe)","경혜영
(Kyung Hye Young)",인문학공통,1,2,"수 3 4 (2307)
(Wed 3 4 (2307))"
Major/Minor,CORE Global Studies,J11014101,"유럽통합사
(History of European Integration)","박상준
(Park, SangJun)",인문학공통,1,2,"화 5 6 (2303-3)
(Tue 5 6 (2303-3))"
Major/Minor,CORE Global Studies,J11017101,"이슬람사상의이해(2)
(Understanding of Islamic Thought (2))","정진한
(Jin Han, Jeong)",인문학공통,1,3,"수 1 2 3 (2517)
(Wed 1 2 3 (2517))"
Major/Minor,CORE Global Studies,J11016101,"중동의사회와문화(2)
(Society and Culture in the Middle East (2))","이수정
(Yi Soo Jeong)",인문학공통,1,3,"수 7 8 9 (2303-3)
(Wed 7 8 9 (2303-3))"
Major/Minor,CORE Global Studies,J11018101,"이베로아메리카지성사(2)
(Intellectual History of Iberoamerica (2))","김선이
(KIM, SEONYI)",인문학공통,2,3,"목 7 8 9 (2303-3)
(Thu 7 8 9 (2303-3))"
Major/Minor,EU Major,A22201201,"유럽학개론
(Introduction to European Studies)","온대원
(Ohn, Daewon)",이중(부)전공,2,2,"목 3 4 (0305)
(Thu 3 4 (0305))"
Major/Minor,EU Major,A22039201,"유럽연합과중동부유럽의국제관계
(The European Union and the Central/Eastern Europe Countries’ International Relationship)","이하얀
(Hayann Lee)",이중(부)전공,3,2,"수 7 8 (0304)
(Wed 7 8 (0304))"
Major/Minor,EU Major,A22031301,"유럽연합의환경에너지정책
(The Environmental and Energy Policy of the European Union)","심갑영
(심갑영(Shim, Gabyoung))",이중(부)전공,3,2,"금 5 6 (2407)
(Fri 5 6 (2407))"
Major/Minor,EU Major,A22037101,"유럽경제세미나
(The European Economy Seminars)","김신규
(KIM SHIN KYU)",이중(부)전공,4,2,"화 3 4 (0304)
(Tue 3 4 (0304))"
Major/Minor,EU Major,A22010201,"한.유럽연합관계
(Korea-EU Relations)","이하얀
(Hayann Lee)",이중(부)전공,4,2,"수 5 6 (0304)
(Wed 5 6 (0304))"
Major/Minor,Global Business & Technology,D03306601,"국제경영학
(International Business)","현재훈
(Jae Hoon Hyun)",전공,1,3,"목 4 5 6 (4403)
(Thu 4 5 6 (4403))"
