전공,영역,학수번호,과목명,교수명,이수구분,학년,학점,강의시간/강의실
Major/Minor,Artificial Intelligence Convergence,V41006101,"자료구조
(Data Structures)","윤성진
(Yoon SeongJin)",이중(부)전공,2,3,"월 4 5 6 (-)
(Mon 4 5 6 (-))"
Major/Minor,Artificial Intelligence Convergence,V41005101,"확률과통계
(Probability and Statistics)","함건희
(HAM GEONHEE)",이중(부)전공,2,3,"금 10 11 12 (-)
(Fri 10 11 12 (-))"
Major/Minor,CORE Global Studies,J11019101,"러시아.투르크.몽골의 사상과 문화
(Russian, Turkic, Mongolian Thoughts and Cultures)","이평래
(Lee, Pyungrae)",인문학공통,1,2,"월 7 8 (-)
(Mon 7 8 (-))"
Major/Minor,CORE Global Studies,J11003101,"러시아.투르크.몽골의인문지리와사회
(Russian, Turkic, Mongolian Human Geography and Society)","최우익
(Choi Woo Ik)",인문학공통,1,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,CORE Global Studies,J11015201,"유럽지성의이해
(Understanding Intelligence and Intellectuals of Europe)","김성화
(Kim Sunghwa)",인문학공통,1,2,"수 5 6 (-)
(Wed 5 6 (-))"
Major/Minor,CORE Global Studies,J11014201,"유럽통합사
(History of European Integration)","박상준
(Park, SangJun)",인문학공통,1,2,"금 3 4 (-)
(Fri 3 4 (-))"
Major/Minor,CORE Global Studies,J11017201,"이슬람사상의이해(2)
(Understanding of Islamic Thought (2))","정진한
(Jin Han, Jeong)",인문학공통,1,3,"목 1 2 3 (-)
(Thu 1 2 3 (-))"
Major/Minor,CORE Global Studies,J11021101,"인도.동남아시아문학과예술
(Introduction to Indian & Southeast Asian Literature and Arts)","신근혜
(Shin, Keun-hye)",인문학공통,1,2,"월 3 4 (-)
(Mon 3 4 (-))"
Major/Minor,CORE Global Studies,J11022101,"인도.동남아시아종교와사상
(Introduction to Indian & Southeast Asian Literature and Arts)","서명교
(Seo, Myengkyo)",인문학공통,1,2,"월 5 6 (-)
(Mon 5 6 (-))"
Major/Minor,CORE Global Studies,J11020101,"중남미역사와사상(2)
(Latin American History and Philosophy (2))","오인혜
(Inhye Oh)",인문학공통,1,3,"화 4 5 6 (-)
(Tue 4 5 6 (-))"
