University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCA1004-01-00   ,0,CHAPEL(4) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①⒞",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCA1004-02-00   ,0,CHAPEL(4) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①②⑬⒞",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCA1012-01-00   ,0,CHAPEL(2) ,,,,,Chung Meehyun,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①⒞",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCA1008-01-00   ,.5,CHAPEL(D) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①⒞",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCA1008-02-00   ,.5,CHAPEL(D) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①②⑬⒞",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCA1010-01-00   ,.5,CHAPEL(B) ,,,,,Chung Meehyun,,,"javascript:OpenList5(""H1"",""20202"",""30105"");, ⓔ①⒞",O
Foundation Education(2019~),Understanding Christianity,,,,,Foundation Education,,YCA1101-11-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,CHO JAI KOOK,"Mon7,8/Wed8",Realtime online lecture/BYH S208,"javascript:OpenList5(""H1"",""20202"",""30106"");, 7578⒝",O
Foundation Education(2019~),Understanding Christianity,,,,,Foundation Education,,YCA1102-12-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,"HAN, IN CHUL",Tue7,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30106"");, 7178⒝",O
Foundation Education(2019~),Understanding Christianity,,,,,Foundation Education,,YCA1103-07-00   ,3,BIBLE AND CHRISTIANITY ,,,,,KIM JU HWAN,"Wed1/Fri1,2",BYH S208/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30106"");, 7578⒝",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCB1101-51-00   ,3,WRITING ,,,,,Yu Gwang-Su,"Mon3,4/Wed4",Realtime online lecture/BYH S108,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCB1101-52-00   ,3,WRITING ,,,,,Yu Gwang-Su,"Mon5,6/Wed6",Realtime online lecture/BYH S408,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCB1101-53-00   ,3,WRITING ,,,,,Yu Gwang-Su,"Mon7,8/Wed8",Realtime online lecture/BYH S408,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCB1101-54-00   ,3,WRITING ,,,,,KIM SUNHYE,"Tue5,6/Thu4",Realtime online lecture/BYH S408,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCB1101-55-00   ,3,WRITING ,,,,,QUAN YINZHU,"Tue7/Thu8,9",BYH S408/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCB1101-56-00   ,3,WRITING ,,,,,PARK KYUNG WOO,"Wed1/Fri1,2",BYH S408/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
Foundation Education(2019~),UC Basic,,,,,Foundation Education,,YCB1101-57-00   ,3,WRITING ,,,,,PARK KYUNG WOO,"Wed3/Fri3,4",BYH S408/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30107"");, 7578⒝",O
