University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1002-01-00   ,0,CHAPEL(2) ,,,,,Kwak Hochul,,,"javascript:OpenList5(""H1"",""20202"",""1825"");, ⓔ①②⑬⒞",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1002-02-00   ,0,CHAPEL(2) ,,,,,Chung Yong Han,,,"javascript:OpenList5(""H1"",""20202"",""1825"");, ⓔ①⑭⒞",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1006-01-00   ,.5,CHAPEL(B) ,,,,,Kwak Hochul,,,"javascript:OpenList5(""H1"",""20202"",""1825"");, ⓔ①②⑬⒞",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1006-02-00   ,.5,CHAPEL(B) ,,,,,Chung Yong Han,,,"javascript:OpenList5(""H1"",""20202"",""1825"");, ⓔ①⑭⒞",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-01-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Kim Hak Chol,Wed6,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-02-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Kim Hak Chol,Wed8,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-03-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Yun Sanglim,"Tue2,3,Thu1",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-04-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Kim Hak Chol,Thu4,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-05-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Kim Hak Chol,Thu7,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-06-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,KO HYONGSANG,"Tue1/Thu2,3",IVHA108/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-07-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Chung Yong Han/Kwak Hochul,"Tue7/Thu8,9",IVHA108/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-08-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,JUNG WOON HYUNG,"Mon3,4/Wed4",Realtime online lecture/IVHA108,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⑤⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-09-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,PARK JAE KYUNG,"Mon1,2,Wed2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, 16ⓒ②⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1101-10-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,PAIK YOUNG MIN,"Tue4,Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, 16ⓒ②⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-01-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,Min Kyoung Shik,"Mon1,2,Wed2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-02-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,Min Kyoung Shik,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-03-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,Min Kyoung Shik,"Tue1,Thu2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-04-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,Lee Byongsung,"Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-05-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,CHOI EUN TAEK,"Wed1,Fri1,2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-06-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,SHIN ICK SANG,"Mon7,8/Wed8",Realtime online lecture/IVHA108,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-07-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,Kim Seon Jeong,"Tue5,6/Thu4",Realtime online lecture/IVHA108,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-08-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,Kim Seon Jeong,"Tue8,9/Thu7",Realtime online lecture/IVHA108,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-09-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,KIM YOUNG SHIN,"Wed1,Fri1,2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, 17ⓒ⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-10-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,PAIK YOUNG MIN,"Tue1,Thu2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, 16ⓒ②⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1102-11-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,LEE JOUNG CHUL,"Wed3,Fri3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, 16ⓒ②⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1103-01-00   ,3,BIBLE AND CHRISTIANITY ,,,,,KIM SUNG-ON,"Mon5,6/Wed6",Realtime online lecture/IVHA108,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1103-02-00   ,3,BIBLE AND CHRISTIANITY ,,,,,Seo Hyungsuk,"Tue2,3/Thu1",Realtime online lecture/IVHA108,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1103-03-00   ,3,BIBLE AND CHRISTIANITY ,,,,,Kim Seon Jeong,"Tue4/Thu5,6",IVHA108/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1103-04-00   ,3,BIBLE AND CHRISTIANITY ,,,,,Kim Seon Jeong,"Tue7,Thu8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, ⓒ④⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1103-05-00   ,3,BIBLE AND CHRISTIANITY ,,,,,Kim Dong-Hyuk,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, 16ⓒ②⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCA1103-06-00   ,3,BIBLE AND CHRISTIANITY ,,,,,Kwak Hochul,Thu7,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1826"");, 16ⓒ②⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCB1101-01-00   ,3,WRITING ,,,,,Jang cheul whoan,"Mon1,2,Wed2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1827"");, ⓒ⑤⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCB1101-02-00   ,3,WRITING ,,,,,HA SHINAE,"Mon1,2",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1827"");, ⓒ⑤⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCB1101-03-00   ,3,WRITING ,,,,,Jo Minjeong,"Mon1,2/Wed2",Realtime online lecture/ILHA320,"javascript:OpenList5(""H1"",""20202"",""1827"");, ⓒ⑤⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCB1101-04-00   ,3,WRITING ,,,,,Lee Shieun,"Mon1,2/Wed2",Realtime online lecture/ILHA321,"javascript:OpenList5(""H1"",""20202"",""1827"");, ⓒ⑤⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCB1101-05-00   ,3,WRITING ,,,,,Jang cheul whoan,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1827"");, ⓒ⑤⒝",O
(~2018)International Campus,General Education Basic(2010~),,,,0,Common Basic,1000,YCB1101-06-00   ,3,WRITING ,,,,,HA SHINAE,"Mon3,4",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1827"");, ⓒ⑤⒝",O
