University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI1175-01-00   ,1,THE SPIRIT OF YONSEI & HUMAN RIGHTS ,,,,,PARK Kyung Ja,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⓔ⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI2001-01-00   ,1,VOLUNTEER SERVICE ,,,,,"Park, Joonhong",,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 16⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI2001-02-00   ,1,VOLUNTEER SERVICE ,,,,,"Chun, Heoung Jae",,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 17⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI2001-03-00   ,1,VOLUNTEER SERVICE ,,,,,Hong Won Pyo,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 20⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI2001-06-00   ,1,VOLUNTEER SERVICE ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 24⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI2001-07-00   ,1,VOLUNTEER SERVICE ,,,,,Nah Jeong Eun,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 16⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI2001-09-00   ,1,VOLUNTEER SERVICE ,,,,,"Jeong, Chong Hun",,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 16⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI2001-13-00   ,1,VOLUNTEER SERVICE ,,,,,Dong Hwan Kim,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 16⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCJ1135-01-00   ,1,YONSEI UNIVERSITY CHOIR(LAB CHOIR) ,,,,,JI HYUN CHUNG,"Fri5,6",Mus117,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCJ1135-02-00   ,1,YONSEI UNIVERSITY CHOIR(LAB CHOIR) ,,,,,KIM DAEKWANG,"Fri5,6",Mus103,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCR1016-01-00   ,1,LIFE ACADEMY ,,,,,Nam Seok In,"Tue10,11",APZH108,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI1167-01-00   ,3,SOCIAL INNOVATION & CSR ,,,,,KIM DO-YOUNH,"Tue8,9/Thu7",BYH S208/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30120"");, 7678⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI1176-01-00   ,3,SCIO-SCIENTIFIC ISSUES BY CONVERGENCE EDUCATION APPROACH ,,,,,BAEK YOON SU,"Wed7,8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30120"");, 7278⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI1177-01-00   ,3,UNDERSTANDING SUSTAINABLE DEVELOPMENT WITH BKM ,,,,,"KIM SO YOON/Park, Joonhong/PARK TAE IN",,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 7178①⒞",O
Basic Education(2019~),Self Elective,,,,,Basic Education,,UCI1183-01-00   ,3,TRANSDISCIPLINARY TEAMWORK FOR SOCIAL PROBLEM SOLVING ,,,,,Song In Han,"Thu7,8,9",Edu403,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⒝",O
