University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Business,Business Administration,,,,1,Major Elective,2000,BIZ2126-01-00   ,3,PRINCIPLES OF BUSINESS FOR INNOVATION AND ENTREPRENEURSHIP ,,,,,Jung Dongil,"Thu2,3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⓒ⑭⒞",X
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1101-01-00   ,3,PRINCIPLES OF ACCOUNTING ,,,,,"Sohn, Sungkyu","Tue1,Thu2,3",BizH102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑥⒜",X
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1101-02-00   ,3,PRINCIPLES OF ACCOUNTING ,,,,,"Choi, Won W.","Mon5,6,Wed6",BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑥⒜",X
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1101-03-00   ,3,PRINCIPLES OF ACCOUNTING ,,,,,Guiral Andres,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⑥⒝",O
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1101-04-00   ,3,PRINCIPLES OF ACCOUNTING ,,,,,Kim Jonghwan,"Tue4/Thu5,6",BizH103/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⑥⒝",O
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1101-05-00   ,3,PRINCIPLES OF ACCOUNTING ,,,,,PARK JU HYOUNG,"Wed3/Fri3,4",BizHB201/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑥⒜",X
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1101-06-00   ,3,PRINCIPLES OF ACCOUNTING ,,,,,PARK JU HYOUNG,"Wed7/Fri7,8",BizHB201/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16④⑥⒜",X
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1102-01-00   ,3,ORGANIZATIONAL BEHAVIOR ,,,,,"SHIN, DONG YOUB","Tue2,3,Thu1",BizH103,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⒜",X
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1102-02-00   ,3,ORGANIZATIONAL BEHAVIOR ,,,,,Oh Hongseok,"Mon5,6,Wed6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⒜",X
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1102-03-00   ,3,ORGANIZATIONAL BEHAVIOR ,,,,,"CHANG, EUNMI","Mon9,10/Wed10",Realtime online lecture/BizH101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16④⒜",X
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1102-04-00   ,3,ORGANIZATIONAL BEHAVIOR ,,,,,Lee Ki Yeong,"Tue7,Thu8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⒝",O
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1102-05-00   ,3,ORGANIZATIONAL BEHAVIOR ,,,,,Do Boram,"Mon1,2,Wed2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⒝",O
College of Business,Business Administration,,,,2,Major Basic,1000,BIZ1102-06-00   ,3,ORGANIZATIONAL BEHAVIOR ,,,,,Do Boram,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2119-01-00   ,3,FINANCIAL MANAGEMENT ,,,,,KU Bon Il,"Tue1/Thu2,3",Pre-recorded lecture/BizH101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2119-02-00   ,3,FINANCIAL MANAGEMENT ,,,,,"YON, Kang Heum","Mon5,6,Wed6",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2119-03-00   ,3,FINANCIAL MANAGEMENT ,,,,,"YON, Kang Heum","Mon7,8,Wed8",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2119-04-00   ,3,FINANCIAL MANAGEMENT ,,,,,"Shin, Jhinyoung","Mon5,6/Wed6",Pre-recorded lecture/BizH103,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2119-05-00   ,3,FINANCIAL MANAGEMENT ,,,,,Park Sae Yeul,"Tue8,9/Thu7",Realtime online lecture/BizH102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2119-06-00   ,3,FINANCIAL MANAGEMENT ,,,,,KIM KIBEOM,"Mon9,10,Wed10",BizH103,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16④⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2120-01-00   ,3,MARKETING ,,,,,Kim Youngchan,"Tue4/Thu5,6",Realtime online lecture/BizH101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑮⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2120-02-00   ,3,MARKETING ,,,,,Chang Sue Ryung,"Tue2,3,Thu1",BizHB204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2120-03-00   ,3,MARKETING ,,,,,Ko Min Jeong,"Tue4,Thu5,6",BizH104,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2120-04-00   ,3,MARKETING ,,,,,Ko Min Jeong,"Tue5,6,Thu4",BizH104,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16④⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2120-05-00   ,3,MARKETING ,,,,,Lee Luri,"Wed3,Fri3,4",BizHB204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2121-01-00   ,3,PRODUCTION & OPERATIONS MANAGEMENT ,,,,,Hur Dae Sik,"Tue4/Thu5,6",Realtime online lecture/BizH102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2121-02-00   ,3,PRODUCTION & OPERATIONS MANAGEMENT ,,,,,Min Soon Hong,"Tue2,3",BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2121-03-00   ,3,PRODUCTION & OPERATIONS MANAGEMENT ,,,,,Min Soon Hong,"Thu2,3",BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2121-04-00   ,3,PRODUCTION & OPERATIONS MANAGEMENT ,,,,,Park Seung Jae,"Mon1,2/Wed2",Realtime online lecture/BizHB204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 1618②⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2121-05-00   ,3,PRODUCTION & OPERATIONS MANAGEMENT ,,,,,LEE INHO,"Thu7,8,9",BizHB202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2121-06-00   ,3,PRODUCTION & OPERATIONS MANAGEMENT ,,,,,Shin Jaeho,"Wed7,Fri7,8",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ④⒜",X
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2122-01-00   ,3,MANAGEMENT SCIENCE ,,,,,Kim Hak Jin,"Mon5,6,Wed6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2122-02-00   ,3,MANAGEMENT SCIENCE ,,,,,Park Sunju,"Tue5,6",BizHB201,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2122-03-00   ,3,MANAGEMENT SCIENCE ,,,,,Kim Seongmoon,"Tue2,3,Thu1",Realtime online lecture/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2122-04-00   ,3,MANAGEMENT SCIENCE ,,,,,Yerim Chung,"Tue4/Thu5,6",Realtime online lecture/BizHB101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2122-05-00   ,3,MANAGEMENT SCIENCE ,,,,,Yerim Chung,"Tue1/Thu2,3",Realtime online lecture/BizHB101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
College of Business,Business Administration,,,,2,Major Basic,2000,BIZ2122-06-00   ,3,MANAGEMENT SCIENCE ,,,,,Soh Seung Bum,"Wed7/Fri7,8",BizHB208/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
College of Business,Business Administration,,,,2,Major Elective,2000,BIZ2001-01-00   ,1,JUNIOR SEMINAR ,,,,,SHIN HYUN HAN,Fri9,BizHB223,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
College of Business,Business Administration,,,,2,Major Elective,2000,BIZ2003-01-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,KANG JIHOON,Wed3,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
