University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Commerce and Economics,Economics,,,,1,Major Basic,1000,ECO1101-01-00   ,3,MATHEMATICS FOR ECONOMICS I ,,,,,SEO BO YOON,"Mon3,4/Wed4",Pre-recorded lecture/DWHM101,"javascript:OpenList5(""H1"",""20202"",""0201"");, ①⒝",O
College of Commerce and Economics,Economics,,,,1,Major Basic,1000,ECO1101-02-00   ,3,MATHEMATICS FOR ECONOMICS I ,,,,,SEO BO YOON,"Mon7,8/Wed8",Pre-recorded lecture/DWHM101,"javascript:OpenList5(""H1"",""20202"",""0201"");, ①⒝",O
College of Commerce and Economics,Economics,,,,1,Major Basic,1000,ECO1101-03-00   ,3,MATHEMATICS FOR ECONOMICS I ,,,,,HAN WON YONG,"Tue1,Thu2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, ⓔ⒝",O
College of Commerce and Economics,Economics,,,,1,Major Basic,1000,ECO1101-04-00   ,3,MATHEMATICS FOR ECONOMICS I ,,,,,KIM SUK HO,"Tue2,3,Thu1",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓔ②⒝",O
College of Commerce and Economics,Economics,,,,1,Major Basic,1000,ECO1101-05-00   ,3,MATHEMATICS FOR ECONOMICS I ,,,,,YOON JIN HEE,"Tue1,Thu2,3",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓒ①②⒝",O
College of Commerce and Economics,Economics,,,,1,Major Basic,1000,ECO1101-06-00   ,3,MATHEMATICS FOR ECONOMICS I ,,,,,YOON JIN HEE,"Tue2,3,Thu1",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓒ①②⒝",O
College of Commerce and Economics,Economics,,,,2,Major Basic,1000,ECO1103-01-00   ,3,PRINCIPLES OF MICROECONOMICS ,,,,,LEE JI YOUNG,Thu1,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, ①⒝",O
College of Commerce and Economics,Economics,,,,2,Major Basic,1000,ECO1103-02-00   ,3,PRINCIPLES OF MICROECONOMICS ,,,,,KIM YONG SUN,"Wed1/Fri1,2",Pre-recorded lecture/DWHMB109,"javascript:OpenList5(""H1"",""20202"",""0201"");, ①⒝",O
College of Commerce and Economics,Economics,,,,2,Major Basic,1000,ECO1103-03-00   ,3,PRINCIPLES OF MICROECONOMICS ,,,,,CHOI MI HO,"Tue1,Thu2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, ⓔ⒝",O
College of Commerce and Economics,Economics,,,,2,Major Basic,1000,ECO1103-04-00   ,3,PRINCIPLES OF MICROECONOMICS ,,,,,KIM SUK HO,"Tue7,Thu8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓔ②⒝",O
College of Commerce and Economics,Economics,,,,2,Major Basic,1000,ECO1103-05-00   ,3,PRINCIPLES OF MICROECONOMICS ,,,,,LEE TAE BONG,"Mon5,6/Wed6",Pre-recorded lecture/DWHM115,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16①②⒝",O
College of Commerce and Economics,Economics,,,,2,Major Basic,1000,ECO1103-06-00   ,3,PRINCIPLES OF MICROECONOMICS ,,,,,BANG BYUNG KOOK,"Tue5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓒ①②⒝",O
College of Commerce and Economics,Economics,,,,2,Major Basic,1000,ECO1103-07-00   ,3,PRINCIPLES OF MICROECONOMICS ,,,,,LEE TAE BONG,"Tue7/Thu8,9",IVHA302/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓒ①②⒝",O
