University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Engineering,Engineering College Common,,,,0,Major Basic,2000,MAT2016-01-01   ,3,ENGINEERING MATHEMATICS(3) ,,,,,Lim Woong,"Tue1,2,Fri5(Fri6)",Pre-recorded lecture(),"javascript:OpenList5(""H1"",""20202"",""0400"");, ①②⒝",X
College of Engineering,Engineering College Common,,,,0,Major Basic,2000,MAT2016-01-02   ,3,ENGINEERING MATHEMATICS(3) ,,,,,Lim Woong,"Tue1,2,Fri5(Fri6)",Pre-recorded lecture(),"javascript:OpenList5(""H1"",""20202"",""0400"");, ①②⒝",X
College of Engineering,Engineering College Common,,,,0,Electives,2000,ENG2000-01-00   ,3,START-UP102:ENTERPRISE AND ENTREPRENEURSHIP ,,,,,KIM SEUNGHYUN,"Mon7,8,9",EngHA528,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒞",O
College of Engineering,Engineering College Common,,,,0,Electives,2000,ENG2009-01-00   ,3,INTRODUCTION TO CONVERGENT BRAIN ENGINEERING ,,,,,CHOI HEON-JIN,"Wed5,6,7",EngHD405,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒝",O
College of Engineering,Engineering College Common,,,,0,Electives,2000,ENG2113-01-00   ,3,START UP 301: PRACTICAL GUIDE TO BUILDING A STARTUP ,,,,,CHOI HWAN JIN,"Tue5,6,7",EngHD508,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⑬⒞",O
College of Engineering,Engineering College Common,,,,0,Electives,2000,ENG2114-01-00   ,3,ENGINEERING AND INTELLECTUAL PROPERTY ,,,,,Park SooJo,"Mon2,3,4",EngHD510,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⑬⒝",O
College of Engineering,Engineering College Common,,,,0,Electives,2000,ENG2116-01-00   ,3,SMART TECHNOLOGIES AIR ,,,,,Han Seungjae/Kim DaeEun,"Tue5,6,Thu2",EngHD405,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⑬⑭⒝",O
College of Engineering,Engineering College Common,,,,0,Electives,3000,ENG3405-01-00   ,3,START-UP 404: CREATIVE PROBLEM SOLVING FOR COMMUNITY ,,,,,Kang So Yeon,"Wed7,8,9",EngHD510,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⑥⑪⒞",O
College of Engineering,Engineering College Common,,,,0,General Education,1000,ENG1108-01-01   ,3,ENGINEERING INFORMATION PROCESSING ,,,,,Kim EunJin,"Wed4,5(Thu8,9)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""0400"");, 24⒝",O
College of Engineering,Engineering College Common,,,,0,General Education,1000,ENG1108-01-02   ,3,ENGINEERING INFORMATION PROCESSING ,,,,,Kim EunJin,"Wed4,5(Fri4,5)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""0400"");, 24⒝",O
