University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Human Ecology,Clothing and Textiles,,,,1,Major Basic,1000,CNT1101-01-00   ,3,APPAREL INDUSTRY AND FASHION ,,,,,SIM JEONGEUN/LEE MYUNGEUN,"Wed5,6,7",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓒ①⒝",O
College of Human Ecology,Clothing and Textiles,,,,2,Major Requisite,2000,CNT2109-01-00   ,3,FASHION MARKETING ,,,,,"Ko, Eunju","Wed2,3,4/Wed2,3,4",SSH308/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⑭⒝",O
College of Human Ecology,Clothing and Textiles,,,,2,Major Requisite,2000,CNT2120-01-00   ,3,APPAREL DESIGN ,,,,,CHO HYUNSEUNG,"Thu6,7,8,9",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒝",O
College of Human Ecology,Clothing and Textiles,,,,2,Major Requisite,2000,CNT2120-02-00   ,3,APPAREL DESIGN ,,,,,CHO HYUNSEUNG,"Fri6,7,8,9",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒝",O
College of Human Ecology,Clothing and Textiles,,,,2,Major Elective,2000,CNT2002-01-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,AHN SUHYOUNG,Fri3,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒞",O
College of Human Ecology,Clothing and Textiles,,,,2,Major Elective,2000,CNT2002-02-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,LEE Eugene,Mon6,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⒞",O
College of Human Ecology,Clothing and Textiles,,,,2,Major Elective,2000,CNT2002-03-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,LEE JEONG SUN,Mon3,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒞",O
College of Human Ecology,Clothing and Textiles,,,,2,Major Elective,2000,CNT2111-01-00   ,3,TEXTILE FINISHING & ADVANCED MATERIALS ,,,,,LEE Eugene,"Thu2,3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Major Elective,3000,CNT3105-01-00   ,3,PATTERN DRAPING ,,,,,Oh Seol Young,"Mon2,3,4,5",SSH312,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Major Elective,3000,CNT3114-01-00   ,3,BRAND MANAGEMENT OF CULTURE AND FASHION ,,,,,"Ko, Eunju/AUSPRUNG ULF","Wed6,7,8,9/Wed6,7,8,9",SSH308/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ②⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Major Elective,3000,CNT3121-01-00   ,3,TEXTILE CONSTRUCTION AND DESIGN ,,,,,Lee Seungsin/SONG YOUJEONG,"Tue4/Tue4/Thu6,7",SSH308/SSHB124/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⑮⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Major Elective,3000,CNT3124-01-00   ,3,APPARAL PATTERN DESIGN ,,,,,JONGSUK CHUN,"Tue6,7/Tue8,9",SSH312/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Major Elective,3000,CNT3128-01-00   ,3,CARE AND MAINTENANCE OF CLOTHING ,,,,,HAN EUN GYEONG,"Fri5,6,7",Realtime online lecture/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ①⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Major Elective,3000,CNT3133-01-00   ,3,FASHION COLOR AND PLANNING ,,,,,Lee Joo Hyeon,"Tue2,3,4,5",SSH312,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Major Elective,3000,CNT3136-01-00   ,3,PSYCHOLOGY OF FASHION AND APPAREL INDUSTRY ,,,,,KIM SUYEON,"Thu2/Thu3,4",Pre-recorded lecture/SSH308,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①②⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Major Elective,3000,CNT3139-01-00   ,3,FASHION PRODUCTS & INTERNATIONAL TRADE ,,,,,Woo Hongjoo,"Mon6,7,8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ②⒝",O
College of Human Ecology,Clothing and Textiles,,,,3,Teacher Training Program,3000,TTP3828-01-00   ,2,LOGIC AND ACADEMIC ESSAY FOR FASHION EDUCATION ,,,,,SIN EUNJUNG,"Wed4,5",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ④⒝",O
College of Human Ecology,Clothing and Textiles,,,,4,Major Elective,4000,CNT4110-01-00   ,3,THE PRACTICE OF FASHION PLANNING ,,,,,LIM SOYON,"Wed6,7,8,9/Wed6,7,8,9",SSH312/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ②⒝",O
College of Human Ecology,Clothing and Textiles,,,,4,Major Elective,4000,CNT4121-01-00   ,3,TEXTILE INDUSTRY AND INTELLECTUAL PROPERTY RIGHTS ,,,,,KIM CHUNJEONG/Lee Sei-Jin/LEE MYUNGEUN,"Fri3,4,5",Realtime online lecture/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ①⒝",O
College of Human Ecology,Clothing and Textiles,,,,4,Major Elective,4000,CNT4126-01-00   ,3,FASHION CONSUMER CULTURE AND CUSTOMERISM ,,,,,Koh Ae Ran/SIN EUNJUNG,"Tue3/Thu8,9/Thu8,9",Pre-recorded lecture/SSHB124/SSH308,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒝",O
College of Human Ecology,Clothing and Textiles,,,,4,Major Elective,4000,CNT4127-01-00   ,3,TEXTILE DYEING ,,,,,JANG EUNJI,"Tue6,7,8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⒝",O
College of Human Ecology,Food and Nutrition,,,,1,Major Exploratory,1000,FNS1101-01-00   ,3,FOOD & NUTRITION FOR PHYSICAL FITNESS ,,,,,CHUNG HYE KYUNG,"Tue4,5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0902"");, ⓒ①⒝",O
College of Human Ecology,Food and Nutrition,,,,2,Major Elective,2000,FNS2101-01-00   ,3,FOODSERVICE MANAGEMENT ,,,,,Ham Seonok,"Tue7,Thu6,7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0902"");, ②⒝",O
College of Human Ecology,Food and Nutrition,,,,2,Major Elective,4000,FNS4117-01-00   ,3,FOOD SCIENCE ,,,,,CHOI HYEJUNG,"Mon2,Thu8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0902"");, ⓔ②⒝",O
College of Human Ecology,Food and Nutrition,,,,3,Major Elective,3000,FNS3119-01-00   ,2,FIELD STUDY ,,,,,Kim Minsik,,,"javascript:OpenList5(""H1"",""20202"",""0902"");, ③⒞",O
College of Human Ecology,Food and Nutrition,,,,3,Major Elective,2000,FNS2103-01-00   ,3,FOOD MICROBIOLOGY ,,,,,Kim Minsik,"Tue5,6/Tue5,6/Thu2,3",SSH609/SSH508/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0902"");, ①⒝",O
College of Human Ecology,Food and Nutrition,,,,3,Major Elective,3000,FNS3102-01-00   ,3,NUTRITION & HUMAN GROWTH ,,,,,KIM SOO YEON,"Thu4/Fri6,7",SSH508/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0902"");, ①②⒝",O
College of Human Ecology,Food and Nutrition,,,,3,Major Elective,3000,FNS3108-01-00   ,3,CLINICAL NUTRITION ,,,,,LEE Jong Ho,"Tue2,3,Thu5",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0902"");, ⓔ⒝",O
College of Human Ecology,Food and Nutrition,,,,3,Major Elective,3000,FNS3116-01-00   ,3,NUTRIENT METABOLISM & EXPERIMENT ,,,,,LIM JOOWEON,"Wed6,7(Mon8,9)",Pre-recorded lecture(SSH508),"javascript:OpenList5(""H1"",""20202"",""0902"");, ①⒝",O
College of Human Ecology,Food and Nutrition,,,,3,Major Elective,3000,FNS3124-01-00   ,3,NUTRITION PHYSIOLOGY ,,,,,Lee Seung-Min,"Mon3,Wed3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0902"");, ⓔ⒝",O
College of Human Ecology,Food and Nutrition,,,,4,Major Elective,4000,FNS4106-01-00   ,3,EXPERIMENTAL FOOD & PRODUCT DEVELOP ,,,,,Chae Seonhee,"Tue10/Tue8,9/Tue8,9",Pre-recorded lecture/SSH508/SSH612,"javascript:OpenList5(""H1"",""20202"",""0902"");, ①⒝",O
College of Human Ecology,Food and Nutrition,,,,4,Major Elective,4000,FNS4111-01-00   ,3,NUTRITION EDUCATION AND COUNSELING ,,,,,LEE MIN-JUNE,"Mon5/Wed8,9",Pre-recorded lecture/SSH508,"javascript:OpenList5(""H1"",""20202"",""0902"");, ①⒝",O
College of Human Ecology,Food and Nutrition,,,,4,Major Elective,4000,FNS4116-01-00   ,3,FOOD PROCESSING & TECHNOLOGY & EXPERIMENT ,,,,,WOO JANGBIN,"Wed5/Fri4,5",Pre-recorded lecture/SSH508,"javascript:OpenList5(""H1"",""20202"",""0902"");, ①⒝",O
College of Human Ecology,Food and Nutrition,,,,4,Major Elective,4000,FNS4120-01-00   ,3,FUNCTIONAL FOODS ,,,,,"Park, Taesun","Mon6,7,Wed2",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0902"");, ①⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,1,Major Requisite,1000,HID1104-01-00   ,3,ARCHITECTURE DRAWING & GRAPHICS ,,,,,Kim Suk Kyung,"Thu2/Thu3,4,5",IVHC401/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⓒⓓ①②⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,1,Major Requisite,1000,HID1104-02-00   ,3,ARCHITECTURE DRAWING & GRAPHICS ,,,,,LEE JIN KOOK,"Thu6/Thu7,8,9",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⓒⓓ②⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,1,Major Elective,1000,HID1103-01-00   ,3,PRACTICE FOR SPACE DESIGN ,,,,,LIM Ho-kyun,"Mon6,7,8,9",IVHC401,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⓒ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,2,Major Elective,1000,HID1105-01-00   ,3,DIGITAL DESIGN MEDIA ,,,,,LEE JIN KOOK,"Mon5,6/Mon7,8",SSH513/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⓓ②⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,2,Major Elective,2000,HID2111-01-00   ,3,DIGITAL FABRICATION ,,,,,CHO HAEYEON,"Fri6,7,8,9",SSH412,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,2,Major Elective,2000,HID2114-01-00   ,3,INTERIOR ARCHITECTURE STUDIO(2) ,,,,,LEE Hyun Soo/CHO HAEYEON,"Tue6,7,8,9",SSH513,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,2,Major Elective,2000,HID2114-02-00   ,3,INTERIOR ARCHITECTURE STUDIO(2) ,,,,,SOHN SUNKI,"Tue6,7,8,9",SSH518,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,2,Major Elective,3000,HID3119-01-00   ,3,ERGONOMIC AND DESIGN ,,,,,Choi Yoo Rim,"Thu2,3,4",SSHB111,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,3,Major Elective,3000,HID3122-01-00   ,3,SUTAINABLE INTERIOR ARCHITECTURE ,,,,,"Chun, Chungyoon","Mon3,Wed6,7",SSH412,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,3,Major Elective,3000,HID3124-01-00   ,3,KOREAN TRADITIONAL ARCHITECTURE AND DESIGN ,,,,,LIM Ho-kyun,"Tue2,3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⓔ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,3,Major Elective,3000,HID3125-01-00   ,3,GIS-BASED SPATIAL ANALYSIS ,,,,,SONG JIHYUN,"Fri2,3/Fri4",SSH412/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0903"");, ①⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,3,Major Elective,3000,HID3127-01-00   ,3,INTERIOR ARCHITECTURE STUDIO(4) ,,,,,Lee Jeongeun,"Fri1,2,3,4",SSH518,"javascript:OpenList5(""H1"",""20202"",""0903"");, ②⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,3,Major Elective,3000,HID3130-01-00   ,3,BUILDING ACOUSTICS ,,,,,Kim Sooyoung,"Mon7,8,9/Mon7,8,9",SSH412/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⓔ⑭⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,4,Major Requisite,4000,HID4101-01-00   ,3,INTEGRATED GRADUATION PROJECT ,,,,,Ha Mikyoung,"Thu6,7,8,9",SSH516,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,4,Major Requisite,4000,HID4101-02-00   ,3,INTEGRATED GRADUATION PROJECT ,,,,,BYUN GIDONG,"Thu6,7,8,9",SSH513,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,4,Major Elective,4000,HID4110-01-00   ,3,MODERN ARCHITECTURE AND INTERIOR ARCHITECTURE ,,,,,Ha Mikyoung,"Thu2,3,4",SSH412,"javascript:OpenList5(""H1"",""20202"",""0903"");, ⒝",O
College of Human Ecology,Interior Architecture and Built Environment,,,,4,Major Elective,4000,HID4119-01-00   ,3,INTERIOR DISPLAY & COORDINATION ,,,,,Kim Suk Kyung,"Wed2,3,4",SSH412,"javascript:OpenList5(""H1"",""20202"",""0903"");, ①②⒝",O
College of Human Ecology,Child and Family Studies,,,,1,Major Requisite,2000,CFS2106-01-00   ,3,INTRODUCTION TO FAMILY ,,,,,KIM SEONGHEE,"Thu2,3,4",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0904"");, ⓒⓔ①②⑥⒝",O
College of Human Ecology,Child and Family Studies,,,,1,Major Elective,2000,CFS2103-01-00   ,3,INFANT DEVELOPMENT ,,,,,Chung Youngsun,"Tue2,3,4",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0904"");, ⓒⓔ①⑥⒜",O
College of Human Ecology,Child and Family Studies,,,,2,Major Requisite,2000,CFS2104-01-00   ,3,THEORY OF EARLY CHILDHOOD EDUCATION ,,,,,PARK CHAN HWA,"Tue7,8,9",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0904"");, ⓔ①③⑥⒝",O
College of Human Ecology,Child and Family Studies,,,,2,Major Elective,4000,CFS4110-01-00   ,3,THEORIES OF CHILD WELFARE ,,,,,Kim Eun Young,"Thu1,2/Thu3",Pre-recorded lecture/SSH206,"javascript:OpenList5(""H1"",""20202"",""0904"");, ①⒝",O
College of Human Ecology,Child and Family Studies,,,,3,Major Elective,3000,CFS3102-01-00   ,3,SOCIAL AND EMOTIONAL DVELOPMENT IN YOUNG CHILDREN ,,,,,PARK Kyung Ja,"Mon6,7/Wed8",Pre-recorded lecture/SSH206,"javascript:OpenList5(""H1"",""20202"",""0904"");, ⓔ⒝",O
College of Human Ecology,Child and Family Studies,,,,3,Major Elective,3000,CFS3104-01-00   ,3,MANAGING CHILDREN'S CHALLENGING BEHAVIOR ,,,,,Park Ju Hee,"Tue6,Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0904"");, ⓔ⒝",O
College of Human Ecology,Child and Family Studies,,,,3,Major Elective,3000,CFS3108-01-00   ,3,ARITHMETIC FOR YOUNG CHILDREN ,,,,,LEE HAE KYUONG,"Wed2,3,4/Wed2,3,4",Realtime online lecture/SSH206,"javascript:OpenList5(""H1"",""20202"",""0904"");, ⓔ⑮⒝",O
