University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Liberal Arts,Liberal Arts College Common,,,,0,Teacher Training Program,2000,TTP3829-01-00   ,3,EVALUATION METHOD OF FOREIGN LANGUAGE ,,,,,Lee Wonkyung,"Fri1,2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0100"");, ③⑥⒝",O
College of Liberal Arts,Liberal Arts College Common,,,,0,Electives,2000,HUM2037-01-00   ,3,UNDERSTANDING OF PERFORMING ARTS IN THE EAST AND WEST ,,,,,"Ha Kyung Sim/Yoo, Hyun-Joo/Choe Keysook","Thu8,9,10",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⒝",O
College of Liberal Arts,Liberal Arts College Common,,,,0,Electives,2000,HUM2038-01-00   ,3,DIGITAL LANGUAGE DATA AND HUMANITIES ,,,,,Kim Hansaem,"Mon3,4/Wed4",WDH215/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⑫⒝",O
College of Liberal Arts,Liberal Arts College Common,,,,"2,3,4",Electives,2000,HUM2046-01-00   ,3,CODING FOR HUMANITIES(INTERMEDIATE) ,,,,,Heo Goeun,"Mon1,2/Wed2",Realtime online lecture/WDH416,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⑦⒞",O
College of Liberal Arts,Liberal Arts College Common,,,,"2,3,4",Electives,2000,HUM2047-01-00   ,3,DIGITAL MEDIA AND GENDER(REFLECTION AND DESIGN) ,,,,,Choe Keysook,"Tue5,6/Tue5,6/Thu4",Pre-recorded lecture/Realtime online lecture/WDH215,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⑤⑧⒝",O
College of Liberal Arts,Liberal Arts College Common,,,,"2,3,4",Electives,2000,HUM2048-01-00   ,3,TREASURES OF KOREA: HERITAGE AND SUSTAINABILITY ,,,,,Yoo Jungmin,"Tue2,3/Thu1",OSH01/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0100"");, ②⑨⒝",O
College of Liberal Arts,Liberal Arts College Common,,,,"2,3,4",Electives,2000,HUM2049-01-00   ,3,KOREAN HISTORY SEEN THROUGH HISTORIC FIGURES ,,,,,JO GYUNG CHEOL,"Tue1/Thu2,3",WDH216/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0100"");, ④⑪⒝",O
College of Liberal Arts,Liberal Arts College Common,,,,"3,4",Electives,3000,HUM3001-01-00   ,3,HUMANITIES AND LAW ,,,,,Kim Jong Cheol/Park Ji Yoon,"Tue7,8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⒝",O
College of Liberal Arts,Liberal Arts College Common,,,,"3,4",Electives,3000,HUM3007-01-00   ,3,INTRODUCTION TO ANALYZING DIGITAL DISCOURSE ,,,,,SON HYUNJUNG,"Tue4/Thu5,6",Realtime online lecture/Edu604,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⑩⒝",O
College of Liberal Arts,Korean Language and Literature,,,,1,Major Basic,1000,KOR1001-01-00   ,3,UNDERSTANDING OF KOREAN LANGUAGE AND LITERATURE ,,,,,Park Mooyoung/Won Mi Jin/Lee Kyoung Hoon,"Fri2,3,4/Fri2,3,4",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⓒ⒝",O
College of Liberal Arts,Korean Language and Literature,,,,2,Major Basic,1000,KOR1101-01-00   ,3,INTRODUCTION TO KOREAN LINGUISTICS ,,,,,Kwon Kyungil,"Tue4,Thu5,6/Tue4,Thu5,6",WDH210/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
College of Liberal Arts,Korean Language and Literature,,,,2,Major Basic,1000,KOR1102-01-00   ,3,INTRODUCTION TO LITERATURE ,,,,,CHO KANG SOK/LEE DANBEE,"Tue4,Thu5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
College of Liberal Arts,Korean Language and Literature,,,,2,Major Basic,1000,KOR1106-01-00   ,3,UNDERSTANDING OF CLASSICAL LITER. ,,,,,Kim Young Hee/GOO TAEUN,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
College of Liberal Arts,Korean Language and Literature,,,,2,Major Elective,2000,KOR2002-01-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,YANG SOON MO,Wed9/Wed9,WDH301/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
College of Liberal Arts,Korean Language and Literature,,,,2,Major Elective,2000,KOR2002-02-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,CHOI YOUNG SEOK,Tue7,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
College of Liberal Arts,Korean Language and Literature,,,,2,Major Elective,2000,KOR2002-03-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,HAN SEUNGKYU,Fri4,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
College of Liberal Arts,Korean Language and Literature,,,,2,Major Elective,2000,KOR2002-04-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,HONG SUNGHEE,Thu9,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
