University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Life System,Common,,,,2,Major Requisite,3000,LSB3101-01-00   ,3,BIOCHEMISTRY (1) ,,,,,Jaewhan Song/Ha Sang-Jun,"Tue5,6,Thu5",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1604"");, ⒝",O
College of Life System,Common,,,,2,Major Requisite,3000,LSB3101-02-00   ,3,BIOCHEMISTRY (1) ,,,,,Kwon Ho Jeong,"Wed6,7/Thu6",Pre-recorded lecture/EngHB001,"javascript:OpenList5(""H1"",""20202"",""1604"");, ①⒝",O
College of Life System,Common,,,,2,Major Requisite,3000,LSB3102-01-00   ,3,BIOCHEMISTRY (2) ,,,,,Kim Dae-Won/KO HYUK WAN,"Mon7,8,Wed6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1604"");, ⒜",O
College of Life System,Common,,,,2,Major Requisite,3000,LSB3102-02-00   ,3,BIOCHEMISTRY (2) ,,,,,ROE JAE-SEOK/Jaewhan Song,"Mon2/Wed7,8",Realtime online lecture/SRC321,"javascript:OpenList5(""H1"",""20202"",""1604"");, ⒜",O
College of Life System,Common,,,,2,Major Requisite,3000,LSB3202-01-00   ,3,CELL BIOLOGY (1) ,,,,,Park Hyun Woo/LEE SEUNG-TAEK,"Mon3,Thu2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1604"");, ⒜",O
College of Life System,Biology,,,,2,Major Requisite,3000,BIO3712-01-00   ,3,MOLECULAR BIOLOGY ,,,,,Yang Seong Wook/Park Boyoun,"Wed2,3,Fri1",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
College of Life System,Biology,,,,2,Major Requisite,3000,BIO3715-01-00   ,3,MOLECULAR BIOCHEMISTRY ,,,,,"Cho Hyun-Soo/Chung, Kwang Chul","Tue3,4/Thu6",Pre-recorded lecture/SciHB133,"javascript:OpenList5(""H1"",""20202"",""1601"");, ①⒜",O
College of Life System,Biology,,,,2,Major Elective,2000,BIO2503-01-00   ,2,FACULTY SEMINARS OF MODERN BIOLOGICAL SCIENCE AND RESEARCH ,,,,,Jihyun F. Kim,"Fri2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
College of Life System,Biology,,,,2,Major Elective,3000,BIO3502-01-00   ,3,EXPERIMENTS IN SYSTEMS BIOLOGY(1) ,,,,,Cho Hyun-Soo/Jihyun F. Kim,"Tue11,12,13,Thu11,12,13",SRCB202,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
College of Life System,Biology,,,,2,Major Elective,3000,BIO3503-01-00   ,3,CELL BIOLOGY(2) ,,,,,"Chung, Kwang Chul/CHUNG, In Kwon","Mon2/Wed6,7",SRC118B/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
College of Life System,Biology,,,,2,Major Elective,3000,BIO3718-01-00   ,3,HISTOLOGY ,,,,,Oh Young Jun,"Thu8,9",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ①⒜",O
College of Life System,Biology,,,,2,Major Elective,3000,CHE3110-YY-00   ,3,ORGANIC CHEMISTRY (2) ,,,,,,,,"javascript:OpenList5(""H1"",""20202"",""1601"");, ③⑤",O
College of Life System,Biology,,,,3,Major Requisite,3000,BIO3101-01-00   ,3,DEVELOPMENTAL BIOLOGY ,,,,,"CHOE, KWANG-MIN","Mon5,6,Wed1",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
College of Life System,Biology,,,,3,Major Requisite,3000,BIO3112-01-00   ,3,ANIMAL PHYSIOLOGY ,,,,,Oh Young Jun/LEE Tae Ho,"Fri6,7",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ①⒜",O
College of Life System,Biology,,,,3,Major Elective,3000,BIO3106-01-00   ,3,PLANT DEVELOPMENT & DIFFERENTIATION ,,,,,"Lee, Myeong Min/Pai Hyunsook","Tue2,3,Thu7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
College of Life System,Biology,,,,3,Major Elective,3000,BIO3113-01-00   ,3,EXPERIMENTS IN SYSTEMS BIOLOGY(3) ,,,,,"Kim, Woo Taek/Pai Hyunsook","Mon11,12,13,Wed11,12,13",SRCB203,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
College of Life System,Biology,,,,3,Major Elective,3000,BIO3714-01-00   ,3,ANALYSIS IN ECOTOXICOLOGY ,,,,,Brooks III Samuel Carroll,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ②⒝",O
College of Life System,Biology,,,,3,Major Elective,3000,BIO3716-01-00   ,3,DEFENSE MECHANISMS OF LIVING SYSTEMS ,,,,,Park Boyoun/Jihyun F. Kim,"Mon8,Wed7,8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
College of Life System,Biology,,,,4,Major Elective,4000,BIO4104-01-00   ,3,BACTERIOLOGY ,,,,,Jihyun F. Kim,"Tue5,6,Thu6",SRC118B,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
College of Life System,Biology,,,,4,Major Elective,4000,BIO4108-01-00   ,3,MOLECULAR CANCER BIOLOGY ,,,,,"CHUNG, In Kwon","Tue2,3,Thu3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
College of Life System,Biology,,,,4,Major Elective,4000,BIO4913-01-00   ,3,EXPERIMENTS IN SYSTEMS BIOLOGY(4) ,,,,,"CHUNG, In Kwon/Park Boyoun/Cho Hyun-Soo","Sat1,2,3,4,5,6",SRCB215,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
College of Life System,Biology,,,,4,Major Elective,4000,BIO4915-01-00   ,3,EVOLUTION BIOLOGY ,,,,,"LEE Tae Ho/CHOE, KWANG-MIN","Mon2,3,Wed3",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ①⒜",O
College of Life System,Biology,,,,4,Major Elective,4000,BIO4917-01-00   ,3,INTRODUCTION TO EPIGENETICS ,,,,,"CHO, Myeon Haeng","Mon6,7/Mon6,7,Wed8",SRC118B/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
College of Life System,Biology,,,,4,Teacher Training Program,3000,TTP3813-01-00   ,3,RESEARCH & TEACH. METHOD TO SCIENCE ,,,,,Park Tae Yoon,"Tue7,8,9",SRC118B,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
College of Life System,Biochemistry,,,,2,Major Elective,2000,BCH2001-01-00   ,1,JUNIOR SEMINAR ,,,,,Jaewhan Song,Mon5,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1602"");, ④⒞",O
College of Life System,Biochemistry,,,,2,Major Elective,3000,BCH3107-01-00   ,3,BIOCHEMISTRY & LABORATORY II ,,,,,Park Hyun Woo,"Mon8,9,10,11,12,13",SRC437,"javascript:OpenList5(""H1"",""20202"",""1602"");, ⒝",O
College of Life System,Biochemistry,,,,2,Major Elective,3000,BCH3107-02-00   ,3,BIOCHEMISTRY & LABORATORY II ,,,,,ROE JAE-SEOK/Kim Young-Joon,"Tue8,9,10,11,12,13",SRC437,"javascript:OpenList5(""H1"",""20202"",""1602"");, ⒝",O
College of Life System,Biochemistry,,,,2,Major Elective,3000,BCH3107-03-00   ,3,BIOCHEMISTRY & LABORATORY II ,,,,,KO HYUK WAN/Ha Sang-Jun,"Wed8,9,10,11,12,13",SRC437,"javascript:OpenList5(""H1"",""20202"",""1602"");, ⒝",O
College of Life System,Biochemistry,,,,2,Major Elective,3000,BCH3107-04-00   ,3,BIOCHEMISTRY & LABORATORY II ,,,,,Kim Dae-Won,"Thu8,9,10,11,12,13",SRC437,"javascript:OpenList5(""H1"",""20202"",""1602"");, ⒝",O
College of Life System,Biochemistry,,,,2,Major Elective,3000,CHE3110-YY-00   ,3,ORGANIC CHEMISTRY (2) ,,,,,,,,"javascript:OpenList5(""H1"",""20202"",""1602"");, ③⑤",O
College of Life System,Biochemistry,,,,3,Major Requisite,3000,BCH3103-01-00   ,3,BIOPHYSICAL CHEMISTRY ,,,,,LEE WEON TAE,"Tue7,8/Thu6",Realtime online lecture/SRC321,"javascript:OpenList5(""H1"",""20202"",""1602"");, ⒜",O
College of Life System,Biochemistry,,,,3,Major Requisite,4000,BCH4101-01-00   ,3,INDEPENDENT RESEARCH PROJECT(1) ,,,,,LEE WEON TAE,"Sat1,2,3,4,5,6",SRC437,"javascript:OpenList5(""H1"",""20202"",""1602"");, ②③⒞",O
College of Life System,Biochemistry,,,,3,Major Requisite,4000,BCH4102-01-00   ,3,INDENPENDENT RESEARCH PROJECT II ,,,,,LEE SEUNG-TAEK,"Sat7,8,9,10,11,12",SRC437,"javascript:OpenList5(""H1"",""20202"",""1602"");, ②③⒞",O
College of Life System,Biochemistry,,,,3,Major Elective,3000,BCH3104-01-00   ,3,MOLECULAR PHYSIOLOGY ,,,,,LEE HAN WOONG,"Mon6,7/Wed2",SRC321/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1602"");, ①⒜",O
College of Life System,Biochemistry,,,,"3,4",Major Elective,3000,BCH3123-01-00   ,3,NEUROSCIENCE ,,,,,KO HYUK WAN,"Tue2,3/Thu2",Realtime online lecture/SRC321,"javascript:OpenList5(""H1"",""20202"",""1602"");, ",O
College of Life System,Biochemistry,,,,4,Major Elective,3000,BCH3113-01-00   ,3,DEVELOPMENTAL BIOCHEMISTRY ,,,,,"Song, Kiwon/Kim Dae-Won","Mon2,Wed6,7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1602"");, ⒜",O
College of Life System,Biochemistry,,,,4,Major Elective,3000,BCH3122-01-00   ,3,PATHOBIOCHEMISTRY ,,,,,Ha Sang-Jun,"Tue9,Thu7,8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1602"");, ⒜",O
College of Life System,Biochemistry,,,,4,Major Elective,4000,BCH4113-01-00   ,3,CANCER GENOMICS ,,,,,Kim Young-Joon/ROE JAE-SEOK,"Mon8,9,Wed9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1602"");, ",O
College of Life System,Biotechnology,,,,2,Major Basic,2000,BTE2703-01-01   ,3,BIOTECHNOLOGY INFORMATION PROCESSING ,,,,,Choi Sang-Min,"Tue2,3(Wed4,5)",Pre-recorded lecture(EngHA577),"javascript:OpenList5(""H1"",""20202"",""1603"");, ①⒝",O
College of Life System,Biotechnology,,,,2,Major Basic,2000,BTE2703-01-02   ,3,BIOTECHNOLOGY INFORMATION PROCESSING ,,,,,Choi Sang-Min,"Tue2,3(Fri4,5)",Pre-recorded lecture(EngHA577),"javascript:OpenList5(""H1"",""20202"",""1603"");, ①⒝",O
College of Life System,Biotechnology,,,,2,Major Requisite,2000,BTE2201-01-00   ,3,BIOLOGICAL ORGANIC CHEMISTRY ,,,,,Han Gyoonhee,"Mon6,7/Thu8",Realtime online lecture/EngHA428,"javascript:OpenList5(""H1"",""20202"",""1603"");, ②⒝",O
College of Life System,Biotechnology,,,,2,Major Elective,2000,BTE2402-01-00   ,3,APPLIED MICROBIOLOGY ,,,,,Bahn Yong-Sun,"Tue7,Wed1,2",EngHB040,"javascript:OpenList5(""H1"",""20202"",""1603"");, 16②⒝",O
College of Life System,Biotechnology,,,,2,Major Elective,2000,BTE2601-01-00   ,3,EXPERIMENT IN MOLECULAR BIOTECHNOLOGY ,,,,,Bahn Yong-Sun/LEE KYUNG-TAE,"Mon9,10,11,12,13,14",EngHB607,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⑤⑧⒝",O
College of Life System,Biotechnology,,,,2,Major Elective,2000,BTE2601-02-00   ,3,EXPERIMENT IN MOLECULAR BIOTECHNOLOGY ,,,,,Byun Sanguine,"Tue9,10,11,12,13,14",EngHB607,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⑤⑧⒝",O
College of Life System,Biotechnology,,,,2,Major Elective,2000,BTE2601-03-00   ,3,EXPERIMENT IN MOLECULAR BIOTECHNOLOGY ,,,,,"Jung, Hyungil","Wed9,10,11,12,13,14",EngHB607,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⑤⑧⒝",O
College of Life System,Biotechnology,,,,2,Major Elective,2000,BTE2601-04-00   ,3,EXPERIMENT IN MOLECULAR BIOTECHNOLOGY ,,,,,"Choi, Kang-Yell","Thu9,10,11,12,13,14",EngHB607,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⑤⑧⒝",O
College of Life System,Biotechnology,,,,2,Major Elective,2000,BTE2601-05-00   ,3,EXPERIMENT IN MOLECULAR BIOTECHNOLOGY ,,,,,Han Gyoonhee,"Fri9,10,11,12,13,14",EngHB607,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⑤⑧⒝",O
College of Life System,Biotechnology,,,,2,Major Elective,2000,BTE2702-01-00   ,3,GENETIC ANALYSIS ,,,,,Soderholm Jon,"Mon1,2,Thu1",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1603"");, ②⒝",O
College of Life System,Biotechnology,,,,3,Major Requisite,3000,BTE3102-01-00   ,3,MOLECULAR BIOLOGY ,,,,,"Choi, Kang-Yell","Wed1,2/Thu5",Realtime online lecture/EngHB001,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⒝",O
College of Life System,Biotechnology,,,,3,Major Requisite,3000,BTE3202-01-00   ,3,BIOPROCESS ENGINEERING ,,,,,shin jong shik,"Wed3,Fri1,2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⒝",O
College of Life System,Biotechnology,,,,3,Major Elective,3000,BTE3403-01-00   ,3,IMMUNOLOGY ,,,,,Lee Sang Kyou,"Tue5,6,Wed5",EngHB001,"javascript:OpenList5(""H1"",""20202"",""1603"");, 16②⒝",O
College of Life System,Biotechnology,,,,3,Major Elective,3000,BTE3602-01-00   ,3,EXPERIMENTS IN ADVANCED BIOTECHNOLOGY(1) ,,,,,Lee In suk,"Sat4,5,6,7,8,9",EngHA577,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⒝",O
College of Life System,Biotechnology,,,,3,Major Elective,3000,BTE3609-01-00   ,3,NANO MEDICAL BIOTECHNOLOGY ,,,,,"Jung, Hyungil","Tue3/Thu2,3",Realtime online lecture/EngHB001,"javascript:OpenList5(""H1"",""20202"",""1603"");, ②⒝",O
College of Life System,Biotechnology,,,,4,Major Elective,4000,BTE4404-01-00   ,3,MOLECULAR DESIGN & LABORATORY ,,,,,No Kyoung Tai,"Wed2,3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⒝",O
College of Life System,Biotechnology,,,,4,Major Elective,4000,BTE4408-01-00   ,3,INDUSTRIAL FOOD BIOTECHNOLOGY ,,,,,"Hwang, Jae-Kwan","Mon9/Wed8,9",Realtime online lecture/EngHB001,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⒝",O
College of Life System,Biotechnology,,,,4,Major Elective,4000,BTE4602-01-00   ,3,CREATIVE DESIGN IN BIOTECHNOLOGY(2) ,,,,,No Kyoung Tai,"Sat1,2,3",EngHA577,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⑮⒝",O
College of Life System,Biotechnology,,,,4,Major Elective,4000,BTE4603-01-00   ,3,FUNCTIONAL GENOMICS ,,,,,Lee In suk,"Tue1,2/Thu1",EngHB001/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1603"");, ⒝",O
