University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Medicine,Medicine,,,,,Major Elective,,MED3330-01-00   ,1,Military Medicine 1 ,,,,,DAE HYUN LEW,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-02-00   ,1,"Brain tumor, from the OR to the bench; what we cannot learn from the book ",,,,,Seok-Gu Kang,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-03-00   ,1,Procedures related to anesthesia ,,,,,Ki-Young Lee,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-04-00   ,1,Longterm care and understanding of chronic disease1 ,,,,,HEE CHEOL KANG,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-05-00   ,1,Introduction to Forensic Medicine 1 ,,,,,Jong-Pil Park,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-06-00   ,1,clinical reasoning and decision making based on schema ,,,,,JIN YOUNG CHOI,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-07-00   ,1,clinical significance of nerologic exam related to the clinical presentation of neurologic diseases. ,,,,,SOO CHUL PARK,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-08-00   ,1,Nutrition and Medicine ,,,,,kyung sik kim,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-09-00   ,1,Artificial Intelligence and Medical Devices ,,,,,SUN KOOK YOO,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-10-00   ,1,Critical care ,,,,,Seungho Jung,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-11-00   ,1,Introduction to the State-of-the-art medical imaging and therapy machine ,,,,,JIn Sung Kim,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-12-00   ,1,Pain Medicine ,,,,,SANG JUN PARK,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3330-13-00   ,1,Surgery in the Medicine ,,,,,Jae Gil Lee,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-01-00   ,1,Military Medicine 2 ,,,,,DAE HYUN LEW,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-02-00   ,1,Airway Management ,,,,,Chul Ho Chang,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-03-00   ,1,Common Methods used in Basic Biomedical Research ,,,,,MYOUNG HEE KIM,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-04-00   ,1,"Brain tumor, from the OR to the bench; what we cannot learn from the book ",,,,,Seok-Gu Kang,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-05-00   ,1,Procedures related to anesthesia ,,,,,Ki-Young Lee,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
College of Medicine,Medicine,,,,,Major Elective,,MED3340-06-00   ,1,Longterm care and understanding of chronic disease 2 ,,,,,HEE CHEOL KANG,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
