University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Music,Music Common,,,,1,Major Basic,1000,CMP1202-01-00   ,2,SIGHT SINGING & EAR TRAINING (2) ,"교음(합),성악",,,,Lee Hae Mi,"Mon7,8",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
College of Music,Music Common,,,,1,Major Basic,1000,CMP1202-02-00   ,2,SIGHT SINGING & EAR TRAINING (2) ,"교음(오),피아노",,,,Byon Hyunjoo,"Thu5,6",Realtime online lecture/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
College of Music,Music Common,,,,1,Major Basic,1000,CMP1202-03-00   ,2,SIGHT SINGING & EAR TRAINING (2) ,관현악,,,,Oh Yeseung,"Tue5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
College of Music,Music Common,,,,1,Major Basic,1000,CMP1202-04-00   ,2,SIGHT SINGING & EAR TRAINING (2) ,작곡,,,,AHN CHRISTINA HAISUNG,"Fri3,4/Fri3,4",Realtime online lectureMus102/,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
College of Music,Music Common,,,,1,Major Basic,1000,CMP1204-01-00   ,2,HARMONICS(2) ,"교음(합),성악",,,,JANG BOMI,"Thu3,4",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
College of Music,Music Common,,,,1,Major Basic,1000,CMP1204-02-00   ,2,HARMONICS(2) ,"교음(오),피아노",,,,Song Moo Kyoung,"Wed3,4",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⓓ⒜",X
College of Music,Music Common,,,,1,Major Basic,1000,CMP1204-03-00   ,2,HARMONICS(2) ,관현악,,,,YOON KYUIL,"Wed3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
College of Music,Music Common,,,,1,Major Basic,1000,CMP1204-04-00   ,2,HARMONICS(2) ,작곡,,,,Song Moo Kyoung,"Mon7,8",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
College of Music,Music Common,,,,2,Major Basic,2000,CMP2202-01-00   ,2,SIGHT SINGING & EAR TRAINING (4) ,"교음(합),성악",,,,Lee Hae Mi,"Mon5,6",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
College of Music,Music Common,,,,2,Major Basic,2000,CMP2202-02-00   ,2,SIGHT SINGING & EAR TRAINING (4) ,"교음(오),피아노",,,,Byon Hyunjoo,"Thu3,4/Thu3,4",Pre-recorded lectureMus426/,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
