University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Nursing,Nursing,,,,,Major Basic,,NUR2012-01-01   ,1,PRACTICUM : HEALTH ASSESSMENT ,,,,,JiYeon Choi,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Basic,,NUR2006-01-00   ,2,PHARMACOLOGY ,,,,,SangHui Chu,"Mon2,3",Realtime online lecture,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Basic,,NUR2013-01-00   ,3,PATHOPHYSIOLOGY ,,,,,Hyangkyu Lee,"Thu5,6,Fri2",Realtime online lecture,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR2024-01-01   ,2,INTRODUCTION TO CLINICAL NURSING PRACTICE II ,,,,,JuHee Lee/Jiyeon Lee/Young Man Kim,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR2025-01-00   ,2,HEALTH ASSESSMENT ,,,,,JiYeon Choi,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ②",
College of Nursing,Nursing,,,,,Major Requisite,,NUR2026-01-00   ,3,HEALTH PROMOTION AND EDUCATION ,,,,,Gwang Suk Kim,"Mon5,6,Fri4",Nur104,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR2026-02-00   ,3,HEALTH PROMOTION AND EDUCATION ,,,,,,"Mon5,6,Thu1",Nur103,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR5113-01-00   ,.5,CHAPEL I ,,,,,,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Elective,,NUR4008-01-00   ,2,GERONTOLOGICAL NURSING ,,,,,Eun Hee Cho,"Fri8,9",Realtime online lecture,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Elective,,NUR4121-01-00   ,2,NURSING & INFORMATICS ,,,,,MONA CHOI,"Fri8,9",Nur103,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Elective,,NUR4123-01-00   ,2,UNIFICATION AND NURSING ,,,,,SangHui Chu,"Mon7,8",Nur412,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Elective,,NUR4202-01-00   ,2,WOMAN`S HEALTH ,,,,,KIM Sue,"Mon7,8",Nur103,"javascript:OpenList5(""H9"",""20202"",""1302"");, ②",
College of Nursing,Nursing,,,,,Major Elective,,NUR5116-01-00   ,3,STUDY AND METHOD OF SCHOOL HEALTH TEACHING MATERIALS ,,,,,Kayoung Lee,"Mon7,8,9",Exploration,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Electives,,NUR2112-01-00   ,0,COMMUNITY SERVICE ,,,,,,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR3006-01-00   ,2,NURSING IV ,,,,,sunah kim,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR3114-01-00   ,3,COMMUNITY HEALTH NURSING ,,,,,Kyung Hee Lee/Kayoung Lee,"Thu5,6",Nur103,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR3114-02-00   ,3,COMMUNITY HEALTH NURSING ,,,,,Kyung Hee Lee/Kayoung Lee,"Thu5,6",Nur411,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR3102-01-00   ,4,NURSING II ,,,,,MONA CHOI/Eui Geum Oh/EUN KYOUNG CHOI/Young Man Kim,"Thu2,3,Fri2,3",Nur103,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR3102-02-00   ,4,NURSING II ,,,,,MONA CHOI/Eui Geum Oh/EUN KYOUNG CHOI/Young Man Kim,"Thu2,3,Fri2,3",Nur411,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR3013-01-01   ,6,INTEGRATED NURSING PRACTICUM II ,,,,,Hee Jung Kim,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR5011-01-00   ,0,COMPLEHENSIVE EXAMINATION ,,,,,,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4031-01-00   ,2,CLINICAL REASONING ,,,,,JuHee Lee,"Tue5,6",Realtime online lecture,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4031-02-00   ,2,CLINICAL REASONING ,,,,,,"Mon5,6",Realtime online lecture,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4031-03-00   ,2,CLINICAL REASONING ,,,,,,"Mon5,6",Realtime online lecture,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4031-04-00   ,2,CLINICAL REASONING ,,,,,,"Mon5,6",Realtime online lecture,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4115-01-01   ,2,LEADERSHIP DEVELOPMENT ,,,,,Seung Eun Lee,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4118-01-00   ,2,NURSING ETHICS AND LAW ,,,,,Sanghee Kim/SUNJOO KANG,"Fri5,6",Nur103,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4118-02-00   ,2,NURSING ETHICS AND LAW ,,,,,Sanghee Kim/SUNJOO KANG,"Fri5,6",Nur411,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4119-01-00   ,2,STATISTICS ,,,,,Jiyeon Lee,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4119-02-00   ,2,STATISTICS ,,,,,Jiyeon Lee,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
College of Nursing,Nursing,,,,,Major Requisite,,NUR4119-03-00   ,2,STATISTICS ,,,,,Jiyeon Lee,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
