University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Pharmacy,Department of Pharmacy,,,,3,Major Requisite,3000,PHM3102-01-00   ,0,DEVELOPING PHARMACY CAREER(2) ,,,,,Han Jung Min,"Thu9,10",IVHD114,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒞",O
College of Pharmacy,Department of Pharmacy,,,,3,Major Requisite,3000,PHM3006-01-00   ,3,MOLECULAR BIOLOGY ,,,,,Kwon So Hee,"Tue5,Thu5,6",IVHD115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,3,Major Requisite,3000,PHM3007-01-00   ,3,SOCIAL AND PUBLIC HEALTH PHARMACY ,,,,,Kang Hye-Young,"Mon6,Wed6,7",IVHD115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,3,Major Requisite,3000,PHM3008-01-00   ,3,ORGANIC DRUG SYNTHESIS ,,,,,Kim Ikyon,"Mon2,3,Thu2",IVHD115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,3,Major Requisite,3000,PHM3009-01-00   ,3,PHARMACOGNOSY ,,,,,KIM SEUNG HYUN,"Tue2,3,Thu3",IVHD115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,3,Major Requisite,3000,PHM3010-01-00   ,3,MEDICINAL INSTRUMENTAL ANALYSIS ,,,,,Jeong Jin-Hyun,"Mon7,Thu7,8",IVHD115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,3,Major Requisite,3000,PHM3011-01-00   ,3,EXPERIMENTS IN PHARMACY(2) ,,,,,KIM SEUNG HYUN/Kim Jeong-Dong,"Tue6,7,8,9,10",IVHD401,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒝",O
College of Pharmacy,Department of Pharmacy,,,,3,Major Requisite,3000,PHM3015-01-00   ,3,MICROBIOLOGY ,,,,,Han Jung Min,"Tue1,Wed8,9",IVHD115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,4,Major Requisite,3000,PHM3104-01-00   ,0,DEVELOPING PHARMACY CAREER(4) ,,,,,Han Jung Min,"Thu9,10",IVHD114,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒞",O
College of Pharmacy,Department of Pharmacy,,,,4,Major Requisite,3000,PHM3023-01-00   ,3,PHARMACOLOGY(2) ,,,,,Jinu LEE,"Thu8,Fri2,3",IVHD117,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,4,Major Requisite,3000,PHM3024-01-00   ,3,PHARMACEUTICS ,,,,,Seok Su Hyun,"Fri6,7,8",IVHD117,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,4,Major Requisite,3000,PHM3025-01-00   ,3,TOXICOLOGY ,,,,,Min Do Sik,"Mon9,Tue8,9",IVHD117,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,4,Major Requisite,3000,PHM3027-01-00   ,3,PHARMACY ADMINISTRATION ,,,,,Han Euna,"Mon7,8/Thu7",IVHD117/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
College of Pharmacy,Department of Pharmacy,,,,4,Major Requisite,3000,PHM3028-01-00   ,3,INTRODUCTION TO CLINICAL PHARMACY ,,,,,YU YUN MI/KIM SEUNGYEON,"Mon5,6/Tue10",IVHD117/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒝",O
College of Pharmacy,Department of Pharmacy,,,,4,Major Requisite,3000,PHM3029-01-00   ,3,EXPERIMENTS IN PHARMACY(4) ,,,,,Min Do Sik,"Wed6,7,8,9,10",IVHD201,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒝",O
College of Pharmacy,Department of Pharmacy,,,,4,Major Elective,3000,PHM3026-01-00   ,3,UNDERSTANDING DISEASES ,,,,,Choi Junjeong,"Tue5,Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ②⒝",O
