University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Science,Science College Common,,,,2,Major Basic,2000,SCI2001-01-00   ,2,COMPUTER I ,,,,,KWON YOUNGIL,"Tue6,7(Thu8)",SciH323(SciH232),"javascript:OpenList5(""H1"",""20202"",""0300"");, ⒜",O
College of Science,Science College Common,,,,2,Major Basic,2000,SCI2002-01-00   ,2,COMPUTER II ,,,,,SHIN UJU,"Mon7,8(Wed8)",SciHB131(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""0300"");, ⒜",O
College of Science,Science College Common,,,,2,Major Basic,2000,MAT2002-01-00   ,3,ADVANCED CALCULUS II ,,,,,Chang Tongkeun,"Mon1,2,Wed2(Wed1)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""0300"");, ③⒜",O
College of Science,Science College Common,,,,2,Major Basic,2000,MAT2002-02-00   ,3,ADVANCED CALCULUS II ,,,,,Chang Tongkeun,"Mon5,Wed5,6(Mon6)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""0300"");, ③⒜",O
College of Science,Science College Common,,,,4,Electives,3000,SCI3005-01-00   ,2,LOGIC AND ENUNCIATION IN SCIENCE EDUCATION ,,,,,Sung Jung Hee,"Tue2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0300"");, ③⒝",O
College of Science,Mathematics,,,,2,Major Requisite,3000,MAT3104-01-00   ,3,ANALYSIS (1) ,,,,,Kim Seick,"Mon9,10,Wed10(Wed9)",SciH227(SciH227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
College of Science,Mathematics,,,,2,Major Requisite,3000,MAT3104-02-00   ,3,ANALYSIS (1) ,,,,,Kim Seick,"Tue2,3,Thu2(Thu3)",SciHB130(SciHB130),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
College of Science,Mathematics,,,,2,Major Elective,2000,MAT2103-01-00   ,3,STATISTICS ,,,,,Lee Sung chul,"Mon5,6,Wed6(Wed5)",SciH225(SciH225),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
College of Science,Mathematics,,,,2,Major Elective,3000,MAT3120-01-00   ,3,LINEAR ALGEBRA(2) ,,,,,"LEE, JEEHYUN","Tue4,5,Thu5(Thu4)",SciH227(SciH227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
College of Science,Mathematics,,,,2,Major Elective,3000,MAT3120-02-00   ,3,LINEAR ALGEBRA(2) ,,,,,KO Hyoung June,"Tue7,Thu8,9(Tue6)",SciH227(SciH227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
College of Science,Mathematics,,,,2,Major Elective,3000,MAT3123-01-00   ,3,MACHINE LEARNING AND ITS APPLICATIONS ,,,,,Lee Sung chul,"Tue4,5,Thu5(Thu4)",SciH262(SciH262),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
College of Science,Mathematics,,,,3,Major Requisite,3000,MAT3105-01-00   ,3,ANALYSIS (2) ,,,,,"KIM, JOON IL","Mon9,10/Wed10(Wed9)",Pre-recorded lecture/SciH262(SciH262),"javascript:OpenList5(""H1"",""20202"",""0301"");, ①⒜",O
College of Science,Mathematics,,,,3,Major Elective,2000,MAT2105-01-00   ,3,SCINETIFIC COMPUTING ,,,,,"LEE, JEEHYUN","Tue2,Thu2,3(Tue3)",SciH227(SciH227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
College of Science,Mathematics,,,,3,Major Elective,3000,MAT3101-01-00   ,3,TOPOLOGY (2) ,,,,,Hong Hansol,"Mon7,8,Wed8(Wed7)",SciH262(SciH262),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
College of Science,Mathematics,,,,3,Major Elective,3000,MAT3102-01-00   ,3,DIFFERENTIAL GEOMETRY (2) ,,,,,"KIM, Ho Beom","Tue6,7,Thu9(Thu8)",SciHB130(SciHB130),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
College of Science,Mathematics,,,,3,Major Elective,3000,MAT3110-01-00   ,3,MODERN ALGEBRA (2) ,,,,,Seo Soogil,"Mon5,6/Wed5(Wed6)",Realtime online lecture/SciH227(SciH227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
College of Science,Mathematics,,,,3,Major Elective,3000,MAT3110-02-00   ,3,MODERN ALGEBRA (2) ,,,,,KO Hyoung June,"Tue8,9,Thu7(Thu6)",SciH227(SciH227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
College of Science,Mathematics,,,,"3,4",Major Elective,3000,MAT3985-01-00   ,3,HISTORY OF MATHEMATICS ,,,,,"Park, Seung Kyung","Tue2,3,Thu2(Thu3)",SciH225(SciH225),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒝",O
College of Science,Mathematics,,,,4,Major Elective,3000,MAT3112-01-00   ,3,COMPLEX ANALYSIS ,,,,,YANG MINSUK,"Mon7,8,Wed8(Wed7)",Pre-recorded lecture(),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
College of Science,Mathematics,,,,4,Major Elective,3000,MAT3113-01-00   ,3,PROBABILITY AND RANDOM PROCESSES ,,,,,KIM JEONG-HOON,"Tue7/Thu8,9(Tue6)",SciHB131/(SciHB131),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
College of Science,Mathematics,,,,4,Major Elective,3000,MAT3117-01-00   ,3,MATHEMATICAL LOGIC ,,,,,KIM BYUNGHAN,"Tue2,3,Thu2(Thu3)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
College of Science,Mathematics,,,,4,Major Elective,3000,MAT3118-01-00   ,3,PARTIAL DIFFERENTIAL EQUATIONS ,,,,,Kang Kyungkeun,"Mon5,6/Wed6(Wed5)",SciH262/(),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
College of Science,Mathematics,,,,4,Major Elective,3000,MAT3119-01-00   ,3,COMBINATORICS ,,,,,"Park, Seung Kyung","Tue5,Thu4,5(Tue4)",SciH225(SciH225),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
College of Science,Mathematics,,,,4,Major Elective,4000,MAT4106-01-00   ,3,TOPICS IN MATHEMATICS(2) ,,,,,Kang Kyungkeun,"Mon3/Wed3,4(Mon4)",Realtime online lecture/SciH262(),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒝",O
College of Science,Mathematics,,,,4,Major Elective,4000,MAT4108-01-00   ,3,APPLIED ALGEBRA ,,,,,Seo Soogil,"Wed8/Fri7,8(Wed7)",SciH225/(SciH225),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒝",O
College of Science,Mathematics,,,,4,Major Elective,4000,MAT4120-01-00   ,3,COMPLEX GEOMETRY ,,,,,Choi Sung Rak,"Mon3,4,Wed4(Wed3)",SciH225(SciH225),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒝",O
College of Science,Mathematics,,,,4,Teacher Training Program,4000,TTP4009-01-00   ,3,THEORY OF MATHEMATICAL EDUCATION ,,,,,Lim Woong,"Fri2,3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒝",O
College of Science,Physics,,,,2,Major Requisite,3000,PHY3111-01-00   ,3,MECHANICS II ,,,,,Yoo Hwidong,"Tue4,5,Thu4(Thu5)",SciHB131(SciHB131),"javascript:OpenList5(""H1"",""20202"",""0302"");, ⒜",O
