University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Sciences in Education,Education,,,,2,Major Requisite,2000,EDU2002-01-00   ,3,EDUCATION FOR TOMORROW ,,,,,"Kim Hye-Sook/Lee Myung-Geun/Chang, Wonsup/LEE GUEMIN/Hwang Keumjoong/Pak Soon-Yong/Seo Young Seok/Hong Won Pyo/Kim Sung won/Oh Seok Young/Lee Moosung/Ryoo Ji Hoon","Fri6,7,8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓒ⑧⒝",O
College of Sciences in Education,Education,,,,2,Major Elective,2000,EDU2003-01-00   ,1,UNDERGRADUATE TUTORIAL SEMINAR ,,,,,PARK Jong Hwa,Thu10,Edu516,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒞",O
College of Sciences in Education,Education,,,,2,Major Elective,2000,TTP2008-01-00   ,1,VOLUNTEER SERVICE IN EDUCATION(1) ,,,,,Hong Won Pyo,,,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒞",O
College of Sciences in Education,Education,,,,2,Major Elective,2000,TTP2009-01-00   ,1,VOLUNTEER SERVICE IN EDUCATION(2) ,,,,,Hong Won Pyo,,,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒞",O
College of Sciences in Education,Education,,,,2,Major Elective,2000,EDU2107-01-00   ,3,SOCIOLOGY OF EDUCATION ,,,,,Park DaeKwon,"Tue2/Thu3,4",Edu517/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
College of Sciences in Education,Education,,,,2,Major Elective,2000,EDU2109-01-00   ,3,ICT-BASED EDUCATION ,,,,,,,,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
College of Sciences in Education,Education,,,,2,Major Elective,2000,EDU2113-01-00   ,3,INTRODUCTION TO EDUCATIONAL ADMINISTRATION ,,,,,Kim Hye-Sook,"Mon7,8/Wed8",Edu517/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
College of Sciences in Education,Education,,,,2,Major Elective,2000,EDU2125-01-00   ,3,HISTORY OF WESTERN EDUCATION ,,,,,Lee Sang O,"Wed4,Fri3,4",Edu606,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
College of Sciences in Education,Education,,,,3,Major Elective,3000,EDU3144-01-00   ,2,LOGICS AND ESSAY-WRITING IN EDUCATION ,,,,,LEE SEONGMI,"Fri5,6",Edu601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
College of Sciences in Education,Education,,,,3,Major Elective,3000,EDU3103-01-00   ,3,MODELS OF TEACHING ,,,,,Hong Won Pyo,"Tue4,5/Thu5",Edu614/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ⒝",O
College of Sciences in Education,Education,,,,3,Major Elective,3000,EDU3112-01-00   ,3,COMPARATIVE EDUCATION ,,,,,Kim Sung won,"Tue1/Thu2,3",Realtime online lecture/Edu601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ②⒝",O
College of Sciences in Education,Education,,,,3,Major Elective,3000,EDU3131-01-00   ,3,HUMAN DEVELOPMENT AND EDUCATION ,,,,,Song Soo Ji,"Thu1,Fri3,4",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
College of Sciences in Education,Education,,,,3,Major Elective,3000,EDU3133-01-00   ,3,THEORY OF EDUCATIONAL EVALUTION ,,,,,LEE GUEMIN,"Tue8,Thu7,8",Edu601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
College of Sciences in Education,Education,,,,3,Major Elective,3000,EDU3136-01-00   ,3,ANTHROPOLOGICAL STUDIES IN EDUCATION ,,,,,Pak Soon-Yong,"Wed2,3/Fri2",Edu517/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
College of Sciences in Education,Education,,,,3,Major Elective,3000,EDU3137-01-00   ,3,COMPARATIVE CULTURAL UNDERSTANDING OF EDUCATION ,,,,,Park Aileen,"Tue10,11/Thu10",Realtime online lecture/Edu601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ②⒝",O
College of Sciences in Education,Education,,,,3,Major Elective,3000,EDU3167-01-00   ,3,EDUCATIONAL STATISTICS II ,,,,,Ryoo Ji Hoon,"Tue6,7/Thu9",Edu603/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①②⒝",O
College of Sciences in Education,Education,,,,4,Major Elective,4000,TTP4007-01-00   ,1,EDUCATIONAL FIELD RESEARCH ,,,,,goh Rae Eok,Wed10,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ⒝",O
College of Sciences in Education,Education,,,,4,Major Elective,4000,EDU4117-01-00   ,3,PRACTICISM OF HRD ,,,,,"Chang, Wonsup","Mon5,6,7",Edu519,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
College of Sciences in Education,Education,,,,4,Major Elective,4000,EDU4118-01-00   ,3,SEMINAR ON COUNSELING PSYCHOLOGY ,,,,,Seo Young Seok,"Mon2,3,Wed1",Edu601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
College of Sciences in Education,Education,,,,4,Major Elective,4000,EDU4121-01-00   ,3,EDUCATION FOR INTERNATIONAL UNDERSTANDING ,,,,,Lee Moosung,"Wed2,3/Thu3",Edu606/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ⒝",O
College of Sciences in Education,Education,,,,4,Major Elective,4000,EDU4124-01-00   ,3,HRD AND ADULT EDUCATION ,,,,,Oh Seok Young,"Tue6,7/Thu6",Pre-recorded lecture/Edu614,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
College of Sciences in Education,Education,,,,4,Major Elective,4000,EDU4127-01-00   ,3,STUDIES IN MAUM EDUCATION ,,,,,Hwang Keumjoong,"Mon6/Wed6,7",Pre-recorded lecture/Edu614,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
College of Sciences in Education,Education,,,,4,Major Elective,4000,EDU4134-01-00   ,3,PRINCIPLES OF INSTRUCTIONAL DESIGN INTO PRACTICE ,,,,,Lee Myung-Geun,"Mon8,9,Wed9/Mon8,9,Wed9",Edu516/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ⒝",O
College of Sciences in Education,Physical Education,,,,0,Major Elective,2000,PED2001-01-00   ,1,JUNIOR SEMINAR ,,,,,PAIK IL YOUNG,Mon5,Spo109,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
College of Sciences in Education,Physical Education,,,,0,Major Elective,2000,PED2001-02-00   ,1,JUNIOR SEMINAR ,,,,,Suh Sang-Hoon,Thu6,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
College of Sciences in Education,Physical Education,,,,0,Major Elective,2000,PED2001-03-00   ,1,JUNIOR SEMINAR ,,,,,Lee Sae Yong,Fri6,Spo108,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
College of Sciences in Education,Physical Education,,,,1,Major Basic,1000,PED1101-01-00   ,1,TEACHING METHODS IN SWIMMING (1) ,,,,,WOO SUNGWON,"Thu3,4",PEC(Swimming Pool),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⑧⒜",O
College of Sciences in Education,Physical Education,,,,1,Major Basic,1000,PED1101-02-00   ,1,TEACHING METHODS IN SWIMMING (1) ,,,,,"Yook, Dong Won","Thu5,6",PEC(Swimming Pool),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑧⒜",O
College of Sciences in Education,Physical Education,,,,1,Major Basic,1000,PED1109-01-00   ,3,PRINCIPLE OF PHYSIC EDUCATION ,,,,,Yoon Yeo Tak/OH TAE HAN,"Mon7,8,9",PEC104,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
College of Sciences in Education,Physical Education,,,,1,Major Basic,2000,PED2202-01-00   ,3,EXERCISE PHYSIOLOGY I ,,,,,PAIK IL YOUNG/Suh Sang-Hoon,"Thu2,3,4",Spo302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
College of Sciences in Education,Physical Education,,,,1,Major Basic,2000,PED2202-02-00   ,3,EXERCISE PHYSIOLOGY I ,,,,,Kim YuSik/Cho Suyoun,"Mon3,4,5",PEC207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
