University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
College of Social Science,Social Science College Common,,,,0,Electives,2000,SOS2001-01-00   ,3,INTRODUCTION TO LAW FOR SOCIAL SCIENTISTS ,,,,,Kim Hyun Hee,"Mon1,2,3",YHH402,"javascript:OpenList5(""H1"",""20202"",""0600"");, ④⒝",O
College of Social Science,Social Science College Common,,,,0,Electives,2000,SOS2002-01-00   ,3,ARGUMENTS AND EVIDENCE ,,,,,Kang Jeong-han/LEE DAJ MI,"Mon8/Wed9,10",YHH025/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0600"");, ①④⑤⒝",O
College of Social Science,Social Science College Common,,,,0,Electives,3000,SOS3001-01-00   ,3,DIGITAL PRODUCTION & ETHNOGRAPHY ,,,,,CHANG HO JIN,"Tue7/Thu8,9",Realtime online lecture/YHH025,"javascript:OpenList5(""H1"",""20202"",""0600"");, ④⑤⒝",O
College of Social Science,Political Science and Diplomacy,,,,0,Major Elective,2000,POL2001-01-00   ,1,JUNIOR SEMINAR ,,,,,CHOI YEON SIK,Sat5,YHH112,"javascript:OpenList5(""H1"",""20202"",""0601"");, ⒞",O
College of Social Science,Political Science and Diplomacy,,,,1,Major Basic,1000,POL1004-01-00   ,3,INTRODUCTION TO POLITICAL SCIENCE ,,,,,Jin Young Jae,"Tue2,3,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒜",O
College of Social Science,Political Science and Diplomacy,,,,2,Major Elective,2000,POL2106-01-00   ,3,COMPARATIVE POLITICS ,,,,,Jin Young Jae,"Tue6,Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3113-01-00   ,3,MEDIA AND FOREIGN POLICY ,,,,,"Kim, Yongho","Tue7/Thu8,9",YHH218/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3120-01-00   ,3,KOREAN FOREIGN POLICIES ,,,,,Bae Jong-Yun,"Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3124-01-00   ,3,KOREA IN INTERNATIONAL HISTORY ,,,,,KIM Myongsob,"Wed7/Fri7,8",YHH218/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3153-01-00   ,3,UNDERSTANDING CHINESE POLITICS ,,,,,PAIK WOOYEAL,"Mon3/Wed2,3",YHH112/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 16ⓢ②⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3154-01-00   ,3,INTERNATIONAL DEVELOPMENT COOPERATION AND THE EU ,,,,,"Lee, Yeon Ho","Tue7/Thu8,9",YHH112/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3163-01-00   ,3,STATE AND CONSTITUTIONAL LAW ,,,,,Kim Jung Hwan,"Wed9,Fri8,9",YHH112,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3825-01-00   ,3,POLITICS OF COLLABORATION AND INTEGRATION IN EUROPE ,,,,,SCHATTLE HANS,"Tue4,Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17②⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3829-01-00   ,3,POLITICAL PARTIES ,,,,,Jin Young Jae,"Tue4,Thu2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,3000,POL3834-01-00   ,3,INTERNATIONAL POLITICAL ECONOMY IN EAST ASIA ,,,,,KIM MINJUNG,"Wed5,Fri5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,3,Major Elective,4000,POL4108-01-00   ,3,INTERNATIONAL RELATIONS IN EAST ASIA ,,,,,Kim Woo Sang,"Tue8,9,Thu7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,"3,4",Major Elective,2000,POL3201-01-00   ,3,PHILOSOPHICAL FOUNDATION OF LAW ,,,,,Kim Jeong-Oh,"Mon5/Wed4,5",YHH112/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17①⒝",O
College of Social Science,Political Science and Diplomacy,,,,"3,4",Major Elective,3000,POL3847-01-00   ,3,"POLITICS, MEDIA AND GLOBALIZATION ",,,,,SCHATTLE HANS,"Mon3,Wed3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17②⒝",O
College of Social Science,Political Science and Diplomacy,,,,"3,4",Major Elective,4000,POL4133-01-00   ,3,THE POLITICS OF THINGS ,,,,,PAIK WOOYEAL,"Mon6,Wed6,7",YHH112,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17ⓢ⒝",O
College of Social Science,Political Science and Diplomacy,,,,4,Major Elective,3000,POL3130-01-00   ,3,KOREAN POLITICAL THOUGHT ,,,,,CHOI YEON SIK,"Tue5,6,Thu4",YHH112,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,4,Major Elective,3000,POL3131-01-00   ,3,POST-MODERN PHILOSOPHY OF POLITICS ,,,,,Lee SangWon,"Tue2,3/Thu3",Realtime online lecture/YHH112,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
College of Social Science,Political Science and Diplomacy,,,,4,Major Elective,3000,POL3164-01-00   ,3,AMERICAN POLITICS AND GOVERNMENT ,,,,,SCHATTLE HANS,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17②⒝",O
College of Social Science,Political Science and Diplomacy,,,,4,Major Elective,4000,POL4101-01-00   ,3,ECONOMIC STATECRAFT: ECONOMIC SANCTIONS AND AID ,,,,,Whang Taehee,"Mon8,9/Wed9",Realtime online lecture/YHH218,"javascript:OpenList5(""H1"",""20202"",""0601"");, 16②⒝",O
College of Social Science,Political Science and Diplomacy,,,,4,Major Elective,4000,POL4823-01-00   ,3,THEORY OF JUSTICE ,,,,,JANG DONG-JIN,"Mon5,6,Wed6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 16②⒝",O
College of Social Science,Political Science and Diplomacy,,,,4,Major Elective,4000,POL4839-01-00   ,3,GAME THEORY AND POLITICS ,,,,,Woo Byungwon,"Tue4/Thu5,6",YHH112/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0601"");, 16⒝",O
College of Social Science,Public Administration,,,,1,Major Exploratory,1000,PUB1101-01-00   ,3,INTRODUCTION TO PUBLIC ADMINISTRATION ,,,,,YOO NARI,"Tue4/Thu5,6",YHH108/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒜",O
College of Social Science,Public Administration,,,,2,Major Basic,2000,PUB2107-01-00   ,3,INTRODUCTION TO POLICY STUDIES ,,,,,Hong Sounman,"Thu5,6,7",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
College of Social Science,Public Administration,,,,2,Major Basic,2000,PUB2107-02-00   ,3,INTRODUCTION TO POLICY STUDIES ,,,,,RYU SANGYUB,"Tue5,6/Thu4",Realtime online lecture/YHH404,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
College of Social Science,Public Administration,,,,2,Major Elective,2000,PUB2105-01-00   ,3,PUBLIC FINANCE ,,,,,Choi Geunho,"Tue8,9,Thu7",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
College of Social Science,Public Administration,,,,2,Major Elective,2000,PUB2108-01-00   ,3,ORGANIZATION THEORY ,,,,,CHO YUSUN,"Wed6,7,8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⓔ⒝",O
College of Social Science,Public Administration,,,,2,Major Elective,2000,PUB2121-01-00   ,3,CONSTITUTION AND DEMOCRATIC ADMINISTRATION ,,,,,LEE SEUNG HYUN,"Mon3,4,Wed4",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
College of Social Science,Public Administration,,,,3,Major Elective,2000,PUB2102-01-00   ,3,BUREAUCRACY AND DEMOCRACY ,,,,,Kim Hyangmi,"Tue2,3,Thu1",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
College of Social Science,Public Administration,,,,3,Major Elective,3000,PUB3103-01-00   ,3,WELFARE POLICY ,,,,,Yang Jae-jin,"Mon5,6,Wed6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
College of Social Science,Public Administration,,,,3,Major Elective,3000,PUB3105-01-00   ,3,FINANCIAL ADMINISTRATION ,,,,,SHIN GAHUI,"Fri7,8,9",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
College of Social Science,Public Administration,,,,3,Major Elective,3000,PUB3106-01-00   ,3,GOVERNMENT & BUSINESS ,,,,,Kim Sun Hyoung,"Tue8,9,Thu7",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
College of Social Science,Public Administration,,,,3,Major Elective,3000,PUB3109-01-00   ,3,ORGANIZATIONAL BEHAVIOR ,,,,,Cho Yoon Jik,"Tue2,3,Thu1",YHH108,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
College of Social Science,Public Administration,,,,3,Major Elective,3000,PUB3114-01-00   ,3,ADMINISTRATIVE LAW II ,,,,,Kim Nam Cheol,"Tue7,Thu8,9",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
College of Social Science,Public Administration,,,,3,Major Elective,3000,PUB3115-01-00   ,3,ADMINISTRATIVE CASE STUDIES ,,,,,KIM TAE HYUNG,"Wed3,Fri3,4",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
