University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2008-01-00   ,1,VOLUNTEER SERVICE IN EDUCATION(1) ,,,,,Hong Won Pyo,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒞",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2009-01-00   ,1,VOLUNTEER SERVICE IN EDUCATION(2) ,,,,,Hong Won Pyo,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒞",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2001-01-00   ,2,INTRODUCTION TO EDUCATION ,,,,,Lee Sang O,"Wed6,7",Edu606,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2001-02-00   ,2,INTRODUCTION TO EDUCATION ,,,,,CHO JIN,"Thu8,9",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2031"");, ①⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2002-01-00   ,2,ED PHILOSOPHY & HIS OF ED ,,,,,Lee Won Jae,"Mon6,7",Edu603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2002-02-00   ,2,ED PHILOSOPHY & HIS OF ED ,,,,,LEE SEONGMI,"Fri7,8",Edu601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2004-01-00   ,2,ED METHODOLOGY & TECHNOLOGY ,,,,,,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2004-02-00   ,2,ED METHODOLOGY & TECHNOLOGY ,,,,,LEE HYUN KYUNG,"Mon10,11",Edu601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2005-01-00   ,2,EDUCATIONAL SOCIETY ,,,,,Bahng Jaeim,"Wed5,6",Edu603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2005-02-00   ,2,EDUCATIONAL SOCIETY ,,,,,Bahng Jaeim,"Wed7,8",Edu603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2006-01-00   ,2,PSYCHOLOGY OF EDUCATION ,,,,,Kim Jungmin,"Thu1,2",Edu603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2006-02-00   ,2,PSYCHOLOGY OF EDUCATION ,,,,,Kim Jungmin,"Fri1,2",Edu601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2007-01-00   ,2,ED ADMINISTRATION & MANAGEMENT ,,,,,Kim Jeong-a,"Fri8,9",Edu603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2007-02-00   ,2,ED ADMINISTRATION & MANAGEMENT ,,,,,Sim Yon-sik,"Mon2,3",Edu603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2010-01-00   ,2,ED CURRICULUM ,,,,,YANG EUN BAE,"Mon8,9",Edu603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2011-01-00   ,2,ED EVALUATION ,,,,,Kim Jooah,"Tue1,2",Edu614,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2012-01-00   ,2,INTRODUCTION TO SPECIAL EDUCATION ,,,,,kim Jee-Young,"Wed2,3",Edu601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2012-02-00   ,2,INTRODUCTION TO SPECIAL EDUCATION ,,,,,kim Jee-Young,"Wed4,5",Edu601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2013-01-00   ,2,GUIDANCE AND COUNSELING ,,,,,Yang Seungmin,"Thu3,4",Edu614,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,2000,TTP2013-02-00   ,2,GUIDANCE AND COUNSELING ,,,,,Yang Seungmin,"Thu5,6",Edu601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4001-01-00   ,2,TEACHING PRACTICE(SECONDARY SCHOOL) ,,,,,goh Rae Eok,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4002-01-00   ,2,TEACHING PRACTICE(PRESCHOOL) ,,,,,goh Rae Eok,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4003-01-00   ,2,TEACHING PRACTICE(SCHOOL NURSE) ,,,,,goh Rae Eok,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4004-01-00   ,2,PRACTICE IN EDUCATION(LIBRARIAN) ,,,,,goh Rae Eok,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4005-01-00   ,2,TEACHING PRACTICE(SCHOOL COUNSELOR) ,,,,,goh Rae Eok,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4006-01-00   ,2,TEACHING PRACTICE(SCHOOL NUTRITION TEACHER) ,,,,,goh Rae Eok,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4008-01-00   ,2,PRACTICAL WORKS IN SCHOOL ,,,,,goh Rae Eok,"Tue5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⓔ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4008-02-00   ,2,PRACTICAL WORKS IN SCHOOL ,,,,,goh Rae Eok,"Thu6,7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⓔ⒝",O
Common Basic(11~19),Teacher Training Program,,,,0,Teacher Training Program,4000,TTP4100-01-00   ,2,UNDERSTANDING SCHOOL VIOLENCE PREVENTION AND THE STUDENT ,,,,,SEO JUNGKI,"Mon10,11",Edu603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
