University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,CHE1012-01-00   ,3,GENERAL CHEMISTRY AND EXPERIMENT(2) ,,,,,Oh Moonhyun,"Tue5,6(Thu5,6)",EngHA432(SciH422),"javascript:OpenList5(""H1"",""20202"",""2026"");, ③⒜",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,MAT1002-01-01   ,3,CALCULUS & VECTOR ANALYSIS(2) ,,,,,"Park, Seung Kyung","Wed3,4(Fri3,4)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""2026"");, ②⒝",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,MAT1002-01-02   ,3,CALCULUS & VECTOR ANALYSIS(2) ,,,,,"Park, Seung Kyung","Wed3,4(Fri3,4)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""2026"");, ②⒝",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,PHY1002-01-00   ,3,GENERAL PHYSICS AND LABORATORY(2) ,,,,,CHANG Soo Kyung,"Mon7,8(Wed7,8)",Realtime online lecture(SciH118),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⒜",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,PHY1002-02-00   ,3,GENERAL PHYSICS AND LABORATORY(2) ,,,,,JEONG KwangHo,"Tue2,3(Thu2,3)",Realtime online lecture(SciH118),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⒜",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,YCF1202-01-00   ,3,READING SINO-KOREAN LITERATURE(2) ,,,,,JANG JINYOUP,"Mon3,4/Wed3(Wed4)",Edu402/(),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,YCF1202-02-00   ,3,READING SINO-KOREAN LITERATURE(2) ,,,,,KIM SEONGEUN,"Tue5,6/Thu5(Thu6)",Edu405/(),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,YCF1203-01-00   ,3,READING SINO-KOREAN LITERATURE(3) ,,,,,KIM SEONGEUN,"Tue3,4/Thu3(Thu4)",Edu302/(),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,YCF1302-01-00   ,3,CHINESE(2) ,,,,,박미애,"Mon3,4/Wed3(Wed4)",Edu404/(),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778ⓐ⑮⒝",O
General Area Basic(~2009),General Area Basic,,,,,General Area Basic,,YCF1302-02-00   ,3,CHINESE(2) ,,,,,SUNG KI EUN,"Mon7,8/Wed7(Wed8)",Edu404/(),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778ⓐ⑮⒝",O
