University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCA1004-01-00   ,0,CHAPEL(4) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30102"");, ⓔ①⒞",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCA1004-02-00   ,0,CHAPEL(4) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30102"");, ⓔ①②⑬⒞",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCA1012-01-00   ,0,CHAPEL(2) ,,,,,Chung Meehyun,,,"javascript:OpenList5(""H1"",""20202"",""30102"");, ⓔ①⒞",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCA1008-01-00   ,.5,CHAPEL(D) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30102"");, ⓔ①⒞",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCA1008-02-00   ,.5,CHAPEL(D) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30102"");, ⓔ①②⑬⒞",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCA1010-01-00   ,.5,CHAPEL(B) ,,,,,Chung Meehyun,,,"javascript:OpenList5(""H1"",""20202"",""30102"");, ⓔ①⒞",O
General Education Basic(10~18),Understanding Christianity,,,,,Common Basic,,YCA1101-11-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,CHO JAI KOOK,"Mon7,8/Wed8",Realtime online lecture/BYH S208,"javascript:OpenList5(""H1"",""20202"",""30101"");, 7578⒝",O
General Education Basic(10~18),Understanding Christianity,,,,,Common Basic,,YCA1102-12-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,"HAN, IN CHUL",Tue7,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30101"");, 7178⒝",O
General Education Basic(10~18),Understanding Christianity,,,,,Common Basic,,YCA1103-07-00   ,3,BIBLE AND CHRISTIANITY ,,,,,KIM JU HWAN,"Wed1/Fri1,2",BYH S208/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30101"");, 7578⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1001-01-00   ,2,BASIC COLLEGE ENGLISH Ⅰ ,,,,,Yu Je Wang,"Tue5,Thu5",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1002-01-00   ,2,BASIC COLLEGE ENGLISH Ⅱ ,,,,,Beckett Jeremy Robert Wilson,"Mon4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1101-01-00   ,2,COLLEGE ENGLISH Ⅰ ,,,,,Yu Je Wang,"Tue6,Thu6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1101-02-00   ,2,COLLEGE ENGLISH Ⅰ ,,,,,Beckett Jeremy Robert Wilson,"Mon2,Wed2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1101-03-00   ,2,COLLEGE ENGLISH Ⅰ ,,,,,Beckett Jeremy Robert Wilson,"Mon7,Wed7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1102-01-00   ,2,COLLEGE ENGLISH Ⅱ ,,,,,Oh Jin Sook,"Tue2,Thu2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1102-02-00   ,2,COLLEGE ENGLISH Ⅱ ,,,,,Oh Jin Sook,"Tue3,Thu3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1102-03-00   ,2,COLLEGE ENGLISH Ⅱ ,,,,,Beckett Jeremy Robert Wilson,"Mon8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1201-01-00   ,2,ADVANCED COLLEGE ENGLISH Ⅰ ,,,,,Yu Je Wang,"Tue4,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCC1202-01-00   ,2,ADVANCED COLLEGE ENGLISH Ⅱ ,,,,,Beckett Jeremy Robert Wilson,Mon3,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30103"");, ⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCB1101-51-00   ,3,WRITING ,,,,,Yu Gwang-Su,"Mon3,4/Wed4",Realtime online lecture/BYH S108,"javascript:OpenList5(""H1"",""20202"",""30104"");, 7578⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCB1101-52-00   ,3,WRITING ,,,,,Yu Gwang-Su,"Mon5,6/Wed6",Realtime online lecture/BYH S408,"javascript:OpenList5(""H1"",""20202"",""30104"");, 7578⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCB1101-53-00   ,3,WRITING ,,,,,Yu Gwang-Su,"Mon7,8/Wed8",Realtime online lecture/BYH S408,"javascript:OpenList5(""H1"",""20202"",""30104"");, 7578⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCB1101-54-00   ,3,WRITING ,,,,,KIM SUNHYE,"Tue5,6/Thu4",Realtime online lecture/BYH S408,"javascript:OpenList5(""H1"",""20202"",""30104"");, 7578⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCB1101-55-00   ,3,WRITING ,,,,,QUAN YINZHU,"Tue7/Thu8,9",BYH S408/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30104"");, 7578⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCB1101-56-00   ,3,WRITING ,,,,,PARK KYUNG WOO,"Wed1/Fri1,2",BYH S408/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30104"");, 7578⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCB1101-57-00   ,3,WRITING ,,,,,PARK KYUNG WOO,"Wed3/Fri3,4",BYH S408/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30104"");, 7578⒝",O
General Education Basic(10~18),UC Basic,,,,,Common Basic,,YCB1101-58-00   ,3,WRITING(BASIC KOREAN) ,,,,,QUAN YINZHU,"Tue4/Thu5,6",BYH S408/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30104"");, 7578④⒝",O
