University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
General Education Elective(10~18),Understanding Humanity & History,,,,,Elective General Education,,UCG1105-01-00   ,3,EAST ASIA & CIVILIZATION ,,,,,Park Kyungsuk/YU HYUN JUNG,"Tue5,6/Thu4",Edu403/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30205"");, 7678⒝",O
General Education Elective(10~18),Understanding Humanity & History,,,,,Elective General Education,,UCG1111-01-00   ,3,PHILOSOPHY & ITS METHODOLOGY ,,,,,NAHM KIHO,"Wed5/Fri5,6",Realtime online lecture/Edu303,"javascript:OpenList5(""H1"",""20202"",""30205"");, 7678⒝",O
General Education Elective(10~18),Understanding Humanity & History,,,,,Elective General Education,,UCG1125-01-00   ,3,HISTORY ON FILM ,,,,,CHUN Soo-Yun,"Mon7,8/Wed8",Realtime online lecture/Edu403,"javascript:OpenList5(""H1"",""20202"",""30205"");, 7578⒝",O
General Education Elective(10~18),Understanding Humanity & History,,,,,Elective General Education,,UCG1130-01-00   ,3,A JOURNEY TO THE MYTH OF EASTERN ASIA ,,,,,KIM SEONJA,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30205"");, 7278⒝",O
General Education Elective(10~18),Science & Technology,,,,,Elective General Education,,UCH1102-01-00   ,3,EARTH AND THE UNIVERSE ,,,,,"KIMM, TAYSUN","Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30201"");, 7278⒝",O
General Education Elective(10~18),Science & Technology,,,,,Elective General Education,,UCH1105-01-00   ,3,EARTH AND ENVIRONMENT ,,,,,Yi Myung-Suk,Wed4,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30201"");, 7178①⒝",O
General Education Elective(10~18),Science & Technology,,,,,Elective General Education,,UCH1108-01-00   ,3,THE ENVIRONMENT AND ATMOSPHERE ,,,,,Kim Hyun Mee,"Mon5,6/Wed6",Realtime online lecture/BYH S108,"javascript:OpenList5(""H1"",""20202"",""30201"");, 7578⒝",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCI1175-01-00   ,1,THE SPIRIT OF YONSEI & HUMAN RIGHTS ,,,,,PARK Kyung Ja,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, ⓔ⒞",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCI2001-01-00   ,1,VOLUNTEER SERVICE ,,,,,"Park, Joonhong",,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 16⒞",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCI2001-02-00   ,1,VOLUNTEER SERVICE ,,,,,"Chun, Heoung Jae",,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 17⒞",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCI2001-03-00   ,1,VOLUNTEER SERVICE ,,,,,Hong Won Pyo,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 20⒞",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCI2001-06-00   ,1,VOLUNTEER SERVICE ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 24⒞",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCI2001-07-00   ,1,VOLUNTEER SERVICE ,,,,,Nah Jeong Eun,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 16⒞",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCI2001-09-00   ,1,VOLUNTEER SERVICE ,,,,,"Jeong, Chong Hun",,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 16⒞",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCI2001-13-00   ,1,VOLUNTEER SERVICE ,,,,,Dong Hwan Kim,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 16⒞",O
General Education Elective(10~18),Society & Value,,,,,Elective General Education,,UCR1016-01-00   ,1,LIFE ACADEMY ,,,,,Nam Seok In,"Tue10,11",APZH108,"javascript:OpenList5(""H1"",""20202"",""30206"");, ⒞",O
