University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,UCE1105-01-00   ,3,UNDERSTANDING ON CINEMA ,,,,,KIM DONGHO,,,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7178①⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,UCE1105-02-00   ,3,UNDERSTANDING ON CINEMA ,,,,,Kang Chul,,,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7178①⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,UCE1107-01-00   ,3,HISTORY OF MUSIC ,,,,,Chi Hyungjoo,"Wed3/Fri3,4",BYH Aud/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7578⑤⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,UCE1108-01-00   ,3,DESIGN & CULTURE ,,,,,KIM HYE-RAN,"Mon5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7178①⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,UCG1126-01-00   ,3,POETRY AND THOUGHT IN GRECO-ROMAN ERA ,,,,,김기영,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7278⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,UCJ1104-01-00   ,3,ART HISTORY OF KOREA ,,,,,SONG HEE KYUNG,"Wed3,Fri3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7278⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,YCD1001-01-00   ,3,CREATIVITY THROUGH ART ,,,,,Kim Sang Keun,,,"javascript:OpenList5(""H1"",""20202"",""30001"");, ⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,YCD1351-01-00   ,3,CULTURE AND ARTS OF CENTRAL EUROPE ,,,,,"Choi, Gunn Young","Fri5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7178①⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,YCD1601-01-00   ,3,CONTEMPORARY MUSIC IN FILM ,,,,,Lim Jiesun,Tue8,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7478⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,YCD1602-01-00   ,3,UNDERSTANDING POPULAR MUSIC ,,,,,Park Ae-Kyung/Kwon Hyunseok,Wed3,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7478⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,YCD1653-01-00   ,3,ASIAN CINEMAS ,,,,,Baek Moon Im/Lee Hwajin,"Wed3,4(Fri3,4)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""30001"");, 7278⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,YCD1999-01-00   ,3,GREAT BOOKS & DEBATE ,,,,,SHIN Kyung-Sook,"Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7378⒝",O
General Education Requisite(10~18),Literature and Arts,,,,,Requisite General Education,,YCD1999-02-00   ,3,GREAT BOOKS & DEBATE ,,,,,HUH CHAN,"Tue8,9/Thu7",Realtime online lecture/BYH S408,"javascript:OpenList5(""H1"",""20202"",""30001"");, 7578⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,ANT1001-01-00   ,3,CULTURAL ANTHROPOLOGY ,,,,,KOO Gi Yeon,"Fri2,3,4",BilHall110,"javascript:OpenList5(""H1"",""20202"",""30002"");, ⑥⒜",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,CFS2104-01-00   ,3,THEORY OF EARLY CHILDHOOD EDUCATION ,,,,,PARK CHAN HWA,"Tue7,8,9",Pre-recorded lecture/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, ⓔ①③⑥⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,PHI1001-01-00   ,3,UNDERSTANDING OF WESTERN PHILOSOPHY ,,,,,Sunwoo Hwan,"Mon5,6,Wed6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, ①⑥⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,PSY2103-01-00   ,3,INTRODUCTION TO PSYCHOLOGY ,,,,,"Kim, Min-Shik/Lee, Ki-Hak/Sohn, Young Woo/Suh, Eun Kook/Chung Kyongmee/SONG Hyun Joo/LEE DONGGWI/YI DO JOON/Han Sanghoon/Young-Hoon Kim/Soo Hyun Park/PARK, SOO JIN/Chong Sang Chul/Hur Ju Yoen","Fri2,3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 17⑥⑨⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,UCB1101-01-00   ,3,MODERN HISTORY OF KOREA ,,,,,Lee Hana,,,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7178①⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,UCB1103-01-00   ,3,WESTERN CIVILIZATION ,,,,,HWANG HYE JEAN,"Tue4,Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7278⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,UCB1105-01-00   ,3,HISTORY OF WESTERN PHILOSOPHY ,,,,,KIM Ock-Kyoung,"Tue5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7178①⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,UCD1102-01-00   ,3,MODERN SOCIETY AND PSYCHOLOGY ,,,,,YOON SO YEON,Wed1,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7478⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,UCD1107-01-00   ,3,HISTORY & ISSUES OF KOREAN EDUCATION ,,,,,Lee Won Jae,"Tue8,9",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7178①⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,UCE1102-01-00   ,3,HISTORY OF ART ,,,,,SONG HEE KYUNG,"Wed5,Fri5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7278⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1251-01-00   ,3,WAR AND HISTORY ,,,,,Hong Seok Min,"Mon7,8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7378⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1254-01-00   ,3,DIALOGUE BETWEEN IDEOLOGIES AND HISTORY ,,,,,Hong Seok Min,"Mon3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7378⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1255-01-00   ,3,HISTORY READ THROUGH EUROPEAN URBAN CULTURAL SPACES ,,,,,Hong Seok Min,"Fri11,12,13",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, ⓔ⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1551-01-00   ,3,MODERN DAY DATING AND MARRIAGE ,,,,,Park Shin Jin,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7278⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1601-01-00   ,3,PSYCHOLOGY OF INTERPERSONAL RELATIONSHIPS ,,,,,"Lee, Ki-Hak","Tue7,Thu8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7278⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1603-01-00   ,3,WHAT IS MIND ,,,,,"Kim, Min-Shik","Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7278⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1604-01-00   ,3,PSYCHOLOGY OF SEXUALITY AND GENDER ,,,,,Yang Hyunjung,Tue4,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7178①⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1605-01-00   ,3,PSYCHOLOGY OF ABNORMAL BEHAVIOR ,,,,,Yang Hyunjung,"Thu11,12,13",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, ⓔ⒝",O
General Education Requisite(10~18),Humanity and History,,,,,Requisite General Education,,YCE1607-01-00   ,3,PSYCHOLOGY OF STRESS AND COPING ,,,,,Yang Hyunjung,Tue6,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30002"");, 7178①⒝",O
General Education Requisite(10~18),Language and Expression,,,,,Requisite General Education,,YCF1201-01-00   ,3,READING SINO-KOREAN LITERATURE(1) ,,,,,KIM YOOGYUNG,"Mon1,2/Wed1(Wed2)",Realtime online lecture/Edu402(Edu402),"javascript:OpenList5(""H1"",""20202"",""30003"");, 7778⑭⑮⒝",O
General Education Requisite(10~18),Language and Expression,,,,,Requisite General Education,,YCF1201-02-00   ,3,READING SINO-KOREAN LITERATURE(1) ,,,,,KIM YOOGYUNG,"Mon5,6/Wed5(Wed6)",Realtime online lecture/Edu402(Edu402),"javascript:OpenList5(""H1"",""20202"",""30003"");, 7778⑭⑮⒝",O
General Education Requisite(10~18),Language and Expression,,,,,Requisite General Education,,YCF1201-03-00   ,3,READING SINO-KOREAN LITERATURE(1) ,,,,,Kang Hyejong,"Mon7,8/Wed7(Wed8)",Edu302/Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""30003"");, 7778⑭⑮⒝",O
General Education Requisite(10~18),Language and Expression,,,,,Requisite General Education,,YCF1201-04-00   ,3,READING SINO-KOREAN LITERATURE(1) ,,,,,Kang Hyejong,"Tue1,2/Thu1(Thu2)",Edu404/(),"javascript:OpenList5(""H1"",""20202"",""30003"");, 7778⑭⑮⒝",O
General Education Requisite(10~18),Language and Expression,,,,,Requisite General Education,,YCF1201-05-00   ,3,READING SINO-KOREAN LITERATURE(1) ,,,,,Lim Mijung,"Tue3,4/Thu3(Thu4)",Realtime online lecture/Edu402(Edu402),"javascript:OpenList5(""H1"",""20202"",""30003"");, 7778⑭⑮⒝",O
General Education Requisite(10~18),Language and Expression,,,,,Requisite General Education,,YCF1201-06-00   ,3,READING SINO-KOREAN LITERATURE(1) ,,,,,Lim Mijung,"Tue7,8/Thu7(Thu8)",Realtime online lecture/Edu402(Edu402),"javascript:OpenList5(""H1"",""20202"",""30003"");, 7778⑭⑮⒝",O
General Education Requisite(10~18),Language and Expression,,,,,Requisite General Education,,YCF1202-01-00   ,3,READING SINO-KOREAN LITERATURE(2) ,,,,,JANG JINYOUP,"Mon3,4/Wed3(Wed4)",Edu402/(),"javascript:OpenList5(""H1"",""20202"",""30003"");, 7778⑮⒝",O
General Education Requisite(10~18),Language and Expression,,,,,Requisite General Education,,YCF1202-02-00   ,3,READING SINO-KOREAN LITERATURE(2) ,,,,,KIM SEONGEUN,"Tue5,6/Thu5(Thu6)",Edu405/(),"javascript:OpenList5(""H1"",""20202"",""30003"");, 7778⑮⒝",O
