University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
General Education(2019~),Literature and Arts,,,,,General Education,,UCE1105-01-00   ,3,UNDERSTANDING ON CINEMA ,,,,,KIM DONGHO,,,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7178①⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,UCE1105-02-00   ,3,UNDERSTANDING ON CINEMA ,,,,,Kang Chul,,,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7178①⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,UCE1107-01-00   ,3,HISTORY OF MUSIC ,,,,,Chi Hyungjoo,"Wed3/Fri3,4",BYH Aud/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7578⑤⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,UCE1108-01-00   ,3,DESIGN & CULTURE ,,,,,KIM HYE-RAN,"Mon5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7178①⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,UCG1126-01-00   ,3,POETRY AND THOUGHT IN GRECO-ROMAN ERA ,,,,,김기영,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7278⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,UCJ1104-01-00   ,3,ART HISTORY OF KOREA ,,,,,SONG HEE KYUNG,"Wed3,Fri3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7278⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,UCJ1112-01-00   ,3,INTRODUCTION TO VISUAL ARTS ,,,,,LEE Hyun Soo,"Thu7,8",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7178①⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,UCJ1124-01-00   ,3,CULTURAL CONTENTS & CREATIVE IMAGINATION ,,,,,Yu Gwang-Su,"Tue4,Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7278⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,YCD1001-01-00   ,3,CREATIVITY THROUGH ART ,,,,,Kim Sang Keun,,,"javascript:OpenList5(""H1"",""20202"",""30109"");, ⒝",O
General Education(2019~),Literature and Arts,,,,,General Education,,YCD1351-01-00   ,3,CULTURE AND ARTS OF CENTRAL EUROPE ,,,,,"Choi, Gunn Young","Fri5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""30109"");, 7178①⒝",O
