University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1105-01-00   ,3,UNDERSTANDING ACADEMIC DISCOURSE ,,,,,Yoon Kyeongwon,"Wed1,Fri1,2",ILHA405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1105-02-00   ,3,UNDERSTANDING ACADEMIC DISCOURSE ,,,,,Lee Jeongeun,"Wed1,Fri1,2",ILHA406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1106-01-00   ,3,UNDERSTANDING ACADEMIC TEXT ,,,,,Kim Boyeong,"Mon1,2,Wed3",ILHA405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1106-02-00   ,3,UNDERSTANDING ACADEMIC TEXT ,,,,,KIM MIOK,"Mon1,2,Wed3",ILHA406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1107-01-00   ,3,ARGUMENTATION AND DISCUSSION ,,,,,Yoon Kyeongwon,"Wed2,Fri3,4",ILHA405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1107-02-00   ,3,ARGUMENTATION AND DISCUSSION ,,,,,Lee Jeongeun,"Wed2,Fri3,4",ILHA406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1108-01-00   ,3,LOGICAL THINKING AND WRITING ,,,,,Kim Boyeong,"Mon3,4,Wed4",ILHA405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1108-02-00   ,3,LOGICAL THINKING AND WRITING ,,,,,KIM MIOK,"Mon3,4,Wed4",ILHA406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1109-01-00   ,3,BEGINNING KOREAN CONVERSATION ,,,,,KIM SUNYOUNG,"Mon1,Wed1,Fri1",ILHA434,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑦⑩⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1110-01-00   ,3,BEGINNING KOREAN COMPREHENSION ,,,,,KIM SUNYOUNG,"Mon2,Wed2,Fri2",ILHA434,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑦⑩⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Electives,,GLC1111-01-00   ,3,BEGINNING KOREAN GRAMMAR ,,,,,KIM SUNYOUNG,"Mon3,Wed3,Fri3",ILHA434,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑦⑩⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1301-01-00   ,1,GLC TAEKWONDO THEORIES AND PRACTICES ,,,,,Kim Young Sun,"Tue6,7",IVH211,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1301-02-00   ,1,GLC TAEKWONDO THEORIES AND PRACTICES ,,,,,Kim Young Sun,"Tue8,9",IVH211,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1302-01-00   ,1,GLC SPORTS DANCE THEORIES AND PRACTICES ,,,,,Park ji yeon,"Thu6,7",IVH211,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1302-02-00   ,1,GLC SPORTS DANCE THEORIES AND PRACTICES ,,,,,Park ji yeon,"Thu8,9",IVH211,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Foundation Education,,GLC1001-01-00   ,3,GLC ENGLISH1 ,,,,,Joyce Michael,"Mon5,6,Wed6",ILHA406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Foundation Education,,GLC1001-02-00   ,3,GLC ENGLISH1 ,,,,,Hark Daniel,"Tue1,Thu2,3",ILHA406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Foundation Education,,GLC1002-01-00   ,3,GLC ENGLISH2 ,,,,,Chan Jason,"Mon5,6,Wed6",ILHA405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Foundation Education,,GLC1002-02-00   ,3,GLC ENGLISH2 ,,,,,Jeens Robert,"Tue1,Thu2,3",ILHA407,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,Foundation Education,,GLC1002-03-00   ,3,GLC ENGLISH2 ,,,,,"HWANG, JIM SUN IL","Wed5,Fri5,6",ILHA406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1005-01-00   ,3,ADVANCED GLC ENGLISH WRITING ,,,,,Joyce Michael,"Wed7,8,9",ILHA407,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1201-01-00   ,3,THINKING AND EXPRESSION ,,,,,HONG HYERAN,"Fri4,5,6",ILHA431,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑧⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1203-01-00   ,3,UNDERSTANDING OF NUMBERS IN DAILY LIFE ,,,,,Lee Eunji,"Tue7,8,9",ILHA431,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑧⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1207-01-00   ,3,UNDERSTANDING GLOBAL INDUSTRY ,,,,,HAN JAE YOUNG,"Tue3,Thu3,4",ILHA432,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑧⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1208-01-00   ,3,GLC MATHEMATICS ,,,,,Han Hyelim,"Tue4,5,6",ILHA432,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑧⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1209-01-00   ,3,MATERIAL AND CIVILIZATION ,,,,,"Choi, Doo Jin","Mon7,8,9",ILHA433,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑧⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1217-01-00   ,3,HISTORY AND CINEMA ,,,,,Hye-Min Lee,"Tue5,6,Thu4",ILHA433,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑧⑨⒝",X
Global Leaders College,GLC-COMMON CURRICULUM,,,,,General Education,,GLC1220-01-00   ,3,GLC BIOLOGY ,,,,,LEE YEW,"Tue4,5,6",ILHB213,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑧⒝",X
