University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
International Campus(2019~),Foundation Education-Chaple,,,,0,Common Basic,1000,YCA1006-01-00   ,.5,CHAPEL(B) ,,,,,Kwak Hochul,,,"javascript:OpenList5(""H1"",""20202"",""30121"");, ⓔ①②⑬⒞",O
International Campus(2019~),Foundation Education-Chaple,,,,0,Common Basic,1000,YCA1006-02-00   ,.5,CHAPEL(B) ,,,,,Chung Yong Han,,,"javascript:OpenList5(""H1"",""20202"",""30121"");, ⓔ①⑭⒞",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-01-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Kim Hak Chol,Wed6,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30122"");, ⓒ④⒝",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-02-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Kim Hak Chol,Wed8,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30122"");, ⓒ④⒝",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-03-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Yun Sanglim,"Tue2,3,Thu1",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30122"");, ⓒ④⒝",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-04-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Kim Hak Chol,Thu4,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30122"");, ⓒ④⒝",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-05-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Kim Hak Chol,Thu7,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30122"");, ⓒ④⒝",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-06-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,KO HYONGSANG,"Tue1/Thu2,3",IVHA108/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30122"");, ⓒ④⒝",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-07-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,Chung Yong Han/Kwak Hochul,"Tue7/Thu8,9",IVHA108/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30122"");, ⓒ④⒝",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-08-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,JUNG WOON HYUNG,"Mon3,4/Wed4",Realtime online lecture/IVHA108,"javascript:OpenList5(""H1"",""20202"",""30122"");, ⓒ④⑤⒝",O
International Campus(2019~),Foundation Education-Understanding Christianity,,,,0,Foundation Education,1000,YCA1101-09-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,PARK JAE KYUNG,"Mon1,2,Wed2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""30122"");, 16ⓒ②⒝",O
