University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
Study Abroad Course,Undergraduate,,,,0,Electives,1000,IEE1061-01-00   ,3,BIOLOGY 1 CELLULAR &MOLECULAR BIOLOGY ,,,,,Chung Sunglan,"Fri3,4,5",ERCB106,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑤⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,1000,IEE1062-01-00   ,3,CHEMICAL PRINCIPLES 1 ,,,,,"Choi, Moon-Gun","Tue1,Thu2,3",ERCB106,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑤⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,1000,IEE1063-01-00   ,3,INTRO TO PSYCHOLOGY ,,,,,Soo Hyun Park,"Thu5,6,7",ERCB106,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,1000,IEE1101-01-00   ,3,BEGINNING KOREAN WRITING ,,,,,LEE YUN JIN,"Wed1,Fri1,2",NMH106,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,1000,IEE1154-01-00   ,3,KOREAN POPULAR CULTURE AND KOREAN WAVE ,,,,,Kim Jungwon,"Tue5,6,7",NMH104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,1000,IEE1154-02-00   ,3,KOREAN POPULAR CULTURE AND KOREAN WAVE ,,,,,BAN BOHI GIM,"Fri5,6,7",DWHM113,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,2000,IEE2021-01-00   ,3,KOREAN TRADITIONAL MUSIC AND CULTURE ,,,,,BAN BOHI GIM,"Tue5,6,7",DWHMB121,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,2000,IEE2060-01-00   ,3,PRINCIPLES OF MARKETING ,,,,,KIM KYUNGHEE,"Mon1,2,3",NMH104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,2000,IEE2083-01-00   ,3,KOREAN ART HISTORY ,,,,,KIM JUNG HUI,"Thu5,6,7",BYH S113,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,2000,IEE2084-01-00   ,3,KOREAN FOOD AND CULTURE ,,,,,KIM DONG JU,"Fri4,5,6",NMH104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,2000,IEE2086-01-00   ,3,CORPORATE POLICY AND KOREAN ECONOMY ,,,,,SONG WONGUN,"Tue1,2,3",NMH104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,3000,IEE3103-01-00   ,3,INTRODUCTION TO KOREAN STUDIES ,,,,,YUH LEIGHANNE,"Thu5,6,7",DWHA105,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,3000,IEE3107-01-00   ,3,PRE-MODERN KOREAN HISTORY ,,,,,SON CHEOLBAE,"Mon4,5,Wed4",NMH104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,3000,IEE3108-01-00   ,3,MODERN KOREAN HISTORY ,,,,,SON CHEOLBAE,"Mon6,7,Wed6",NMH104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,3000,IEE3116-01-00   ,3,INTRODUCTION TO KOREAN PHILOSOPHY ,,,,,CHANG WON SUK,"Fri1,2,3",NMH107,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,Electives,3000,IEE3121-01-00   ,3,TRADITIONAL KOREAN SOCIETY & MODERNIZATION ,,,,,YUH LEIGHANNE,"Thu1,2,3",DWHMB121,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
