University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
UC Basic(~2009),Understanding Christianity,,,,,University College Basic,,YCA1101-11-00   ,3,CHRISTIANITY & WORLD CULTURE ,,,,,CHO JAI KOOK,"Mon7,8/Wed8",Realtime online lecture/BYH S208,"javascript:OpenList5(""H1"",""20202"",""2011"");, 7578⒝",O
UC Basic(~2009),Understanding Christianity,,,,,University College Basic,,YCA1102-12-00   ,3,MODERN WORLD AND CHRISTIANITY ,,,,,"HAN, IN CHUL",Tue7,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2011"");, 7178⒝",O
UC Basic(~2009),Understanding Christianity,,,,,University College Basic,,YCA1103-07-00   ,3,BIBLE AND CHRISTIANITY ,,,,,KIM JU HWAN,"Wed1/Fri1,2",BYH S208/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2011"");, 7578⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1001-01-00   ,2,BASIC COLLEGE ENGLISH Ⅰ ,,,,,Yu Je Wang,"Tue5,Thu5",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1101-02-00   ,2,COLLEGE ENGLISH Ⅰ ,,,,,Beckett Jeremy Robert Wilson,"Mon2,Wed2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1101-03-00   ,2,COLLEGE ENGLISH Ⅰ ,,,,,Beckett Jeremy Robert Wilson,"Mon7,Wed7",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1002-01-00   ,2,BASIC COLLEGE ENGLISH Ⅱ ,,,,,Beckett Jeremy Robert Wilson,"Mon4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1101-01-00   ,2,COLLEGE ENGLISH Ⅰ ,,,,,Yu Je Wang,"Tue6,Thu6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1102-01-00   ,2,COLLEGE ENGLISH Ⅱ ,,,,,Oh Jin Sook,"Tue2,Thu2",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1102-02-00   ,2,COLLEGE ENGLISH Ⅱ ,,,,,Oh Jin Sook,"Tue3,Thu3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1102-03-00   ,2,COLLEGE ENGLISH Ⅱ ,,,,,Beckett Jeremy Robert Wilson,"Mon8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1201-01-00   ,2,ADVANCED COLLEGE ENGLISH Ⅰ ,,,,,Yu Je Wang,"Tue4,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
UC Basic(~2009),UC Basic,,,,,University College Basic,,YCC1202-01-00   ,2,ADVANCED COLLEGE ENGLISH Ⅱ ,,,,,Beckett Jeremy Robert Wilson,Mon3,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2015"");, ⒝",O
