University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
UC Elective(~2009),Understanding Humanity & History,,,,,University College Elective,,UCG1105-01-00   ,3,EAST ASIA & CIVILIZATION ,,,,,Park Kyungsuk/YU HYUN JUNG,"Tue5,6/Thu4",Edu403/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""3001"");, 7678⒝",O
UC Elective(~2009),Understanding Humanity & History,,,,,University College Elective,,UCG1111-01-00   ,3,PHILOSOPHY & ITS METHODOLOGY ,,,,,NAHM KIHO,"Wed5/Fri5,6",Realtime online lecture/Edu303,"javascript:OpenList5(""H1"",""20202"",""3001"");, 7678⒝",O
UC Elective(~2009),Understanding Humanity & History,,,,,University College Elective,,UCG1125-01-00   ,3,HISTORY ON FILM ,,,,,CHUN Soo-Yun,"Mon7,8/Wed8",Realtime online lecture/Edu403,"javascript:OpenList5(""H1"",""20202"",""3001"");, 7578⒝",O
UC Elective(~2009),Understanding Humanity & History,,,,,University College Elective,,UCG1130-01-00   ,3,A JOURNEY TO THE MYTH OF EASTERN ASIA ,,,,,KIM SEONJA,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""3001"");, 7278⒝",O
UC Elective(~2009),Understanding Humanity & History,,,,,University College Elective,,YCF1652-01-00   ,3,SIGN LANGUAGE ,,,,,Kim Misil/NAM KIHUYN,"Tue7,8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""3001"");, 7278⒝",O
UC Elective(~2009),Understanding Humanity & History,,,,,University College Elective,,YCF1652-02-00   ,3,SIGN LANGUAGE ,,,,,Kim Misil/NAM KIHUYN,"Wed7,8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""3001"");, 7278⒝",O
UC Elective(~2009),Science & Technology,,,,,University College Elective,,UCH1102-01-00   ,3,EARTH AND THE UNIVERSE ,,,,,"KIMM, TAYSUN","Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""3002"");, 7278⒝",O
UC Elective(~2009),Science & Technology,,,,,University College Elective,,UCH1104-01-00   ,3,BIOSYSTEMS & ENVIROMENTAL ,,,,,LEE Tae Ho,Thu4,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""3002"");, 7478⒝",O
UC Elective(~2009),Science & Technology,,,,,University College Elective,,UCH1105-01-00   ,3,EARTH AND ENVIRONMENT ,,,,,Yi Myung-Suk,Wed4,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""3002"");, 7178①⒝",O
UC Elective(~2009),Science & Technology,,,,,University College Elective,,UCH1108-01-00   ,3,THE ENVIRONMENT AND ATMOSPHERE ,,,,,Kim Hyun Mee,"Mon5,6/Wed6",Realtime online lecture/BYH S108,"javascript:OpenList5(""H1"",""20202"",""3002"");, 7578⒝",O
UC Elective(~2009),Society & Value,,,,,University College Elective,,UCI1175-01-00   ,1,THE SPIRIT OF YONSEI & HUMAN RIGHTS ,,,,,PARK Kyung Ja,,,"javascript:OpenList5(""H1"",""20202"",""3003"");, ⓔ⒞",O
UC Elective(~2009),Society & Value,,,,,University College Elective,,UCI2001-01-00   ,1,VOLUNTEER SERVICE ,,,,,"Park, Joonhong",,,"javascript:OpenList5(""H1"",""20202"",""3003"");, 16⒞",O
UC Elective(~2009),Society & Value,,,,,University College Elective,,UCI2001-02-00   ,1,VOLUNTEER SERVICE ,,,,,"Chun, Heoung Jae",,,"javascript:OpenList5(""H1"",""20202"",""3003"");, 17⒞",O
UC Elective(~2009),Society & Value,,,,,University College Elective,,UCI2001-03-00   ,1,VOLUNTEER SERVICE ,,,,,Hong Won Pyo,,,"javascript:OpenList5(""H1"",""20202"",""3003"");, 20⒞",O
UC Elective(~2009),Society & Value,,,,,University College Elective,,UCI2001-06-00   ,1,VOLUNTEER SERVICE ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""3003"");, 24⒞",O
