University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,UCB1101-01-00   ,3,MODERN HISTORY OF KOREA ,,,,,Lee Hana,,,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7178①⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,UCB1103-01-00   ,3,WESTERN CIVILIZATION ,,,,,HWANG HYE JEAN,"Tue4,Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7278⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,UCB1104-01-00   ,3,PHILOSOPHY AND ETHICAL PROBLEMS ,,,,,KO JUNG SIK,"Fri5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7178①⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,UCB1105-01-00   ,3,HISTORY OF WESTERN PHILOSOPHY ,,,,,KIM Ock-Kyoung,"Tue5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7178①⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,UCG1126-01-00   ,3,POETRY AND THOUGHT IN GRECO-ROMAN ERA ,,,,,김기영,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7278⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCD1653-01-00   ,3,ASIAN CINEMAS ,,,,,Baek Moon Im/Lee Hwajin,"Wed3,4(Fri3,4)",Realtime online lecture(Realtime online lecture),"javascript:OpenList5(""H1"",""20202"",""2021"");, 7278⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCE1251-01-00   ,3,WAR AND HISTORY ,,,,,Hong Seok Min,"Mon7,8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7378⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCE1254-01-00   ,3,DIALOGUE BETWEEN IDEOLOGIES AND HISTORY ,,,,,Hong Seok Min,"Mon3,4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7378⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCE1601-01-00   ,3,PSYCHOLOGY OF INTERPERSONAL RELATIONSHIPS ,,,,,"Lee, Ki-Hak","Tue7,Thu8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7278⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCE1603-01-00   ,3,WHAT IS MIND ,,,,,"Kim, Min-Shik","Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7278⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCE1604-01-00   ,3,PSYCHOLOGY OF SEXUALITY AND GENDER ,,,,,Yang Hyunjung,Tue4,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7178①⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCE1605-01-00   ,3,PSYCHOLOGY OF ABNORMAL BEHAVIOR ,,,,,Yang Hyunjung,"Thu11,12,13",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, ⓔ⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCE1607-01-00   ,3,PSYCHOLOGY OF STRESS AND COPING ,,,,,Yang Hyunjung,Tue6,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7178①⒝",O
UC Requisite(~2009),Understanding Humanity,,,,,University College Requisite,,YCG1702-01-00   ,3,CHRISTIAN ETHICS AND SOCIAL RESPONSIBILITY ,,,,,"Jeong, Chong Hun",Mon7,Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2021"");, 7178①⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,UCC1102-01-00   ,3,MODERN UNDERSTANDING OF PHYSICS ,,,,,Park Seong Chan,"Thu8,9,10",SciHB132,"javascript:OpenList5(""H1"",""20202"",""2022"");, ⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,UCC1103-01-00   ,3,ENVIRONMENTAL POLLUCTION AND HUMAN ,,,,,"Choi, Moon-Gun","Thu5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7378⑧⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,UCC1104-01-00   ,3,MODERN THEORY OF LIFE ,,,,,KIM OKYONG,"Mon5,6/Wed6",Realtime online lecture/SciHB132,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7578⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,UCC1105-01-00   ,3,ORIGIN & EVOLUTION OF EARTH ,,,,,Kim Jin-Wook,"Tue8,9,10",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7278⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,UCC1106-01-00   ,3,UNDERSTANDING OF SPACE ,,,,,Yi Sukyoung,"Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7278⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,UCC1106-02-00   ,3,UNDERSTANDING OF SPACE ,,,,,Kim Yong Cheol,"Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7278⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,UCC1113-01-00   ,3,READING LIFE SCIENCES ,,,,,Chang Soo Chul,"Tue5,6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7378⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,UCH1103-01-00   ,3,MATTER & LIFE ,,,,,LEE Tae Ho/CHOI SOO HYUK,Tue4,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7478⑨⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,YCJ1001-01-00   ,3,MATHEMATICS IN FINANCIAL SOCIETY ,,,,,KIM JEONG-HOON,"Thu5,6",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7178①⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,YCL1003-01-00   ,3,BOW AND LIRA: SEARCHING FOR A CREATIVE TANGENT POINT BETWEEN BIOLOGY AND PHILOSOPHY ,,,,,Kim Dong Gyu,"Tue5,6/Thu4",SciHB132/Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7678⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,YCL1004-01-00   ,3,THE NEUROSCIENCE OF INTERPERSONAL RELATIONSHIPS ,,,,,Kim Hyoun Kyoung,"Mon7,8,Wed8",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7278②⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,YCL1201-01-00   ,3,MICROORGANISMS IN HUMAN LIFE AND HISTORY ,,,,,LEE JooHun,"Tue8,9,10",Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7178①⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,YCL1601-01-01   ,3,LIFE SCIENCE IN PRACTICE ,,,,,Chang Soo Chul,Tue3,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7478⒝",O
UC Requisite(~2009),Understanding Nature,,,,,University College Requisite,,YCL1601-01-02   ,3,LIFE SCIENCE IN PRACTICE ,,,,,Chang Soo Chul,Tue3,Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2022"");, 7478⒝",O
UC Requisite(~2009),Understanding Society,,,,,University College Requisite,,UCD1101-01-00   ,3,SOCIOLOGY IN CONTEMPORARY SOCIETY ,,,,,Kim Kyungmi,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""2023"");, 7278⒝",O
