University College,Major,,,,Year,Classification,Weight,Course Code-Sec.(-Lab),Credit,Course Title,Target,,,,Instructor,Time,Room,Ref,Exchange
Underwood International College,Common Curriculum (Sinchon Campus),,,,0,CC,1000,YCA1008-02-00   ,.5,CHAPEL(D) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""1011"");, ⓔ①②⑬⒞",O
Underwood International College,Common Curriculum (Sinchon Campus),,,,1,CC,1000,YCA1004-02-00   ,0,CHAPEL(4) ,,,,,Lee Dae Sung,,,"javascript:OpenList5(""H1"",""20202"",""1011"");, ⓔ①②⑬⒞",O
Underwood International College,Common Curriculum (Sinchon Campus),,,,1,CC,1000,UIC1451-01-00   ,3,WORLD LITERATURE: MODERN JAPANESE LITERATURE ,,,,,LEE HELEN JEESUNG,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
Underwood International College,Common Curriculum (Sinchon Campus),,,,1,CC,1000,UIC1501-01-00   ,3,WORLD HISTORY: GROUP I ,,,,,CHO WONHEE,"Thu7,8,9",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
Underwood International College,Common Curriculum (Sinchon Campus),,,,1,CC,1000,UIC1551-01-00   ,3,WORLD HISTORY: GROUP II ,,,,,TONKS PAUL,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
Underwood International College,Common Curriculum (Sinchon Campus),,,,1,CC,1000,UIC1809-01-00   ,3,BEGINNING CHINESE(2) ,,,,,Liu Yafei,"Tue1,Thu2,3",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑭⒝",O
Underwood International College,Common Curriculum (Sinchon Campus),,,,1,CC,1000,UIC1920-01-00   ,3,SCIENCE IN CONTEXT ,,,,,Soderholm Jon,"Mon5,6,Wed6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑤⑪⒝",X
Underwood International College,Common Curriculum (Sinchon Campus),,,,1,CC,2000,UIC2101-01-00   ,3,CRITICAL REASONING ,,,,,PEDERSEN NIKOLAJ J.L. LINDING,"Mon3,4,Wed4",Realtime online lecture/Pre-recorded lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
Underwood International College,Common Curriculum (Sinchon Campus),,,,1,CC,2000,UIC2101-02-00   ,3,CRITICAL REASONING ,,,,,Michael Michaelakis,"Tue5,6,Thu4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
Underwood International College,Common Curriculum (Sinchon Campus),,,,2,CC,2000,UIC2151-01-00   ,3,RESEARCH DESIGN AND QUANTITATIVE METHODS ,,,,,Sheen JOO HYUN,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
Underwood International College,Common Curriculum (Sinchon Campus),,,,2,CC,2000,UIC2151-02-00   ,3,RESEARCH DESIGN AND QUANTITATIVE METHODS ,,,,,Sheen JOO HYUN,"Mon5,6,Wed6",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
Underwood International College,Common Curriculum (Sinchon Campus),,,,2,CC,2000,UIC2302-01-00   ,3,INTERMEDIATE KOREAN(1) ,,,,,Jeon Jieun,"Mon3,4,Wed4",Realtime online lecture,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑭⒝",X
