학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
Study Abroad Course,Undergraduate,,,,0,일반,1000,IEE1061-01-00   ,3,BIOLOGY 1 CELLULAR &MOLECULAR BIOLOGY ,,,,,정석란,"금3,4,5",공학원B106,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑤⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,1000,IEE1062-01-00   ,3,CHEMICAL PRINCIPLES 1 ,,,,,최문근,"화1,목2,3",공학원B106,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑤⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,1000,IEE1063-01-00   ,3,INTRO TO PSYCHOLOGY ,,,,,박수현,"목5,6,7",공학원B106,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,1000,IEE1101-01-00   ,3,BEGINNING KOREAN WRITING ,,,,,이윤진,"수1,금1,2",새천106,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,1000,IEE1154-01-00   ,3,KOREAN POPULAR CULTURE AND KOREAN WAVE ,,,,,김정원,"화5,6,7",새천104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,1000,IEE1154-02-00   ,3,KOREAN POPULAR CULTURE AND KOREAN WAVE ,,,,,반보희,"금5,6,7",상본113,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,2000,IEE2021-01-00   ,3,KOREAN TRADITIONAL MUSIC AND CULTURE ,,,,,반보희,"화5,6,7",상본B121,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,2000,IEE2060-01-00   ,3,PRINCIPLES OF MARKETING ,,,,,김경희,"월1,2,3",새천104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,2000,IEE2083-01-00   ,3,KOREAN ART HISTORY ,,,,,김정희,"목5,6,7",백S113,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,2000,IEE2084-01-00   ,3,KOREAN FOOD AND CULTURE ,,,,,김동주,"금4,5,6",새천104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,2000,IEE2086-01-00   ,3,CORPORATE POLICY AND KOREAN ECONOMY ,,,,,송원근,"화1,2,3",새천104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,3000,IEE3103-01-00   ,3,INTRODUCTION TO KOREAN STUDIES ,,,,,리앤유,"목5,6,7",대별105,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
Study Abroad Course,Undergraduate,,,,0,일반,3000,IEE3107-01-00   ,3,PRE-MODERN KOREAN HISTORY ,,,,,손철배,"월4,5,수4",새천104,"javascript:OpenList5(""H1"",""20202"",""4001"");, ②⑥⒝",O
