학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
간호대학,간호학(2-4학년),,,,,전기,,NUR2012-01-01   ,1,건강사정 실습 ,,,,,최지연,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전기,,NUR2006-01-00   ,2,약리학 ,,,,,추상희,"월2,3",실시간온라인(간호),"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전기,,NUR2013-01-00   ,3,병태생리학 ,,,,,이향규,"목5,6,금2",실시간온라인(간호),"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR2024-01-01   ,2,임상간호실습입문 II ,,,,,"이주희,이지연,김영만",,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR2025-01-00   ,2,건강사정 ,,,,,최지연,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ②",
간호대학,간호학(2-4학년),,,,,전필,,NUR2026-01-00   ,3,건강증진과 교육 ,,,,,김광숙,"월5,6,금4",간호대진리관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR2026-02-00   ,3,건강증진과 교육 ,,,,,,"월5,6,목1",간호대자유관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR5113-01-00   ,.5,채플 I ,,,,,,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전선,,NUR4008-01-00   ,2,노인간호학 ,,,,,조은희,"금8,9",실시간온라인(간호),"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전선,,NUR4121-01-00   ,2,간호와정보 ,,,,,최모나,"금8,9",간호대자유관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전선,,NUR4123-01-00   ,2,통일과 간호 ,,,,,추상희,"월7,8",간호대소망관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전선,,NUR4202-01-00   ,2,여성건강 ,,,,,김수,"월7,8",간호대자유관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ②",
간호대학,간호학(2-4학년),,,,,전선,,NUR5116-01-00   ,3,보건교과교재연구지도법 ,,,,,이가영,"월7,8,9",탐구관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,일반,,NUR2112-01-00   ,0,사회봉사 ,,,,,,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR3006-01-00   ,2,간호학 IV ,,,,,김선아,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR3114-01-00   ,3,지역사회간호학 ,,,,,"이경희,이가영","목5,6",간호대자유관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR3114-02-00   ,3,지역사회간호학 ,,,,,"이경희,이가영","목5,6",간호대창조관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR3102-01-00   ,4,간호학 II ,,,,,"최모나,오의금,최은경,김영만","목2,3,금2,3",간호대자유관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR3102-02-00   ,4,간호학 II ,,,,,"최모나,오의금,최은경,김영만","목2,3,금2,3",간호대창조관,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
간호대학,간호학(2-4학년),,,,,전필,,NUR3013-01-01   ,6,통합간호실습 II ,,,,,김희정,,,"javascript:OpenList5(""H9"",""20202"",""1302"");, ",
