학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
경영대학,경영학전공,,,,1,전선,2000,BIZ2126-01-00   ,3,기업가정신:혁신과창업을위한경영학이야기 ,,,,,정동일,"목2,3,4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⓒ⑭⒞",X
경영대학,경영학전공,,,,2,전기,1000,BIZ1101-01-00   ,3,회계원리(1) ,,,,,손성규,"화1,목2,3",경영102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑥⒜",X
경영대학,경영학전공,,,,2,전기,1000,BIZ1101-02-00   ,3,회계원리(1) ,,,,,최원욱,"월5,6,수6",경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑥⒜",X
경영대학,경영학전공,,,,2,전기,1000,BIZ1101-03-00   ,3,회계원리(1) ,,,,,기랄안드레스,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⑥⒝",O
경영대학,경영학전공,,,,2,전기,1000,BIZ1101-04-00   ,3,회계원리(1) ,,,,,김종환,"화4/목5,6",경영103/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⑥⒝",O
경영대학,경영학전공,,,,2,전기,1000,BIZ1101-05-00   ,3,회계원리(1) ,,,,,박주형,"수3/금3,4",경영B201/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑥⒜",X
경영대학,경영학전공,,,,2,전기,1000,BIZ1101-06-00   ,3,회계원리(1) ,,,,,박주형,"수7/금7,8",경영B201/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16④⑥⒜",X
경영대학,경영학전공,,,,2,전기,1000,BIZ1102-01-00   ,3,조직행동론 ,,,,,신동엽,"화2,3,목1",경영103,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⒜",X
경영대학,경영학전공,,,,2,전기,1000,BIZ1102-02-00   ,3,조직행동론 ,,,,,오홍석,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⒜",X
경영대학,경영학전공,,,,2,전기,1000,BIZ1102-03-00   ,3,조직행동론 ,,,,,장은미,"월9,10/수10",실시간온라인/경영101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16④⒜",X
경영대학,경영학전공,,,,2,전기,1000,BIZ1102-04-00   ,3,조직행동론 ,,,,,이기영,"화7,목8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⒝",O
경영대학,경영학전공,,,,2,전기,1000,BIZ1102-05-00   ,3,조직행동론 ,,,,,도보람,"월1,2,수2",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⒝",O
경영대학,경영학전공,,,,2,전기,1000,BIZ1102-06-00   ,3,조직행동론 ,,,,,도보람,"월3,4,수4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2119-01-00   ,3,재무관리 ,,,,,구본일,"화1/목2,3",동영상콘텐츠/경영101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2119-02-00   ,3,재무관리 ,,,,,연강흠,"월5,6/수6",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2119-03-00   ,3,재무관리 ,,,,,연강흠,"월7,8/수8",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2119-04-00   ,3,재무관리 ,,,,,신진영,"월5,6/수6",동영상콘텐츠/경영103,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2119-05-00   ,3,재무관리 ,,,,,박세열,"화8,9/목7",실시간온라인/경영102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2119-06-00   ,3,재무관리 ,,,,,김기범,"월9,10,수10",경영103,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16④⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2120-01-00   ,3,마케팅 ,,,,,김영찬,"화4/목5,6",실시간온라인/경영101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑮⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2120-02-00   ,3,마케팅 ,,,,,장수령,"화2,3,목1",경영B204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2120-03-00   ,3,마케팅 ,,,,,고민정,"화4,목5,6",경영104,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2120-04-00   ,3,마케팅 ,,,,,고민정,"화5,6,목4",경영104,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16④⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2120-05-00   ,3,마케팅 ,,,,,이루리,"수3,금3,4",경영B204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2121-01-00   ,3,생산및운영관리 ,,,,,허대식,"화4/목5,6",실시간온라인/경영102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2121-02-00   ,3,생산및운영관리 ,,,,,민순홍,"화2,3",경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2121-03-00   ,3,생산및운영관리 ,,,,,민순홍,"목2,3",경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2121-04-00   ,3,생산및운영관리 ,,,,,박승재,"월1,2/수2",실시간온라인/경영B204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 1618②⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2121-05-00   ,3,생산및운영관리 ,,,,,이인호,"목7,8,9",경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2121-06-00   ,3,생산및운영관리 ,,,,,신재호,"수7,금7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ④⒜",X
경영대학,경영학전공,,,,2,전기,2000,BIZ2122-01-00   ,3,경영과학 ,,,,,김학진,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2122-02-00   ,3,경영과학 ,,,,,박선주,"화5,6",경영B201,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2122-03-00   ,3,경영과학 ,,,,,김성문,"화2/화3,목1",실시간온라인/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2122-04-00   ,3,경영과학 ,,,,,정예림,"화4/목5,6",실시간온라인/경영B101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2122-05-00   ,3,경영과학 ,,,,,정예림,"화1/목2,3",실시간온라인/경영B101,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
경영대학,경영학전공,,,,2,전기,2000,BIZ2122-06-00   ,3,경영과학 ,,,,,서승범,"수7/금7,8",경영B208/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
경영대학,경영학전공,,,,2,전선,2000,BIZ2001-01-00   ,1,주니어세미나(기업재무사례연구) ,,,,,신현한,금9,경영B223,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
경영대학,경영학전공,,,,2,전선,2000,BIZ2003-01-00   ,1,UT세미나(국제경영) ,,,,,강지훈,수3,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
경영대학,경영학전공,,,,2,전선,2000,BIZ2003-02-00   ,1,UT세미나(마케팅) ,,,,,김정운,월5,경영B223,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
경영대학,경영학전공,,,,2,전선,2000,BIZ2003-03-00   ,1,UT세미나(조직행동론) ,,,,,김영욱,월4,경영B223,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
경영대학,경영학전공,,,,2,전선,2000,BIZ2003-04-00   ,1,UT세미나(회계원리연습) ,,,,,박주형,수4,경영B223,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
경영대학,경영학전공,,,,2,전선,2000,BIZ2003-05-00   ,1,UT세미나(재무관리) ,,,,,박지영,화3,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⑦⒞",X
경영대학,경영학전공,,,,2,전선,2000,BIZ2125-01-00   ,3,경영환경의최신동향:디지털혁명과사회변동 ,,,,,이승용,"화7,8,9",경영B204,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⑦⒞",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3108-01-00   ,3,회계원리(2) ,,,,,손성규,"화5,6,목4",경영102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3108-02-00   ,3,회계원리(2) ,,,,,이경태,"화7,목8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3108-03-00   ,3,회계원리(2) ,,,,,이경태,"화8,9,목7",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3108-04-00   ,3,회계원리(2) ,,,,,문두철,"월1,2/수2",실시간온라인/경영B202,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3108-05-00   ,3,회계원리(2) ,,,,,윤대희,"화8,9,목7",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ②③⒝",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3147-01-00   ,3,전략경영 ,,,,,권구혁,"화5,6/목4",경영101/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3147-02-00   ,3,전략경영 ,,,,,박경민,"월5,6/수6",경영B203/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3147-03-00   ,3,전략경영 ,,,,,박경민,"월7,8/수8",경영B203/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3147-04-00   ,3,전략경영 ,,,,,김지현,"월3,4/수4",실시간온라인/경영B201,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②⒝",O
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3147-05-00   ,3,전략경영 ,,,,,김보경,"월3,4,수4",경영104,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16②③⒝",O
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3147-06-00   ,3,전략경영 ,,,,,전경미,"월10/월9,수10",실시간온라인/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3189-01-00   ,3,경영정보시스템 ,,,,,이호근,"월5,6,수6",경영102,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑤⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3189-02-00   ,3,경영정보시스템 ,,,,,서길수,"화2,3/목1",경영B101/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0202"");, 16③⑤⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3189-03-00   ,3,경영정보시스템 ,,,,,임일,"월3,4/수4",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ③⑤⒜",X
경영대학,경영학전공,,,,"3,4",전필,3000,BIZ3189-04-00   ,3,경영정보시스템 ,,,,,임일,"월7,8/수8",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0202"");, ⒜",X
