학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
계열기초(~2009학번),계열기초,,,,,계기,,CHE1012-01-00   ,3,공학화학및실험(2) ,,,,,오문현,"화5,6(목5,6)",공A432(과422),"javascript:OpenList5(""H1"",""20202"",""2026"");, ③⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,MAT1002-01-01   ,3,미분적분학과벡터해석(2) ,,,,,박승경,"수3,4(금3,4)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, ②⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,MAT1002-01-02   ,3,미분적분학과벡터해석(2) ,,,,,박승경,"수3,4(금3,4)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, ②⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,PHY1002-01-00   ,3,일반물리학및실험(2) ,,,,,장수경,"월7,8(수7,8)",실시간온라인(과118),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,PHY1002-02-00   ,3,일반물리학및실험(2) ,,,,,정광호,"화2,3(목2,3)",실시간온라인(과118),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1202-01-00   ,3,한문(2) ,,,,,장진엽,"월3,4/수3(수4)",교402/실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1202-02-00   ,3,한문(2) ,,,,,김성은,"화5,6/목5(목6)",교405/실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1203-01-00   ,3,한문(3) ,,,,,김성은,"화3,4/목3(목4)",교302/실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1302-01-00   ,3,중국어(2) ,,,,,박미애,"월3,4/수3(수4)",교404/실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778ⓐ⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1302-02-00   ,3,중국어(2) ,,,,,성기은,"월7,8/수7(수8)",교404/실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778ⓐ⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1302-03-00   ,3,중국어(2) ,,,,,박지영,"화5,6/목5(목6)",실시간온라인/교302(교302),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778ⓐ⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1303-01-00   ,3,중국어(3) ,,,,,박수진,"화3,4,목3(목4)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7278ⓐ⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1452-01-00   ,3,독일어(2) ,,,,,이진영,"화3,4/목3(목4)",교405/실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1453-01-00   ,3,독일어(3) ,,,,,김성현,"월7,8/수7(수8)",실시간온라인/교405(교405),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1502-01-00   ,3,프랑스어(2) ,,,,,이혜영,수5,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7879⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1502-02-00   ,3,프랑스어(2) ,,,,,유예진,"화1,2/목1(목2)",실시간온라인/교302(교302),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1503-01-00   ,3,프랑스어(3) ,,,,,르사쥬베랑제르,"화5,6,목5(목6)",교404(교404),"javascript:OpenList5(""H1"",""20202"",""2026"");, ⓐ⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1552-01-00   ,3,러시아어(2) ,,,,,장윤선,"화3,4/목3(목4)",교402/실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,YCF1553-01-00   ,3,러시아어(3) ,,,,,정연우,"화5,6/목5(목6)",실시간온라인/교405(교405),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⑮⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,CHE1004-01-00   ,4,일반화학및실험(2) ,,,,,심은지,"화7,8,9(목7,8)",과B101(과422),"javascript:OpenList5(""H1"",""20202"",""2026"");, ③⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,PHY1004-01-00   ,4,일반물리학및실험(2) ,,,,,장수경,"월7,8(수7,8)",실시간온라인(과118),"javascript:OpenList5(""H1"",""20202"",""2026"");, 78⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,BIO1001-01-00   ,3,일반생물학및실험(1) ,,,,,"정인권,조현수","월5/월6(수5,6)",동영상콘텐츠/과S118A(과SB202),"javascript:OpenList5(""H1"",""20202"",""2026"");, 78⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,BIO1002-01-00   ,3,일반생물학및실험(2) ,,,,,이명민,"화7,8(목7,8)",동영상콘텐츠(동영상콘텐츠),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,BIO1009-01-00   ,3,일반생물학및실험(2)(심화) ,,,,,조진원,"월3,4,5(수3,4)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, ⓒ⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,BIO1011-01-00   ,3,공학생물학및실험(1) ,,,,,조면행,"수3,4(금3,4)",실시간온라인(동영상콘텐츠),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7278⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,BIO1012-01-00   ,3,공학생물학및실험(2) ,,,,,이주헌,"월3,4(수3,4)",동영상콘텐츠(동영상콘텐츠),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,CHE1002-01-00   ,3,일반화학및실험(2) ,,,,,심은지,"화7,8(목7,8)",과B101(과422),"javascript:OpenList5(""H1"",""20202"",""2026"");, ③⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,ECO1001-01-00   ,3,경제학입문 ,,,,,이상헌,"월3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,ECO1001-02-00   ,3,경제학입문 ,,,,,이지영,목2,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,ECO1001-03-00   ,3,경제학입문 ,,,,,김학렬,"월7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,MAT1001-01-01   ,3,미분적분학과벡터해석(1) ,,,,,김호범,"목6,7(화8,9)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7278⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,MAT1001-01-02   ,3,미분적분학과벡터해석(1) ,,,,,김호범,"목6,7(화8,9)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7278⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,MAT1011-01-01   ,3,공학수학(1) ,,,,,손재범,"화5,6/목5(목6)",실시간온라인/공A528(공A528),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,MAT1011-01-02   ,3,공학수학(1) ,,,,,손재범,"화5,6/목5(목6)",실시간온라인/공A528(공A690),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,MAT1012-01-01   ,3,공학수학(2) ,,,,,김두규,"화7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,MAT1012-01-02   ,3,공학수학(2) ,,,,,김두규,"화7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,PHY1012-01-00   ,3,공학물리학및실험(2) ,,,,,정광호,"화7,8(목7,8)",실시간온라인(과118),"javascript:OpenList5(""H1"",""20202"",""2026"");, 7778⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,PHY1012-02-00   ,3,공학물리학및실험(2) ,,,,,이삼현,"목3,4(화2,3)",공A546(과118),"javascript:OpenList5(""H1"",""20202"",""2026"");, ⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,PHY1012-03-00   ,3,공학물리학및실험(2) ,,,,,이삼현,"목7,8(화7,8)",공A546(과118),"javascript:OpenList5(""H1"",""20202"",""2026"");, ⒜",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-01-01   ,3,통계학입문 ,,,,,김숙경,"월3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-01-02   ,3,통계학입문 ,,,,,김숙경,"월3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-02-01   ,3,통계학입문 ,,,,,박지영,"월5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-02-02   ,3,통계학입문 ,,,,,박지영,"월5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-03-01   ,3,통계학입문 ,,,,,한솔지,"월7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-03-02   ,3,통계학입문 ,,,,,한솔지,"월7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-04-01   ,3,통계학입문 ,,,,,김미정,"화3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 167178①②⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-04-02   ,3,통계학입문 ,,,,,김미정,"화3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 167178①②⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-05-01   ,3,통계학입문 ,,,,,김규현,"화5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-05-02   ,3,통계학입문 ,,,,,김규현,"화5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
계열기초(~2009학번),계열기초,,,,,계기,,STA1001-06-01   ,3,통계학입문 ,,,,,한솔지,"화7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2026"");, 7178①⒝",O
