학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
공과대학,공과대학공통,,,,0,전기,2000,MAT2016-01-01   ,3,공학수학(3) ,,,,,임웅,"화1,2,금5(금6)",동영상콘텐츠(동영상콘텐츠),"javascript:OpenList5(""H1"",""20202"",""0400"");, ①②⒝",X
공과대학,공과대학공통,,,,0,전기,2000,MAT2016-01-02   ,3,공학수학(3) ,,,,,임웅,"화1,2,금5(금6)",동영상콘텐츠(동영상콘텐츠),"javascript:OpenList5(""H1"",""20202"",""0400"");, ①②⒝",X
공과대학,공과대학공통,,,,0,일반,2000,ENG2000-01-00   ,3,창업102:기업과기업가정신 ,,,,,김승현,"월7,8,9",공A528,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒞",O
공과대학,공과대학공통,,,,0,일반,2000,ENG2009-01-00   ,3,융합뇌공학입문 ,,,,,최헌진,"수5,6,7",공D405,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⒝",O
공과대학,공과대학공통,,,,0,일반,2000,ENG2113-01-00   ,3,창업301:스타트업창업실전 ,,,,,최환진,"화5,6,7",공D508,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⑬⒞",O
공과대학,공과대학공통,,,,0,일반,2000,ENG2114-01-00   ,3,공학과지식재산(캡스톤디자인) ,,,,,박수조,"월2,3,4",공D510,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⑬⒝",O
공과대학,공과대학공통,,,,0,일반,2000,ENG2116-01-00   ,3,스마트테크놀로지AIR ,,,,,"한승재,김대은","화5,6,목2",공D405,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⑬⑭⒝",O
공과대학,공과대학공통,,,,0,일반,3000,ENG3405-01-00   ,3,창업404:지역사회를위한창의적문제해결(캡스톤디자인) ,,,,,강소연,"수7,8,9",공D510,"javascript:OpenList5(""H1"",""20202"",""0400"");, ⑥⑪⒞",O
공과대학,공과대학공통,,,,0,대교,1000,ENG1108-01-01   ,3,공학정보처리 ,,,,,김은진,"수4,5(목8,9)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0400"");, 24⒝",O
공과대학,공과대학공통,,,,0,대교,1000,ENG1108-01-02   ,3,공학정보처리 ,,,,,김은진,"수4,5(금4,5)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0400"");, 24⒝",O
공과대학,공과대학공통,,,,0,대교,1000,ENG1108-02-01   ,3,공학정보처리 ,,,,,김은진,"목7,8(금6,7)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0400"");, 24⒝",O
