학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
교육과학대학,교육학전공,,,,2,전필,2000,EDU2002-01-00   ,3,미래를위한교육학 ,,,,,"김혜숙,이명근,장원섭,이규민,황금중,박순용,서영석,홍원표,김성원,오석영,이무성,류지훈","금6,7,8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓒ⑧⒝",O
교육과학대학,교육학전공,,,,2,전선,2000,EDU2003-01-00   ,1,UT세미나(컴퓨터교육공학맛보기) ,,,,,박종화,목10,교516,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒞",O
교육과학대학,교육학전공,,,,2,전선,2000,TTP2008-01-00   ,1,교육봉사활동(1) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒞",O
교육과학대학,교육학전공,,,,2,전선,2000,TTP2009-01-00   ,1,교육봉사활동(2) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒞",O
교육과학대학,교육학전공,,,,2,전선,2000,EDU2107-01-00   ,3,교육사회학 ,,,,,박대권,"화2/목3,4",교517/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
교육과학대학,교육학전공,,,,2,전선,2000,EDU2109-01-00   ,3,ICT활용교육 ,,,,,,,,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
교육과학대학,교육학전공,,,,2,전선,2000,EDU2113-01-00   ,3,교육행정입문 ,,,,,김혜숙,"월7,8/수8",교517/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
교육과학대학,교육학전공,,,,2,전선,2000,EDU2125-01-00   ,3,서양교육사 ,,,,,이상오,"수4,금3,4",교606,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
교육과학대학,교육학전공,,,,3,전선,3000,EDU3144-01-00   ,2,교육학논리및논술교육 ,,,,,이성미,"금5,6",교601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
교육과학대학,교육학전공,,,,3,전선,3000,EDU3103-01-00   ,3,교수방법론 ,,,,,홍원표,"화4,5/목5",교614/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ⒝",O
교육과학대학,교육학전공,,,,3,전선,3000,EDU3112-01-00   ,3,비교교육학 ,,,,,김성원,"화1/목2,3",실시간온라인/교601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ②⒝",O
교육과학대학,교육학전공,,,,3,전선,3000,EDU3131-01-00   ,3,인간발달과교육 ,,,,,송수지,"목1,금3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
교육과학대학,교육학전공,,,,3,전선,3000,EDU3133-01-00   ,3,교육평가론 ,,,,,이규민,"화8,목7,8",교601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
교육과학대학,교육학전공,,,,3,전선,3000,EDU3136-01-00   ,3,교육의인류학적탐구 ,,,,,박순용,"수2,3/금2",교517/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
교육과학대학,교육학전공,,,,3,전선,3000,EDU3137-01-00   ,3,교육의비교문화적이해 ,,,,,박아일린,"화10,11/목10",실시간온라인/교601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ②⒝",O
교육과학대학,교육학전공,,,,3,전선,3000,EDU3167-01-00   ,3,교육추리통계방법 ,,,,,류지훈,"화6,7/목9",교603/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①②⒝",O
교육과학대학,교육학전공,,,,4,전선,4000,TTP4007-01-00   ,1,교육현장연구지도 ,,,,,고래억,수10,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ⒝",O
교육과학대학,교육학전공,,,,4,전선,4000,EDU4117-01-00   ,3,산업교육실제 ,,,,,장원섭,"월5,6,7",교519,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
교육과학대학,교육학전공,,,,4,전선,4000,EDU4118-01-00   ,3,상담심리세미나 ,,,,,서영석,"월2,3,수1",교601,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⒝",O
교육과학대학,교육학전공,,,,4,전선,4000,EDU4121-01-00   ,3,국제이해교육 ,,,,,이무성,"수2,3/목3",교606/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ⒝",O
교육과학대학,교육학전공,,,,4,전선,4000,EDU4124-01-00   ,3,HRD와성인교육 ,,,,,오석영,"화6,7/목6",동영상콘텐츠/교614,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
교육과학대학,교육학전공,,,,4,전선,4000,EDU4127-01-00   ,3,마음교육론 ,,,,,황금중,"월6/수6,7",동영상콘텐츠/교614,"javascript:OpenList5(""H1"",""20202"",""1001"");, ①⒝",O
교육과학대학,교육학전공,,,,4,전선,4000,EDU4134-01-00   ,3,교수설계의원리와실제 ,,,,,이명근,"월8,9,수9/월8,9,수9",실시간온라인/교516,"javascript:OpenList5(""H1"",""20202"",""1001"");, ⓔ⒝",O
교육과학대학,체육교육학전공,,,,0,전선,2000,PED2001-01-00   ,1,주니어세미나(비만관리프로그램설계와실습) ,,,,,백일영,월5,스포츠109,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,0,전선,2000,PED2001-02-00   ,1,주니어세미나(올림픽과스포츠과학) ,,,,,서상훈,목6,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,0,전선,2000,PED2001-03-00   ,1,주니어세미나(키네시오테이핑의이론과실제) ,,,,,이세용,금6,스포츠108,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
교육과학대학,체육교육학전공,,,,1,전기,1000,PED1101-01-00   ,1,수영교수법(1) ,,,,,우성원,"목3,4",수영장(신촌),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⑧⒜",O
교육과학대학,체육교육학전공,,,,1,전기,1000,PED1101-02-00   ,1,수영교수법(1) ,,,,,육동원,"목5,6",수영장(신촌),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑧⒜",O
교육과학대학,체육교육학전공,,,,1,전기,1000,PED1109-01-00   ,3,체육원리 ,,,,,"윤여탁,오태한","월7,8,9",체104,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,1,전기,2000,PED2202-01-00   ,3,운동생리학(1) ,,,,,"백일영,서상훈","목2,3,4",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,1,전기,2000,PED2202-02-00   ,3,운동생리학(1) ,,,,,"김유식,조수연","월3,4,5",체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,1,전선,1000,PED1105-01-00   ,1,배드민턴교수법 ,,,,,최지영,"금3,4",체조장(체308),"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⒝",O
교육과학대학,체육교육학전공,,,,1,전선,2000,PED2107-01-00   ,1,테니스지도법(2) ,,,,,백일영,"화3,4(화3,4)",테니스장(클레이코트)(스포츠109),"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑨⒝",O
교육과학대학,체육교육학전공,,,,1,전선,1000,PED1804-01-00   ,3,응급처치지도법 ,운동부,,,,조수연,"월11,12,13",체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⑦⒝",O
교육과학대학,체육교육학전공,,,,2,전기,1000,PED1107-01-00   ,1,신체적성(1) ,,,,,서상훈,"월5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1002"");, ②⑧⒝",O
교육과학대학,체육교육학전공,,,,2,전기,4000,PED4204-01-00   ,3,운동역학(2) ,,,,,이해동,"월2,3,4",스포츠302,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒝",O
교육과학대학,체육교육학전공,,,,2,전기,4000,PED4204-02-00   ,3,운동역학(2) ,운동부,,,,문곤성,"월2,3/월4",스포츠108/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1002"");, ①⑦⒝",O
교육과학대학,체육교육학전공,,,,2,전선,2000,PED2002-01-00   ,1,UT세미나(건강관리를위한운동생리학의실제적접근) ,,,,,최경수,목7,체207,"javascript:OpenList5(""H1"",""20202"",""1002"");, ⒞",O
