학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
교직과정,교직과정,,,,0,교직,2000,TTP2008-01-00   ,1,교육봉사활동(1) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒞",O
교직과정,교직과정,,,,0,교직,2000,TTP2009-01-00   ,1,교육봉사활동(2) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒞",O
교직과정,교직과정,,,,0,교직,2000,TTP2001-01-00   ,2,교육학개론 ,,,,,이상오,"수6,7",교606,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2001-02-00   ,2,교육학개론 ,,,,,조진,"목8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""2031"");, ①⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2002-01-00   ,2,교육철학및교육사 ,,,,,이원재,"월6,7",교603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2002-02-00   ,2,교육철학및교육사 ,,,,,이성미,"금7,8",교601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2004-01-00   ,2,교육방법및교육공학 ,,,,,,,,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2004-02-00   ,2,교육방법및교육공학 ,,,,,이현경,"월10,11",교601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2005-01-00   ,2,교육사회 ,,,,,방재임,"수5,6",교603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2005-02-00   ,2,교육사회 ,,,,,방재임,"수7,8",교603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2006-01-00   ,2,교육심리 ,,,,,김정민,"목1,2",교603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2006-02-00   ,2,교육심리 ,,,,,김정민,"금1,2",교601,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2007-01-00   ,2,교육행정및교육경영 ,,,,,김정아,"금8,9",교603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2007-02-00   ,2,교육행정및교육경영 ,,,,,심연식,"월2,3",교603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2010-01-00   ,2,교육과정 ,,,,,양은배,"월8,9",교603,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
교직과정,교직과정,,,,0,교직,2000,TTP2011-01-00   ,2,교육평가 ,,,,,김주아,"화1,2",교614,"javascript:OpenList5(""H1"",""20202"",""2031"");, ⒝",O
