학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1105-01-00   ,3,학술담화의이해 ,,,,,윤경원,"수1,금1,2",I자A405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1105-02-00   ,3,학술담화의이해 ,,,,,이정은,"수1,금1,2",I자A406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1106-01-00   ,3,학술텍스트의이해 ,,,,,김보영,"월1,2,수3",I자A405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1106-02-00   ,3,학술텍스트의이해 ,,,,,김미옥,"월1,2,수3",I자A406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1107-01-00   ,3,논증과토론 ,,,,,윤경원,"수2,금3,4",I자A405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1107-02-00   ,3,논증과토론 ,,,,,이정은,"수2,금3,4",I자A406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1108-01-00   ,3,논리적사고와글쓰기 ,,,,,김보영,"월3,4,수4",I자A405,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1108-02-00   ,3,논리적사고와글쓰기 ,,,,,김미옥,"월3,4,수4",I자A406,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑥⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1109-01-00   ,3,초급한국어회화 ,,,,,김선영,"월1,수1,금1",I자A434,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑦⑩⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1110-01-00   ,3,초급한국어이해 ,,,,,김선영,"월2,수2,금2",I자A434,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑦⑩⒝",X
글로벌인재대학,GLC공통교과과정,,,,,일반,,GLC1111-01-00   ,3,초급한국어문법 ,,,,,김선영,"월3,수3,금3",I자A434,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ③④⑤⑦⑩⒝",X
글로벌인재대학,GLC공통교과과정,,,,,대교,,GLC1301-01-00   ,1,GLC태권도의이론과실제 ,,,,,김영선,"화6,7",I종211,"javascript:OpenList5(""H1"",""20202"",""1864"");, ⓒ②③④⑤⑨⒝",X
