학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
기초교육(2019학번~),자율선택,,,,,기교,,UCI1175-01-00   ,1,연세정신과인권 ,,,,,박경자,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⓔ⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI2001-01-00   ,1,사회봉사(자유선택 자원봉사활동) ,,,,,박준홍,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 16⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI2001-02-00   ,1,사회봉사(희망원정대-선 봉사후 학점인정) ,,,,,전흥재,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 17⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI2001-03-00   ,1,사회봉사(동행프로젝트) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 20⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI2001-06-00   ,1,사회봉사(함께나누는 세상) ,,,,,이대성,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 24⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI2001-07-00   ,1,사회봉사(시각장애인 희망나눔교실) ,,,,,나정은,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 16⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI2001-09-00   ,1,사회봉사(드림 스터디 멘토링 가람1004 봉사단) ,,,,,정종훈,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 16⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI2001-13-00   ,1,사회봉사(와세다-연세평화캠프 선봉사 후 학점인정) ,,,,,김동환,,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 16⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCJ1135-01-00   ,1,연세대학합창(랩콰이어) ,,,,,지현정,"금5,6",음117,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCJ1135-02-00   ,1,연세대학합창(랩콰이어) ,,,,,김대광,"금5,6",음103,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCR1016-01-00   ,1,라이프아카데미-삶과미래 ,,,,,남석인,"화10,11",아108,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI1167-01-00   ,3,사회혁신과기업CSR ,,,,,김도영,"화8,9/목7",백S208/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30120"");, 7678⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI1176-01-00   ,3,사회과학적이슈에대한융합적접근 ,,,,,백윤수,"수7,8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30120"");, 7278⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI1177-01-00   ,3,반기문과함께하는지속가능발전의이해 ,,,,,"김소윤,박준홍,박태인",,,"javascript:OpenList5(""H1"",""20202"",""30120"");, 7178①⒞",O
기초교육(2019학번~),자율선택,,,,,기교,,UCI1183-01-00   ,3,사회문제해결을위한융합팀워크 ,,,,,송인한,"목7,8,9",교403,"javascript:OpenList5(""H1"",""20202"",""30120"");, ⒝",O
