학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
문과대학,문과대학 공통,,,,0,교직,2000,TTP3829-01-00   ,3,외국어평가방법론 ,,,,,이원경,"금1,2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0100"");, ③⑥⒝",O
문과대학,문과대학 공통,,,,0,일반,2000,HUM2037-01-00   ,3,동서양공연예술의이해 ,,,,,"하경심,유현주,최기숙","목8,9,10",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⒝",O
문과대학,문과대학 공통,,,,0,일반,2000,HUM2038-01-00   ,3,디지털언어데이터와인문학 ,,,,,김한샘,"월3,4/수4",위215/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⑫⒝",O
문과대학,문과대학 공통,,,,"2,3,4",일반,2000,HUM2046-01-00   ,3,인문학도를위한코딩(중급) ,,,,,허고은,"월1,2/수2",실시간온라인/위416,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⑦⒞",O
문과대학,문과대학 공통,,,,"2,3,4",일반,2000,HUM2047-01-00   ,3,디지털미디어와젠더(성찰과디자인) ,,,,,최기숙,"화5,6/화5,6/목4",동영상콘텐츠/실시간온라인/위215,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⑤⑧⒝",O
문과대학,문과대학 공통,,,,"2,3,4",일반,2000,HUM2048-01-00   ,3,한국의유산: 전통과지속가능성 ,,,,,류정민,"화2,3/목1",외01/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0100"");, ②⑨⒝",O
문과대학,문과대학 공통,,,,"2,3,4",일반,2000,HUM2049-01-00   ,3,인물로본한국사 ,,,,,조경철,"화1/목2,3",위216/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0100"");, ④⑪⒝",O
문과대학,문과대학 공통,,,,"3,4",일반,3000,HUM3001-01-00   ,3,인문학과법 ,,,,,"김종철,박지윤","화7,8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⒝",O
문과대학,문과대학 공통,,,,"3,4",일반,3000,HUM3007-01-00   ,3,디지털담화처리의이해 ,,,,,손현정,"화4/목5,6",실시간온라인/교604,"javascript:OpenList5(""H1"",""20202"",""0100"");, ⑩⒝",O
문과대학,국어국문학전공,,,,1,전기,1000,KOR1001-01-00   ,3,한국어문학의이해 ,,,,,"박무영,원미진,이경훈","금2,3,4/금2,3,4",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⓒ⒝",O
문과대학,국어국문학전공,,,,2,전기,1000,KOR1101-01-00   ,3,우리말연구의첫걸음 ,,,,,권경일,"화4,목5,6/화4,목5,6",동영상콘텐츠/위210,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,2,전기,1000,KOR1102-01-00   ,3,문학이란무엇인가 ,,,,,"조강석,이단비","화4,목5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,2,전기,1000,KOR1106-01-00   ,3,한국고전문학의이해 ,,,,,"김영희,구태운","화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2002-01-00   ,1,UT세미나(비평쓰기연습) ,,,,,양순모,수9/수9,위301/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2002-02-00   ,1,UT세미나(소설텍스트읽기) ,,,,,최영석,화7,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2002-03-00   ,1,UT세미나(소셜미디어와한국어) ,,,,,한승규,금4,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2002-04-00   ,1,UT세미나(시텍스트읽는법) ,,,,,홍성희,목9,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2002-05-00   ,1,UT세미나(최신한국문학논문읽기) ,,,,,최명석,수3/수3,위203/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2002-06-00   ,1,UT세미나(한국사회의언어문제) ,,,,,공나형,월2,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2002-07-00   ,1,UT세미나(현장활동과구술자료의분석) ,,,,,황은주,수5,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒞",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2301-01-00   ,3,현대사회와문학 ,,,,,"김현주,이한빛","월7,8/수8",실시간온라인/외106,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2306-01-00   ,3,고전소설의이해 ,,,,,주형예,"화3/화3,목3,4",외02/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2308-01-00   ,3,소설쓰기 ,,,,,김선아,"수6,7,8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2309-01-00   ,3,현대소설읽기 ,,,,,이경훈,"화8,9,목7/화8,9,목7",외01/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2312-01-00   ,3,현대시읽기 ,,,,,김나현,"화4,목5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,2,전선,2000,KOR2509-01-00   ,3,고전문학과인접예술 ,,,,,조규희,"금6,7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
문과대학,국어국문학전공,,,,"3,4",전선,3000,KOR3301-01-00   ,3,한국근대문학사 ,,,,,정한나,"월5,6/수6",위216/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0101"");, ⒝",O
