학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
사회과학대학,사회과학대학공통,,,,0,일반,2000,SOS2001-01-00   ,3,사회과학도를위한법의이해 ,,,,,김현희,"월1,2,3",연402,"javascript:OpenList5(""H1"",""20202"",""0600"");, ④⒝",O
사회과학대학,사회과학대학공통,,,,0,일반,2000,SOS2002-01-00   ,3,데이터기반사회분석 ,,,,,"강정한,송준모","월8/수9,10",연025/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0600"");, ①④⑤⒝",O
사회과학대학,사회과학대학공통,,,,0,일반,3000,SOS3001-01-00   ,3,디지털인류학연습 ,,,,,장호진,"화7/목8,9",실시간온라인/연025,"javascript:OpenList5(""H1"",""20202"",""0600"");, ④⑤⒝",O
사회과학대학,정치외교학전공,,,,0,전선,2000,POL2001-01-00   ,1,주니어세미나(연정공동체정치론) ,,,,,최연식,토5,연112,"javascript:OpenList5(""H1"",""20202"",""0601"");, ⒞",O
사회과학대학,정치외교학전공,,,,1,전기,1000,POL1004-01-00   ,3,정치학개론 ,,,,,진영재,"화2,3,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒜",O
사회과학대학,정치외교학전공,,,,2,전선,2000,POL2106-01-00   ,3,비교정치론 ,,,,,진영재,"화6,목5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3113-01-00   ,3,외교안보와미디어 ,,,,,김용호,"화7/목8,9",연218/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3120-01-00   ,3,한국외교정책 ,,,,,배종윤,"월7,8,수8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3124-01-00   ,3,한국국제정치사 ,,,,,김명섭,"수7/금7,8",연218/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3153-01-00   ,3,중국정치의이해 ,,,,,백우열,"월3/수2,3",연112/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 16ⓢ②⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3154-01-00   ,3,국제개발협력과EU ,,,,,이연호,"화7/목8,9",연112/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3163-01-00   ,3,국가와헌법 ,,,,,김정환,"수9,금8,9",연112,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3825-01-00   ,3,POLITICS OF COLLABORATION AND INTEGRATION IN EUROPE ,,,,,샤틀한스,"화4,목5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17②⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3829-01-00   ,3,정당론 ,,,,,진영재,"화4,목2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,3,전선,3000,POL3834-01-00   ,3,동아시아국제정치경제론 ,,,,,김민정,"수5,금5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,3,전선,4000,POL4108-01-00   ,3,동아시아국제관계 ,,,,,김우상,"화8,9,목7",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,"3,4",전선,2000,POL3201-01-00   ,3,법의철학적기초 ,,,,,김정오,"월5/수4,5",연112/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17①⒝",O
사회과학대학,정치외교학전공,,,,"3,4",전선,3000,POL3847-01-00   ,3,"POLITICS, MEDIA AND GLOBALIZATION ",,,,,샤틀한스,"월3,수3,4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17②⒝",O
사회과학대학,정치외교학전공,,,,"3,4",전선,4000,POL4133-01-00   ,3,사물정치론 ,,,,,백우열,"월6,수6,7",연112,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17ⓢ⒝",O
사회과학대학,정치외교학전공,,,,4,전선,3000,POL3130-01-00   ,3,한국정치사상 ,,,,,최연식,"화5,6,목4",연112,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,4,전선,3000,POL3131-01-00   ,3,탈근대정치사상 ,,,,,이상원,"화2,3/목3",실시간온라인/연112,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17⒝",O
사회과학대학,정치외교학전공,,,,4,전선,3000,POL3164-01-00   ,3,AMERICAN POLITICS AND GOVERNMENT ,,,,,샤틀한스,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 17②⒝",O
사회과학대학,정치외교학전공,,,,4,전선,4000,POL4101-01-00   ,3,ECONOMIC STATECRAFT: ECONOMIC SANCTIONS AND AID ,,,,,황태희,"월8,9/수9",실시간온라인/연218,"javascript:OpenList5(""H1"",""20202"",""0601"");, 16②⒝",O
사회과학대학,정치외교학전공,,,,4,전선,4000,POL4823-01-00   ,3,정의론 ,,,,,장동진,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 16②⒝",O
사회과학대학,정치외교학전공,,,,4,전선,4000,POL4839-01-00   ,3,게임이론과정치 ,,,,,우병원,"화4/목5,6",연112/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0601"");, 16⒝",O
사회과학대학,행정학전공,,,,1,전탐,1000,PUB1101-01-00   ,3,행정학개론 ,,,,,유나리,"화4/목5,6",연108/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒜",O
사회과학대학,행정학전공,,,,2,전기,2000,PUB2107-01-00   ,3,정책학개론 ,,,,,홍순만,"목5,6,7",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,2,전기,2000,PUB2107-02-00   ,3,정책학개론 ,,,,,유상엽,"화5,6/목4",실시간온라인/연404,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
사회과학대학,행정학전공,,,,2,전선,2000,PUB2105-01-00   ,3,재정학 ,,,,,최근호,"화8,9,목7",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,2,전선,2000,PUB2108-01-00   ,3,조직론 ,,,,,조유선,"수6,7,8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⓔ⒝",O
사회과학대학,행정학전공,,,,2,전선,2000,PUB2121-01-00   ,3,헌법과민주행정 ,,,,,이승현,"월3,4,수4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,3,전선,2000,PUB2102-01-00   ,3,관료제와민주주의 ,,,,,김향미,"화2,3,목1",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3103-01-00   ,3,복지정책론 ,,,,,양재진,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3105-01-00   ,3,재무행정론 ,,,,,신가희,"금7,8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3106-01-00   ,3,정부와기업 ,,,,,김선형,"화8,9,목7",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3109-01-00   ,3,조직행태론 ,,,,,조윤직,"화2,3,목1",연108,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3114-01-00   ,3,행정법(2) ,,,,,김남철,"화7,목8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3115-01-00   ,3,행정학사례분석연습 ,,,,,김태형,"수3,금3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3120-01-00   ,3,문화정책론 ,,,,,정철현,"월5,6,수6",연108,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3125-01-00   ,3,행정수단론 ,,,,,이명진,"금6,7,8/금6,7,8",연108/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
사회과학대학,행정학전공,,,,3,전선,3000,PUB3130-01-00   ,3,산업정책론 ,,,,,정헌주,"월7,8,수8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
사회과학대학,행정학전공,,,,4,전선,3000,PUB3107-01-00   ,3,정책집행론 ,,,,,최선미,"화5,6,목4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,4,전선,4000,PUB4102-01-00   ,3,정부간관계론 ,,,,,이윤경,"월3,4,수4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
사회과학대학,행정학전공,,,,4,전선,4000,PUB4112-01-00   ,3,리더십과거버넌스 ,,,,,김공록,"화7,목8,9",연404,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
사회과학대학,행정학전공,,,,4,전선,4000,PUB4113-01-00   ,3,정부회계학(1) ,,,,,이재혁,"금2,3,4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0602"");, ⒝",O
사회과학대학,행정학전공,,,,4,전선,4000,PUB4201-01-00   ,3,"혁신,창업과정책 ",,,,,조현정,"수5/금5,6",동영상콘텐츠/연404,"javascript:OpenList5(""H1"",""20202"",""0602"");, ①⒝",O
