학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
상경대학,경제학전공,,,,1,전기,1000,ECO1101-01-00   ,3,경제수학(1) ,,,,,서보윤,"월3,4/수4",동영상콘텐츠/상본101,"javascript:OpenList5(""H1"",""20202"",""0201"");, ①⒝",O
상경대학,경제학전공,,,,1,전기,1000,ECO1101-02-00   ,3,경제수학(1) ,,,,,서보윤,"월7,8/수8",동영상콘텐츠/상본101,"javascript:OpenList5(""H1"",""20202"",""0201"");, ①⒝",O
상경대학,경제학전공,,,,1,전기,1000,ECO1101-03-00   ,3,경제수학(1) ,,,,,한원용,"화1,목2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0201"");, ⓔ⒝",O
상경대학,경제학전공,,,,1,전기,1000,ECO1101-04-00   ,3,경제수학(1) ,,,,,김석호,"화2,3,목1",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓔ②⒝",O
상경대학,경제학전공,,,,1,전기,1000,ECO1101-05-00   ,3,경제수학(1) ,,,,,윤진희,"화1,목2,3",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓒ①②⒝",O
상경대학,경제학전공,,,,1,전기,1000,ECO1101-06-00   ,3,경제수학(1) ,,,,,윤진희,"화2,3,목1",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓒ①②⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1103-01-00   ,3,미시경제원론 ,,,,,이지영,목1,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0201"");, ①⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1103-02-00   ,3,미시경제원론 ,,,,,김용선,"수1/금1,2",동영상콘텐츠/상본B109,"javascript:OpenList5(""H1"",""20202"",""0201"");, ①⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1103-03-00   ,3,미시경제원론 ,,,,,최미호,"화1,목2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0201"");, ⓔ⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1103-04-00   ,3,미시경제원론 ,,,,,김석호,"화7,목8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓔ②⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1103-05-00   ,3,미시경제원론 ,,,,,이태봉,"월5,6/수6",동영상콘텐츠/상본115,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16①②⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1103-06-00   ,3,미시경제원론 ,,,,,방병국,"화5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓒ①②⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1103-07-00   ,3,미시경제원론 ,,,,,이태봉,"화7/목8,9",I진A302/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16ⓒ①②⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1104-01-00   ,3,거시경제원론 ,,,,,"김용진,이종화",수7,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16①②⒝",O
상경대학,경제학전공,,,,2,전기,1000,ECO1104-02-00   ,3,거시경제원론 ,,,,,오현진,"월5,6/수6",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0201"");, 16②⑦⒝",O
