학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
생명시스템대학,생명시스템공통,,,,2,전필,3000,LSB3101-01-00   ,3,생화학(1) ,,,,,"송재환,하상준","화5,6,목5",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1604"");, ⒝",O
생명시스템대학,생명시스템공통,,,,2,전필,3000,LSB3101-02-00   ,3,생화학(1) ,,,,,권호정,"수6,7/목6",동영상콘텐츠/공B001,"javascript:OpenList5(""H1"",""20202"",""1604"");, ①⒝",O
생명시스템대학,생명시스템공통,,,,2,전필,3000,LSB3102-01-00   ,3,생화학(2) ,,,,,"김대원,고혁완","월7,8,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1604"");, ⒜",O
생명시스템대학,생명시스템공통,,,,2,전필,3000,LSB3102-02-00   ,3,생화학(2) ,,,,,"노재석,송재환","월2/수7,8",실시간온라인/과S321,"javascript:OpenList5(""H1"",""20202"",""1604"");, ⒜",O
생명시스템대학,생명시스템공통,,,,2,전필,3000,LSB3202-01-00   ,3,세포생물학(1) ,,,,,"박현우,이승택","월3,목2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1604"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,2,전필,3000,BIO3712-01-00   ,3,분자생물학 ,,,,,"양성욱,박보연","수2,3,금1",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,2,전필,3000,BIO3715-01-00   ,3,분자생화학 ,,,,,"조현수,정광철","화3,4/목6",동영상콘텐츠/과B133,"javascript:OpenList5(""H1"",""20202"",""1601"");, ①⒜",O
생명시스템대학,시스템생물학전공,,,,2,전선,2000,BIO2503-01-00   ,2,현대생명과학연구세미나 ,,,,,김지현,"금2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
생명시스템대학,시스템생물학전공,,,,2,전선,3000,BIO3502-01-00   ,3,시스템생물학실험(1) ,,,,,"조현수,김지현","화11,12,13,목11,12,13",과SB202,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
생명시스템대학,시스템생물학전공,,,,2,전선,3000,BIO3503-01-00   ,3,세포생물학(2) ,,,,,"정광철,정인권","월2/수6,7",과S118B/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,2,전선,3000,BIO3718-01-00   ,3,조직학 ,,,,,오영준,"목8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1601"");, ①⒜",O
생명시스템대학,시스템생물학전공,,,,2,전선,3000,CHE3110-YY-00   ,3,유기화학(2) ,,,,,,,,"javascript:OpenList5(""H1"",""20202"",""1601"");, ③⑤",O
생명시스템대학,시스템생물학전공,,,,3,전필,3000,BIO3101-01-00   ,3,발생학 ,,,,,최광민,"월5,6,수1",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,3,전필,3000,BIO3112-01-00   ,3,동물생리학 ,,,,,"오영준,이태호","금6,7",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1601"");, ①⒜",O
생명시스템대학,시스템생물학전공,,,,3,전선,3000,BIO3106-01-00   ,3,식물발생분화학 ,,,,,"이명민,배현숙","화2,3,목7",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,3,전선,3000,BIO3113-01-00   ,3,시스템생물학실험(3) ,,,,,"김우택,배현숙","월11,12,13,수11,12,13",과SB203,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
생명시스템대학,시스템생물학전공,,,,3,전선,3000,BIO3714-01-00   ,3,환경독성학분석 ,,,,,브룩스사뮤엘캐롤,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ②⒝",O
생명시스템대학,시스템생물학전공,,,,3,전선,3000,BIO3716-01-00   ,3,생체방어시스템 ,,,,,"박보연,김지현","월8,수7,8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,4,전선,4000,BIO4104-01-00   ,3,세균학 ,,,,,김지현,"화5,6,목6",과S118B,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,4,전선,4000,BIO4108-01-00   ,3,분자암생물학 ,,,,,정인권,"화2,3,목3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,4,전선,4000,BIO4913-01-00   ,3,시스템생물학실험(4) ,,,,,"정인권,박보연,조현수","토1,2,3,4,5,6",과SB215,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
생명시스템대학,시스템생물학전공,,,,4,전선,4000,BIO4915-01-00   ,3,진화학 ,,,,,"이태호,최광민","월2,3/수3",동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ①⒜",O
생명시스템대학,시스템생물학전공,,,,4,전선,4000,BIO4917-01-00   ,3,후성유전학입문 ,,,,,조면행,"월6,7/월6,7,수8",과S118B/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒜",O
생명시스템대학,시스템생물학전공,,,,4,교직,3000,TTP3813-01-00   ,3,과학교재연구및지도법 ,,,,,박태윤,"화7,8,9",과S118B,"javascript:OpenList5(""H1"",""20202"",""1601"");, ⒝",O
