학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
생활과학대학,의류환경학전공,,,,1,전기,1000,CNT1101-01-00   ,3,의류산업과패션 ,,,,,"심정은,이명은","수5,6,7",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓒ①⒝",O
생활과학대학,의류환경학전공,,,,2,전필,2000,CNT2109-01-00   ,3,패션마케팅 ,,,,,"고은주,정다운","수2,3,4/수2,3,4",삼308/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⑭⒝",O
생활과학대학,의류환경학전공,,,,2,전필,2000,CNT2120-01-00   ,3,의류디자인 ,,,,,조현승,"목6,7,8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒝",O
생활과학대학,의류환경학전공,,,,2,전필,2000,CNT2120-02-00   ,3,의류디자인 ,,,,,조현승,"금6,7,8,9",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒝",O
생활과학대학,의류환경학전공,,,,2,전선,2000,CNT2002-01-00   ,1,UT세미나(밀레니얼패션소비자연구) ,,,,,안서영,금3,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒞",O
생활과학대학,의류환경학전공,,,,2,전선,2000,CNT2002-02-00   ,1,UT세미나(초연결사회와스마트텍스타일) ,,,,,이유진,월6,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⒞",O
생활과학대학,의류환경학전공,,,,2,전선,2000,CNT2002-03-00   ,1,UT세미나(패션시장과소비자욕구) ,,,,,이정순,월3,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒞",O
생활과학대학,의류환경학전공,,,,2,전선,2000,CNT2111-01-00   ,3,섬유가공과신소재 ,,,,,이유진,"목2,3,4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⒝",O
생활과학대학,의류환경학전공,,,,3,전선,3000,CNT3105-01-00   ,3,입체패턴설계 ,,,,,오설영,"월2,3,4,5",삼312,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⒝",O
생활과학대학,의류환경학전공,,,,3,전선,3000,CNT3114-01-00   ,3,패션브랜드마케팅관리 ,,,,,"고은주,아우스프룽울프","수6,7,8,9/수6,7,8,9",삼308/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ②⒝",O
생활과학대학,의류환경학전공,,,,3,전선,3000,CNT3121-01-00   ,3,직물조직과설계 ,,,,,"이승신,송유정","화4/화4/목6,7",삼308/삼B124/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⑮⒝",O
생활과학대학,의류환경학전공,,,,3,전선,3000,CNT3124-01-00   ,3,어패럴패턴디자인 ,,,,,천종숙,"화6,7/화8,9",삼312/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒝",O
생활과학대학,의류환경학전공,,,,3,전선,3000,CNT3128-01-00   ,3,의복관리 ,,,,,한은경,"금5,6/금7",실시간온라인/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ①⒝",O
생활과학대학,의류환경학전공,,,,3,전선,3000,CNT3133-01-00   ,3,패션색채와의류기획 ,,,,,이주현,"화2,3,4,5",삼312,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⒝",O
생활과학대학,의류환경학전공,,,,3,전선,3000,CNT3136-01-00   ,3,유행심리와의류산업 ,,,,,김수연,"목2/목3,4",동영상콘텐츠/삼308,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①②⒝",O
생활과학대학,의류환경학전공,,,,3,전선,3000,CNT3139-01-00   ,3,패션상품과국제무역 ,,,,,우홍주,"월6,7,8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ②⒝",O
생활과학대학,의류환경학전공,,,,3,교직,3000,TTP3828-01-00   ,2,의상교과논리및논술 ,,,,,신은정,"수4,5",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ④⒝",O
생활과학대학,의류환경학전공,,,,4,전선,4000,CNT4110-01-00   ,3,의류상품기획의실제와응용 ,,,,,임소연,"수6,7,8,9/수6,7,8,9",삼312/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ②⒝",O
생활과학대학,의류환경학전공,,,,4,전선,4000,CNT4121-01-00   ,3,텍스타일산업과지식재산권 ,,,,,"김춘정,이세진,이명은","금3,4/금5",실시간온라인/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ①⒝",O
생활과학대학,의류환경학전공,,,,4,전선,4000,CNT4126-01-00   ,3,패션소비문화와소비자주의 ,,,,,"고애란,신은정","화3/목8,9/목8,9",동영상콘텐츠/삼B124/삼308,"javascript:OpenList5(""H1"",""20202"",""0901"");, ①⒝",O
생활과학대학,의류환경학전공,,,,4,전선,4000,CNT4127-01-00   ,3,직물의염색 ,,,,,장은지,"화6,7,8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0901"");, ⓔ⒝",O
생활과학대학,식품영양학전공,,,,1,전탐,1000,FNS1101-01-00   ,3,식품영양과체형 ,,,,,정혜경,"화4,5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0902"");, ⓒ①⒝",O
생활과학대학,식품영양학전공,,,,2,전선,2000,FNS2101-01-00   ,3,급식경영학 ,,,,,함선옥,"화7,목6,7",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0902"");, ②⒝",O
생활과학대학,식품영양학전공,,,,2,전선,4000,FNS4117-01-00   ,3,식품학 ,,,,,최혜정,"월2,목8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0902"");, ⓔ②⒝",O
생활과학대학,식품영양학전공,,,,3,전선,3000,FNS3119-01-00   ,2,영양사현장실습 ,,,,,김민식,,,"javascript:OpenList5(""H1"",""20202"",""0902"");, ③⒞",O
