학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
선택교양(10~18학번),역사·철학영역,,,,,선교,,UCG1105-01-00   ,3,동아시아와인류문명 ,,,,,"박경석,유현정","화5,6/목4",교403/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30205"");, 7678⒝",O
선택교양(10~18학번),역사·철학영역,,,,,선교,,UCG1111-01-00   ,3,철학과방법 ,,,,,남기호,"수5/금5,6",실시간온라인/교303,"javascript:OpenList5(""H1"",""20202"",""30205"");, 7678⒝",O
선택교양(10~18학번),역사·철학영역,,,,,선교,,UCG1125-01-00   ,3,화면위에쓴역사 ,,,,,전수연,"월7,8/수8",실시간온라인/교403,"javascript:OpenList5(""H1"",""20202"",""30205"");, 7578⒝",O
선택교양(10~18학번),역사·철학영역,,,,,선교,,UCG1130-01-00   ,3,동아시아신화기행 ,,,,,김선자,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30205"");, 7278⒝",O
선택교양(10~18학번),과학·기술영역,,,,,선교,,UCH1102-01-00   ,3,지구와우주 ,,,,,김태선,"월7,8,수8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""30201"");, 7278⒝",O
선택교양(10~18학번),과학·기술영역,,,,,선교,,UCH1105-01-00   ,3,지구와환경 ,,,,,이명석,수4,동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""30201"");, 7178①⒝",O
선택교양(10~18학번),과학·기술영역,,,,,선교,,UCH1108-01-00   ,3,환경과대기 ,,,,,김현미,"월5,6/수6",실시간온라인/백S108,"javascript:OpenList5(""H1"",""20202"",""30201"");, 7578⒝",O
선택교양(10~18학번),사회·윤리영역,,,,,선교,,UCI1175-01-00   ,1,연세정신과인권 ,,,,,박경자,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, ⓔ⒞",O
선택교양(10~18학번),사회·윤리영역,,,,,선교,,UCI2001-01-00   ,1,사회봉사(자유선택 자원봉사활동) ,,,,,박준홍,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 16⒞",O
선택교양(10~18학번),사회·윤리영역,,,,,선교,,UCI2001-02-00   ,1,사회봉사(희망원정대-선 봉사후 학점인정) ,,,,,전흥재,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 17⒞",O
선택교양(10~18학번),사회·윤리영역,,,,,선교,,UCI2001-03-00   ,1,사회봉사(동행프로젝트) ,,,,,홍원표,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 20⒞",O
선택교양(10~18학번),사회·윤리영역,,,,,선교,,UCI2001-06-00   ,1,사회봉사(함께나누는 세상) ,,,,,이대성,,,"javascript:OpenList5(""H1"",""20202"",""30206"");, 24⒞",O
