학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
신과대학,신학과,,,,0,전필,1000,THE1003-01-00   ,1,신학실천 ,,,,,홍국평,수4,실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒞",O
신과대학,신학과,,,,1,전기,1000,THE1205-01-00   ,3,연세신학입문 ,,,,,홍국평,"수4,6,7",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⓒ⒝",O
신과대학,신학과,,,,2,전필,2000,THE2015-01-00   ,3,사회와실천 ,,,,,권수영,"월7,8/수8",신105/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ④⒝",O
신과대학,신학과,,,,2,전필,2000,THE2016-01-00   ,3,문화와상상력 ,,,,,카운다참마주덱스,"월5,6/수6",신105/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ②⒝",O
신과대학,신학과,,,,"2,3,4",전선,2000,THE2009-01-00   ,3,기독상담의이론과실제 ,,,,,주희연,"화8/화9,목7",실시간온라인/신103,"javascript:OpenList5(""H1"",""20202"",""0501"");, ②⒝",O
신과대학,신학과,,,,"2,3,4",전선,2000,THE2914-01-00   ,3,생태학과심리치료 ,,,,,이헌주,"화7/목8,9",실시간온라인/신103,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"2,3,4",전선,3000,THE3917-01-00   ,3,현대신학의거인들 ,,,,,손호현,"화4/목5,6",신101/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,3000,THE3502-01-00   ,3,사회윤리학 ,,,,,박재경,"화5,6/목4",신B103/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ②⒝",O
신과대학,신학과,,,,"3,4",전선,3000,THE3601-01-00   ,3,기독교교육학 ,,,,,이윤석,"월7,8/수8",신103/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,3000,THE3911-01-00   ,3,성문서해석:삶의의미와고난의신비 ,,,,,홍국평,"화5,6/목4",실시간온라인/신101,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,3000,THE3932-01-00   ,3,비판사회학과기독교교육 ,,,,,유은주,"화7/목8,9",실시간온라인/신101,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,3000,THE3934-01-00   ,3,예수.기억.그리고전통 ,,,,,한철흠,"화4,목5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,3000,THE3943-01-00   ,3,세계교회사2 ,,,,,박현숙,"수5/금5,6",실시간온라인/신101,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,3000,THE3946-01-00   ,3,생태와신학의만남 ,,,,,박일준,"수5/금5,6",신103/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,3000,THE3955-01-00   ,3,바울의삶과정치신학 ,,,,,정복희,"월6/수6,7",실시간온라인/신104,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,4000,THE4916-01-00   ,3,"돌봄,상담그리고코칭 ",,,,,위서현,"월5,6/수6",신103/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ④⒝",O
신과대학,신학과,,,,"3,4",전선,4000,THE4918-01-00   ,3,신학적상상력 ,,,,,김상근,"화5,6,목4",신B104,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,4000,THE4921-01-00   ,3,선불교와기독교 ,,,,,박욱주,"화4/목5,6",신103/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
신과대학,신학과,,,,"3,4",전선,4000,THE4925-01-00   ,3,오늘의눈으로다시보는구약성서의신학 ,,,,,김주환,"수7/금8,9",신101/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0501"");, ⒝",O
