학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
약학대학,약학전공,,,,3,전필,3000,PHM3102-01-00   ,0,약학전공설계(2) ,,,,,한정민,"목9,10",I진D114,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒞",O
약학대학,약학전공,,,,3,전필,3000,PHM3006-01-00   ,3,분자생물학 ,,,,,권소희,"화5,목5,6",I진D115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,3,전필,3000,PHM3007-01-00   ,3,보건사회약학 ,,,,,강혜영,"월6,수6,7",I진D115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,3,전필,3000,PHM3008-01-00   ,3,의약품합성학 ,,,,,김익연,"월2,3,목2",I진D115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,3,전필,3000,PHM3009-01-00   ,3,생약학 ,,,,,김승현,"화2,3,목3",I진D115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,3,전필,3000,PHM3010-01-00   ,3,의약품기기분석 ,,,,,정진현,"월7,목7,8",I진D115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,3,전필,3000,PHM3011-01-00   ,3,약학실험(2) ,,,,,"김승현,김정동","화6,7,8,9,10",I진D401,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒝",O
약학대학,약학전공,,,,3,전필,3000,PHM3015-01-00   ,3,미생물학 ,,,,,한정민,"화1,수8,9",I진D115,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,4,전필,3000,PHM3104-01-00   ,0,약학전공설계(4) ,,,,,한정민,"목9,10",I진D114,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒞",O
약학대학,약학전공,,,,4,전필,3000,PHM3023-01-00   ,3,약리학(2) ,,,,,이진우,"목8,금2,3",I진D117,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,4,전필,3000,PHM3024-01-00   ,3,약제학 ,,,,,석수현,"금6,7,8",I진D117,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,4,전필,3000,PHM3025-01-00   ,3,독성학 ,,,,,민도식,"월9,화8,9",I진D117,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,4,전필,3000,PHM3027-01-00   ,3,의약품행정학 ,,,,,한은아,"월7,8/목7",I진D117/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒜",O
약학대학,약학전공,,,,4,전필,3000,PHM3028-01-00   ,3,임상약학개론 ,,,,,"유윤미,김승연","월5,6/화10",I진D117/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒝",O
약학대학,약학전공,,,,4,전필,3000,PHM3029-01-00   ,3,약학실험(4) ,,,,,민도식,"수6,7,8,9,10",I진D201,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒝",O
약학대학,약학전공,,,,4,전선,3000,PHM3026-01-00   ,3,질병의이해 ,,,,,최준정,"화5,목5,6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ②⒝",O
약학대학,약학전공,,,,4,전선,3000,PHM3054-01-00   ,3,신약탐색학 ,,,,,남궁완,"화2,3,목3",I진D117,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⓒ⒝",O
약학대학,약학전공,,,,5,전필,4000,PHM4130-01-00   ,3,제약산업및약무행정실무실습 ,,,,,"강혜영,김영수,한은아",,,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⒞",O
약학대학,약학전공,,,,5,전필,4000,PHM4100-01-00   ,4,병원약국실무실습 ,,,,,유윤미,,,"javascript:OpenList5(""H1"",""20202"",""1780"");, ⒝",O
