학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
언더우드국제대학,공통교과과정(신촌),,,,0,CC,1000,YCA1008-02-00   ,.5,채플(D) ,,,,,이대성,,,"javascript:OpenList5(""H1"",""20202"",""1011"");, ⓔ①②⑬⒞",O
언더우드국제대학,공통교과과정(신촌),,,,1,CC,1000,YCA1004-02-00   ,0,채플(4) ,,,,,이대성,,,"javascript:OpenList5(""H1"",""20202"",""1011"");, ⓔ①②⑬⒞",O
언더우드국제대학,공통교과과정(신촌),,,,1,CC,1000,UIC1451-01-00   ,3,WORLD LITERATURE: MODERN JAPANESE LITERATURE ,,,,,이헬렌,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
언더우드국제대학,공통교과과정(신촌),,,,1,CC,1000,UIC1501-01-00   ,3,WORLD HISTORY: GROUP I ,,,,,조원희,"목7,8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
언더우드국제대학,공통교과과정(신촌),,,,1,CC,1000,UIC1551-01-00   ,3,WORLD HISTORY: GROUP II ,,,,,통스폴,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
언더우드국제대학,공통교과과정(신촌),,,,1,CC,1000,UIC1809-01-00   ,3,BEGINNING CHINESE(2) ,,,,,류야페이,"화1,목2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑭⒝",O
언더우드국제대학,공통교과과정(신촌),,,,1,CC,1000,UIC1920-01-00   ,3,SCIENCE IN CONTEXT ,,,,,소더홈존,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑤⑪⒝",X
언더우드국제대학,공통교과과정(신촌),,,,1,CC,2000,UIC2101-01-00   ,3,CRITICAL REASONING ,,,,,피더슨니콜라이장,"월3,4/수4",실시간온라인/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
언더우드국제대학,공통교과과정(신촌),,,,1,CC,2000,UIC2101-02-00   ,3,CRITICAL REASONING ,,,,,마이클마이클라키스,"화5,6,목4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,2000,UIC2151-01-00   ,3,RESEARCH DESIGN AND QUANTITATIVE METHODS ,,,,,신주현,"월3,4,수4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,2000,UIC2151-02-00   ,3,RESEARCH DESIGN AND QUANTITATIVE METHODS ,,,,,신주현,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,2000,UIC2302-01-00   ,3,INTERMEDIATE KOREAN(1) ,,,,,전지은,"월3,4,수4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑭⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,2000,UIC2310-01-00   ,3,INTERMEDIATE KOREAN(2) ,,,,,전지은,"월7,8,수8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑭⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,2000,UIC2311-01-00   ,3,INTERMEDIATE CHINESE(2) ,,,,,류야페이,"화2,3,목1",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑭⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,2000,UIC2312-01-00   ,3,INTERMEDIATE JAPANESE(2) ,,,,,김애자,"화2,3,목3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑭⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,3000,UIC3512-01-00   ,3,LAW AND THE 4TH INDUSTRIAL REVOLUTION ,,,,,정승민,"화8,9,10",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③④⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,3000,UIC3516-01-00   ,3,SPECIAL TOPICS IN FICTION ,,,,,이크리스틴은경,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③④⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,3000,UIC3574-01-00   ,3,FORMAL METHODS ,,,,,피더슨니콜라이장,"월5,6/수6",실시간온라인/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③④⒝",X
언더우드국제대학,공통교과과정(신촌),,,,2,CC,3000,UIC3579-01-00   ,3,TOPICS IN MODERN KOREAN HISTORY ,,,,,헨리토드,"화1,2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③④⒝",X
언더우드국제대학,공통교과과정(신촌),,,,3,CC,3000,UIC3201-01-00   ,3,ADVANCED KOREAN ,,,,,전지은,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1011"");, ②③⑭⒝",X
