학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
연계전공,유럽지역학,,,,0,전기,3000,EUR3101-01-00   ,3,유럽의새로운이해 ,,,,,고상두,"월7,8/월7,8,수8",동영상콘텐츠/백S206,"javascript:OpenList5(""H1"",""20202"",""1501"");, ①③⒝",O
연계전공,유럽지역학,,,,0,전선,3000,EUR3105-01-00   ,3,EU의언어문화정책 ,,,,,임재호,"화6,7,8",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1501"");, ⑤⒝",O
연계전공,디지털예술학,,,,0,전선,3000,FIL3109-01-00   ,3,디지털콘텐츠의이해 ,,,,,박남기,"월5,6/수6",상본B106/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1514"");, ④⒝",O
연계전공,디지털예술학,,,,0,전선,4000,FIL4103-01-00   ,3,디지털스토리텔링연습 ,,,,,임정택,"화4,목5,6",교606,"javascript:OpenList5(""H1"",""20202"",""1514"");, ①③⒝",O
연계전공,미국학,,,,0,전기,3000,AMR3104-01-00   ,3,미국학특강 ,,,,,이광진,"화8,9,목7/목7",상본B106/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1503"");, ⑦⒝",O
연계전공,미국학,,,,0,전선,3000,AMR3105-01-00   ,3,미국소비문화와생태론 ,,,,,김진욱,,,"javascript:OpenList5(""H1"",""20202"",""1503"");, ①⑥⒝",O
연계전공,한국및동아시아학(중국학),,,,0,전기,3000,CHI3101-01-00   ,3,중국입문 ,,,,,이유진,"화4/목5,6",실시간온라인/백S204,"javascript:OpenList5(""H1"",""20202"",""1504"");, ③⒝",O
연계전공,한국및동아시아학(중국학),,,,0,전선,3000,CHI3103-01-00   ,3,중국의자연지리와인문환경 ,,,,,김선자,"월5,6,수6",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1504"");, ⑤⒝",O
연계전공,한국및동아시아학(중국학),,,,0,전선,3000,CHI3104-01-00   ,3,중국외교의 이해 ,,,,,김동찬,"화2,3,목1",교601,"javascript:OpenList5(""H1"",""20202"",""1504"");, ①④⒝",O
연계전공,한국및동아시아학(한국학),,,,0,전기,3000,KOS3107-01-00   ,3,한국학입문(2) ,,,,,김해옥,"목2,3,4",상본112,"javascript:OpenList5(""H1"",""20202"",""1505"");, ③⒝",O
연계전공,한국및동아시아학(한국학),,,,0,전기,3000,KOS3108-01-00   ,3,한국과세계문화예술의비평 ,,,,,이도훈,"목6,7,8",백S402,"javascript:OpenList5(""H1"",""20202"",""1505"");, ④⒝",O
연계전공,한국및동아시아학(일본학),,,,0,전선,3000,JAP3105-01-00   ,3,일본학특강 ,,,,,이새봄,"화5,6,7",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1506"");, ③⒝",O
연계전공,한국및동아시아학(일본학),,,,0,전선,3000,JAP3108-01-00   ,3,한일비교문학 ,,,,,이영재,"금4,5,6",상본B110,"javascript:OpenList5(""H1"",""20202"",""1506"");, ④⒝",O
연계전공,외교통상학,,,,0,전기,3000,TRA3103-01-00   ,3,국제법입문 ,,,,,임한택,"화8,9,목7",상본113,"javascript:OpenList5(""H1"",""20202"",""1507"");, ③⒝",O
연계전공,외교통상학,,,,0,전기,3000,TRA3104-01-00   ,3,유럽연합론 ,,,,,고주현,"화4/목5,6",교410/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1507"");, ④⒝",O
연계전공,인지과학,,,,0,전선,3000,COG3104-01-00   ,3,인지과학연구방법론 ,,,,,권희정,"월7,8,9",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""1508"");, ⑤⒝",O
연계전공,인지과학,,,,0,전선,4000,COG4101-01-00   ,3,정보처리이론 ,,,,,정상철,"월5,6/수5",실시간온라인/교604,"javascript:OpenList5(""H1"",""20202"",""1508"");, ④⒝",O
연계전공,벤처학,,,,0,전기,3000,VEN3103-01-00   ,3,벤처현장실습 ,,,,,이승용,"목5,6,7",백S206,"javascript:OpenList5(""H1"",""20202"",""1511"");, ③⒝",O
