학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
음악대학,음악대학공통,,,,1,전기,1000,CMP1202-01-00   ,2,시창.청음(2) ,"교음(합),성악",,,,이해미,월7/월8,동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
음악대학,음악대학공통,,,,1,전기,1000,CMP1202-02-00   ,2,시창.청음(2) ,"교음(오),피아노",,,,변현주,목5/목6,실시간온라인/동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
음악대학,음악대학공통,,,,1,전기,1000,CMP1202-03-00   ,2,시창.청음(2) ,관현악,,,,오예승,"화5,6",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
음악대학,음악대학공통,,,,1,전기,1000,CMP1202-04-00   ,2,시창.청음(2) ,작곡,,,,안혜승,"금3,4/금3,4",실시간온라인/음102,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
음악대학,음악대학공통,,,,1,전기,1000,CMP1204-01-00   ,2,화성학(2) ,"교음(합),성악",,,,장보미,목3/목4,동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
음악대학,음악대학공통,,,,1,전기,1000,CMP1204-02-00   ,2,화성학(2) ,"교음(오),피아노",,,,송무경,"수3,4",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⓓ⒜",X
음악대학,음악대학공통,,,,1,전기,1000,CMP1204-03-00   ,2,화성학(2) ,관현악,,,,윤규일,"수3,4",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
음악대학,음악대학공통,,,,1,전기,1000,CMP1204-04-00   ,2,화성학(2) ,작곡,,,,송무경,"월7,8",동영상콘텐츠,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
음악대학,음악대학공통,,,,2,전기,2000,CMP2202-01-00   ,2,시창.청음(4) ,"교음(합),성악",,,,이해미,월5/월6,동영상콘텐츠/실시간온라인,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
음악대학,음악대학공통,,,,2,전기,2000,CMP2202-02-00   ,2,시창.청음(4) ,"교음(오),피아노",,,,변현주,"목3,4/목3,4",동영상콘텐츠/음426,"javascript:OpenList5(""H1"",""20202"",""08001"");, ⒜",X
