학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
의과대학,의학전공,,,,,전선,,MED3330-01-00   ,1,군진의학 1 ,,,,,유대현,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-02-00   ,1,"뇌종양, 수술방에서 실험실까지; 책으로 배울 수 없는 내용 ",,,,,강석구,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-03-00   ,1,마취 관련 술기 ,,,,,이기영,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-04-00   ,1,만성 질환의 장기적인 돌봄과 이해 1 ,,,,,강희철,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-05-00   ,1,법의학의 이해 1 ,,,,,박종필,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-06-00   ,1,스키마에 근거한 임상 추론과 의사결정 ,,,,,최진영,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-07-00   ,1,신경 질환의 증상 발현과 연계한 neurologic exam의 임상적 이해 ,,,,,박수철,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-08-00   ,1,영양과 의학 ,,,,,김경식,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-09-00   ,1,인공지능과 의료기기 ,,,,,유선국,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-10-00   ,1,중환자의학 ,,,,,정승호,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-11-00   ,1,최첨단 의료기기의 원리 및 견학 ,,,,,김진성,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-12-00   ,1,통증의학 ,,,,,박상준,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3330-13-00   ,1,현장속의 외과학 ,,,,,이재길,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-01-00   ,1,군진의학 2 ,,,,,유대현,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-02-00   ,1,기도관리 ,,,,,장철호,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-03-00   ,1,기초의학적 연구방법 ,,,,,김명희,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-04-00   ,1,"뇌종양, 수술방에서 실험실까지; 책으로 배울 수 없는 내용 ",,,,,강석구,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-05-00   ,1,마취 관련 술기 ,,,,,이기영,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-06-00   ,1,만성 질환의 장기적인 돌봄과 이해 2 ,,,,,강희철,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-07-00   ,1,법의학의 이해 2 ,,,,,박종필,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-08-00   ,1,생체적합성 방법론 ,,,,,박종철,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
의과대학,의학전공,,,,,전선,,MED3340-09-00   ,1,스키마에 근거한 임상 추론과 의사결정 ,,,,,최진영,,,"javascript:OpenList5(""H7"",""20202"",""1101"");, ♣",
