학부대학,소분류,,,,학년,종별,단위,학정번호-분반(-실습),학점,교과목명,수강대상,,,,담당교수,강의시간,강의실,유의사항,국외교환학생가능
이과대학,이과대학 공통,,,,2,전기,2000,SCI2001-01-00   ,2,전자계산(1) ,,,,,권영일,"화6,7(목8)",과323(과232),"javascript:OpenList5(""H1"",""20202"",""0300"");, ⒜",O
이과대학,이과대학 공통,,,,2,전기,2000,SCI2002-01-00   ,2,전자계산(2) ,,,,,신우주,"월7,8(수8)",과B131(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0300"");, ⒜",O
이과대학,이과대학 공통,,,,2,전기,2000,MAT2002-01-00   ,3,고등미적분학(2) ,,,,,장통근,"월1,2,수2(수1)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0300"");, ③⒜",O
이과대학,이과대학 공통,,,,2,전기,2000,MAT2002-02-00   ,3,고등미적분학(2) ,,,,,장통근,"월5,수5,6(월6)",실시간온라인(실시간온라인),"javascript:OpenList5(""H1"",""20202"",""0300"");, ③⒜",O
이과대학,이과대학 공통,,,,4,일반,3000,SCI3005-01-00   ,2,과학논리및논술 ,,,,,성정희,"화2,3",실시간온라인,"javascript:OpenList5(""H1"",""20202"",""0300"");, ③⒝",O
이과대학,수학전공,,,,2,전필,3000,MAT3104-01-00   ,3,해석학(1) ,,,,,김세익,"월9,10,수10(수9)",과227(과227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
이과대학,수학전공,,,,2,전필,3000,MAT3104-02-00   ,3,해석학(1) ,,,,,김세익,"화2,3,목2(목3)",과B130(과B130),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
이과대학,수학전공,,,,2,전선,2000,MAT2103-01-00   ,3,통계학 ,,,,,이승철,"월5,6,수6(수5)",과225(과225),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
이과대학,수학전공,,,,2,전선,3000,MAT3120-01-00   ,3,선형대수(2) ,,,,,이지현,"화4,5,목5(목4)",과227(과227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
이과대학,수학전공,,,,2,전선,3000,MAT3120-02-00   ,3,선형대수(2) ,,,,,고형준,"화7,목8,9(화6)",과227(과227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ②⒜",O
이과대학,수학전공,,,,2,전선,3000,MAT3123-01-00   ,3,기계학습과응용 ,,,,,이승철,"화4,5,목5(목4)",과262(과262),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
이과대학,수학전공,,,,3,전필,3000,MAT3105-01-00   ,3,해석학(2) ,,,,,김준일,"월9,10/수10(수9)",동영상콘텐츠/과262(과262),"javascript:OpenList5(""H1"",""20202"",""0301"");, ①⒜",O
이과대학,수학전공,,,,3,전선,2000,MAT2105-01-00   ,3,과학계산 ,,,,,이지현,"화2,목2,3(화3)",과227(과227),"javascript:OpenList5(""H1"",""20202"",""0301"");, ⒜",O
